Date.x,Zone,ID,Station_ID,UTM_E,UTM_N,Width,Length,Max_depth,Min_depth,Ave_depth,Area,Volumer,Dom_substrate,Subdom_substrate,SAV,EAV,Fil_Tub_Algae,Phytoplankton,SAV_Spp,EAV_Spp,Fil_algae_spp,Phyto_spp,Station NOTES,Year,Month,Season,Unique_ID2,Date.y,Water_temp_1,Water_temp_2,Spec_cond_1,Spec_cond_2,Der_spec_cond_1,Der_spec_cond_2,DO_1,DO_2,Perc_sat_1,Perc_sat_2,pH_1,pH_2,Sum_SB,Sum_TW,Sum_SC,micro_sum,volume,Volume_Match,Match,temp_mean,min_DO,Start_Year,End_Year,Rain_Sum,Date_Latest_Breach,breach_days,TW_density,SC_density,SB_density,Breach_Year,Since_Breach,u_mean,u_max
10/3/1996,W,1,W1,540761,4187219,3,4.8,0.74,0,0.37,14.4,5.328,corophium_tubes,muck,1,0,0,NA,NA,NA,NA,NA,NA,1996,10,Fall,1996_Fall_W1,10/3/1996,14.5,14.5,12290,12290,12290,12290,1.2,NA,13,NA,NA,NA,3,721,15,0,5.328,TRUE,TRUE,14.5,1.2,1995,1996,24.89,2/27/1996,219,135.3228228,2.815315315,0.563063063,1996,0,3.1441422,4.345366
10/3/1996,W,1.1,W1.1,540727,4187229,3,3.7,0.4,0,0.2,11.1,2.22,sand,corophium_tubes,0,0,0,NA,NA,NA,NA,NA,NA,1996,10,Fall,1996_Fall_W1.1,10/3/1996,15.5,15.5,12320,12320,12320,12320,1.2,NA,13,NA,NA,NA,13,628,24,0,2.22,TRUE,TRUE,15.5,1.2,1995,1996,24.89,2/27/1996,219,282.8828829,10.81081081,5.855855856,1996,0,3.1441422,4.345366
10/4/1996,W,3.1,W3.1,540845,4187115,3,4.2,0.4,0,0.2,12.6,2.52,sand,corophium,0,0,0,NA,NA,NA,NA,NA,NA,1996,10,Fall,1996_Fall_W3.1,10/4/1996,16.5,16.5,12870,12870,12870,12870,0.8,0.9,9,10,NA,NA,18,571,1,0,2.52,TRUE,TRUE,16.5,0.8,1995,1996,24.89,2/27/1996,220,226.5873016,0.396825397,7.142857143,1996,0,3.1441422,4.345366
10/4/1996,W,4,W4,540882,4187083,3,3.2,0.82,0,0.41,9.6,3.936,sand,NA,0,0,0,NA,NA,NA,NA,NA,NA,1996,10,Fall,1996_Fall_W4,10/4/1996,17,17,10730,10860,10730,10860,0.8,1.1,9,12,NA,NA,1,175,0,0,3.936,FALSE,TRUE,17,0.8,1995,1996,24.89,2/27/1996,220,44.46138211,0,0.254065041,1996,0,3.1441422,4.345366
10/4/1996,W,5.1,W5.1,540982,4186990,3,4.3,0.25,0,0.125,12.8,1.59375,sand,corophium,0,0,0,NA,NA,NA,NA,NA,NA,1996,10,Fall,1996_Fall_W5.1,10/4/1996,18.1,17.8,11000,11060,11000,11060,1,0.9,11,10,NA,NA,0,13,0,0,1.6,FALSE,TRUE,17.95,0.9,1995,1996,24.89,2/27/1996,220,8.125,0,0,1996,0,3.1441422,4.345366
10/4/1996,NW,6,NW6,540963,4187194,3,4.5,0.55,0.1,0.325,13.5,4.3875,muck,mud,3,1,0,NA,NA,NA,NA,NA,NA,1996,10,Fall,1996_Fall_NW6,10/4/1996,17.9,18.3,10950,11460,10950,11460,0.6,3.2,7,36,NA,NA,1954,763,13,0,4.3875,TRUE,TRUE,18.1,0.6,1995,1996,24.89,2/27/1996,220,173.9031339,2.962962963,445.3561254,1996,0,3.1441422,4.345366
10/4/1996,NW,7,NW7,540997,4187181,3,3.5,0.48,0,0.24,10.5,2.52,gravel,sand,0,0,0,NA,NA,NA,NA,NA,NA,1996,10,Fall,1996_Fall_NW7,10/4/1996,18.9,19.4,11190,11460,11190,11460,0.7,1,8,11,NA,NA,15,1567,0,0,2.52,TRUE,TRUE,19.15,0.7,1995,1996,24.89,2/27/1996,220,621.8253968,0,5.952380952,1996,0,3.1441422,4.345366
10/4/1996,NW,8,NW8,541018,4187197,3,2.7,0.4,0.08,0.24,8.1,1.944,muck,mud,2,2,0,NA,NA,NA,NA,NA,NA,1996,10,Fall,1996_Fall_NW8,10/4/1996,20,21.7,11470,11740,11470,11740,0.2,1.3,2,15,NA,NA,555,429,1,0,1.944,TRUE,TRUE,20.85,0.2,1995,1996,24.89,2/27/1996,220,220.6790123,0.514403292,285.4938272,1996,0,3.1441422,4.345366
10/4/1996,NW,8.1,NW8.1,541086,4187187,3,3,0.4,0,0.2,9,1.8,mud,NA,1,2,0,NA,NA,NA,NA,NA,NA,1996,10,Fall,1996_Fall_NW8.1,10/4/1996,20.5,23,11740,12680,11740,12680,0.6,1.4,7,17,NA,NA,153,196,5,0,1.8,TRUE,TRUE,21.75,0.6,1995,1996,24.89,2/27/1996,220,108.8888889,2.777777778,85,1996,0,3.1441422,4.345366
10/5/1996,E,10,E10,541620,4187269,3,3,0.35,0.2,0.275,9.1,2.5146,muck,NA,1,1,0,NA,NA,NA,NA,NA,NA,1996,10,Fall,1996_Fall_E10,10/5/1996,16.7,16.6,9020,8170,9020,8170,0.5,0.6,5,6,NA,NA,23,76,0,0,2.5025,FALSE,TRUE,16.65,0.5,1995,1996,24.89,2/27/1996,221,30.36963037,0,9.190809191,1996,0,3.1441422,4.345366
