# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_1da31fedae2a5a0f3dee12aa72b98913_model
# start_datetime = 2025-10-08 00:40:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 8000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpQsbbzj/standata-18e6604ac13.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /cloud/project/stan_output/model_1da31fedae2a5a0f3dee12aa72b98913-202510080040-1-882dac.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /cloud/project/stan_output/model_1da31fedae2a5a0f3dee12aa72b98913-profile-202510080040-1-5425fc.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_1da31fedae2a5a0f3dee12aa72b98913_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_Zone,tau_Zone,beta_Wind,beta_Temp,beta_Year_2,beta_Year,beta_SB_count,a_Temp,a_SAV,a_SC,a_SB,a_DO,a_BreachDays,a_Goby.1,a_Goby.2,a_Goby.3,beta_Temp_2,beta_Micro,beta_Rain,beta_SC_count,beta_SAV,beta_SAV_2,beta_DO,beta_BreachDays,beta_BreachDays_2,beta_Substrate,beta_Goby_lag,tau,phi
# Adaptation terminated
# Step size = 0.0841645
# Diagonal elements of inverse mass matrix:
# 0.0571052, 0.964284, 0.000492194, 0.000777147, 0.00344338, 0.00226013, 0.00837537, 0.000859204, 0.00084212, 0.0175886, 0.0143098, 0.000879838, 0.000819588, 0.0168719, 0.0125637, 0.0140427, 0.00206584, 0.00220187, 0.000891608, 0.00968368, 0.00399911, 0.974176, 0.00124371, 0.000661089, 0.00193308, 0.00752205, 0.00232524, 0.000406523, 0.0096329
-1355.23,0.944677,0.0841645,6,63,0,1370.49,0.928759,0.220987,-0.632143,0.497382,0.0119028,-0.00937957,0.613736,-0.00531106,-0.0098064,-0.504581,-0.28987,0.0327237,0.0114489,1.25298,0.916085,1.02678,-0.398849,0.122978,0.701003,-0.95299,0.43143,-0.313797,0.459281,0.299596,-0.010379,0.0204022,-0.0536957,0.52097,0.704106
-1358.9,0.996567,0.0841645,5,31,0,1368.82,1.0356,0.162989,-0.610147,0.486444,0.0161292,0.0203964,0.620002,-0.0257529,0.0189907,-0.684613,-0.290193,0.0147526,0.0649648,1.19547,0.922252,0.974886,-0.351559,0.149853,0.717695,-0.884682,0.467337,0.206903,0.445812,0.273535,-0.0308239,0.011329,-0.0739265,0.519237,0.736043
-1359.27,0.988595,0.0841645,6,63,0,1374.96,1.02638,0.167932,-0.674024,0.43721,-0.152504,-0.0387221,1.11012,0.0169794,0.00440936,-0.47771,-0.239247,-0.017751,-0.0743694,1.1206,0.90886,1.10972,-0.629634,0.141385,0.74998,-0.718564,0.538024,-0.517713,0.528638,0.340343,-0.034674,-0.00628876,0.00980858,0.509779,0.65556
-1356.36,0.990555,0.0841645,5,31,0,1374.27,0.464566,0.844228,-0.666309,0.420067,0.0368592,0.106936,0.741384,0.0353896,0.0250487,-0.635135,-0.344199,0.0116116,0.0272692,1.15896,0.92756,0.857405,-0.484106,0.0774216,0.739908,-0.67233,0.453088,-1.12144,0.477903,0.275527,-0.0234968,-0.0374647,9.80362e-05,0.508025,0.702117
-1358.7,0.994757,0.0841645,5,63,0,1370.78,0.366869,1.60587,-0.658298,0.406504,-0.0860486,-0.0788288,0.994324,-3.77524e-05,-0.041261,-0.787367,-0.1391,-0.0146649,-0.0353707,0.917602,0.684155,0.854791,-0.45898,0.173785,0.738148,-0.898411,0.435442,0.480683,0.586132,0.310795,-0.0109848,0.320112,-0.0614818,0.51468,0.599281
-1362.21,0.995235,0.0841645,5,31,0,1372.51,0.282766,2.02628,-0.663832,0.386719,-0.0562653,-0.0414749,0.965375,-0.0195333,-0.0491456,-0.883731,-0.077435,-0.0216952,-0.0322973,0.929507,0.731664,0.842712,-0.456521,0.208048,0.753859,-0.919069,0.427786,1.31643,0.580877,0.320797,-0.0326742,0.300609,-0.048552,0.514286,0.540214
-1362.13,0.994121,0.0841645,5,31,0,1375.28,0.238558,1.31115,-0.65959,0.381897,-0.0506499,-0.0338896,0.94135,-0.024337,-0.048021,-0.906851,-0.0691092,-0.0204666,-0.0264689,0.930307,0.741192,0.828265,-0.453872,0.210786,0.757231,-0.924813,0.417151,1.29945,0.587261,0.312621,-0.0330608,0.308665,-0.0508141,0.515464,0.534986
-1356.06,0.990049,0.0841645,6,63,0,1377.24,0.694139,0.246306,-0.670732,0.437159,-0.127816,-0.00871164,0.852978,-0.0281666,0.0499537,-0.903112,-0.380544,-0.0374883,0.0036701,1.0519,0.940968,0.958222,-0.534708,0.0685624,0.706992,-0.822268,0.575182,-0.520159,0.506801,0.300889,-0.0484934,0.138115,-0.169318,0.513551,0.598458
-1354.14,0.993913,0.0841645,5,63,0,1368.21,0.973731,0.212137,-0.646383,0.448974,-0.07519,-0.0336244,0.877077,0.0140874,-0.00121076,-0.629212,-0.396121,0.0010429,-0.0148218,1.00397,0.742846,0.923773,-0.523772,0.161121,0.716856,-0.811495,0.650088,1.30003,0.443946,0.264903,-0.0502942,0.223864,-0.0629049,0.504433,0.573499
-1355.05,0.993926,0.0841645,6,63,0,1368.62,0.715122,0.213594,-0.640097,0.508053,0.0010916,0.0689158,0.77464,-0.0134447,-0.0102666,-0.760808,-0.345306,0.00891006,0.0102324,1.03369,0.764007,0.911245,-0.494987,0.160273,0.685545,-0.770639,0.569375,0.891259,0.462104,0.289003,-0.0274418,0.236394,-0.140313,0.513258,0.577494
-1353.76,0.995143,0.0841645,6,63,0,1368.7,0.75704,0.226482,-0.63691,0.511324,0.00180269,0.0727942,0.777303,-0.0070939,-0.00885307,-0.763686,-0.343351,0.00343194,0.0124012,0.99681,0.75881,0.876304,-0.498702,0.167939,0.687093,-0.78863,0.567348,0.521763,0.459488,0.284381,-0.0159822,0.230506,-0.125883,0.511601,0.557926
-1351.73,0.995466,0.0841645,6,63,0,1371.35,0.845557,0.0682201,-0.661425,0.409856,-0.0438627,0.00109516,1.02631,-0.00777844,0.0161251,-0.775163,-0.230349,-0.00850412,0.00786264,0.931299,0.861242,0.731443,-0.559419,0.0544191,0.796169,-0.847541,0.585829,0.0704585,0.514589,0.30926,0.0239187,0.110103,-0.00635988,0.524345,0.714376
-1353.03,0.944697,0.0841645,5,31,0,1361.67,0.907675,0.1384,-0.680092,0.432088,-0.0383963,0.0347345,0.947731,-0.0650583,0.0419592,-0.679163,-0.28615,0.00476989,-0.00886239,0.89309,0.775271,0.960487,-0.588966,0.0982101,0.788973,-0.708094,0.578816,-0.368947,0.514362,0.300658,0.0283034,0.0427748,-0.0212076,0.517194,0.717678
-1351.01,0.998995,0.0841645,6,63,0,1363.91,0.948784,0.0878664,-0.624224,0.486242,-0.0480559,-0.0137421,0.832708,0.0480693,-0.0406011,-0.659603,-0.240641,-0.000342097,0.00968612,1.06286,0.830858,1.00371,-0.409999,0.14248,0.68756,-0.842817,0.449516,-1.17123,0.500845,0.31382,-0.0548066,0.140835,-0.0857263,0.507654,0.684816
-1353.03,0.989209,0.0841645,6,63,0,1365.25,0.967483,0.0521531,-0.632163,0.477628,-0.0280817,0.0184,0.847349,0.0120111,0.0192981,-0.534919,-0.0660184,0.0200388,0.00971392,0.983174,1.02457,0.918592,-0.482871,0.144116,0.758873,-0.85911,0.352642,0.512352,0.494731,0.277852,-0.0138756,0.0905288,-0.0943462,0.515278,0.810617
-1355.05,0.911591,0.0841645,6,63,0,1364.57,1.05818,0.187479,-0.688145,0.437052,-0.0338354,-0.0159151,0.85428,-0.0103565,-0.0138293,-0.761985,-0.518958,-0.00408958,0.0090877,1.14612,1.13476,1.03788,-0.63839,0.121697,0.719374,-0.797321,0.512712,-0.0769374,0.512608,0.311062,-0.0612257,0.0276695,-0.0330242,0.522222,0.578834
-1356.74,0.990548,0.0841645,6,63,0,1370.38,0.923609,0.141866,-0.651611,0.492566,-0.0866128,-0.0024362,0.998627,0.00887502,-0.00731005,-0.667959,-0.297016,-0.00898088,0.0535924,0.970543,0.847601,0.667589,-0.510384,0.203174,0.722071,-0.856182,0.469971,-0.37107,0.521841,0.268046,-0.0111494,0.137398,-0.0718594,0.517602,0.589502
-1355.73,0.999707,0.0841645,5,63,0,1367.92,0.552437,0.352197,-0.644786,0.436844,0.0857043,0.0693239,0.83597,-0.0160093,0.0142552,-0.46822,-0.442875,0.0149355,0.0140765,0.921363,0.731375,0.814698,-0.434115,0.139567,0.715381,-0.792735,0.485785,0.141342,0.442448,0.312266,-0.00669595,0.085334,-0.125623,0.510002,0.552482
-1364.2,0.952755,0.0841645,5,31,0,1382.84,0.762233,0.240112,-0.642154,0.477667,0.0635575,0.0380509,0.823745,-0.0189991,0.0872719,-0.516647,-0.27016,0.0554959,0.0292742,0.862378,0.716338,0.648626,-0.385884,0.143478,0.792776,-0.705643,0.345277,-0.360081,0.51633,0.318903,-0.0253214,0.0770124,-0.100811,0.513988,0.478016
