# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_1da31fedae2a5a0f3dee12aa72b98913_model
# start_datetime = 2025-10-08 00:40:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 8000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpQsbbzj/standata-18e6604ac13.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /cloud/project/stan_output/model_1da31fedae2a5a0f3dee12aa72b98913-202510080040-2-882dac.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /cloud/project/stan_output/model_1da31fedae2a5a0f3dee12aa72b98913-profile-202510080040-2-5425fc.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_1da31fedae2a5a0f3dee12aa72b98913_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_Zone,tau_Zone,beta_Wind,beta_Temp,beta_Year_2,beta_Year,beta_SB_count,a_Temp,a_SAV,a_SC,a_SB,a_DO,a_BreachDays,a_Goby.1,a_Goby.2,a_Goby.3,beta_Temp_2,beta_Micro,beta_Rain,beta_SC_count,beta_SAV,beta_SAV_2,beta_DO,beta_BreachDays,beta_BreachDays_2,beta_Substrate,beta_Goby_lag,tau,phi
# Adaptation terminated
# Step size = 0.0729334
# Diagonal elements of inverse mass matrix:
# 0.0526576, 0.920818, 0.000499726, 0.000777987, 0.00338147, 0.00228355, 0.00817467, 0.000772507, 0.0008126, 0.0167674, 0.0156266, 0.000808406, 0.00082314, 0.0170544, 0.0129918, 0.0139465, 0.00191714, 0.00237847, 0.000864136, 0.00927413, 0.00388577, 1.04431, 0.00122712, 0.000644214, 0.00196775, 0.00777125, 0.00222203, 0.000398748, 0.00985498
-1352.52,0.974575,0.0729334,6,63,0,1364.34,0.714891,0.241446,-0.642762,0.479685,-0.0339443,-0.0166388,1.07418,0.024081,0.00130543,-0.733091,-0.588748,-0.00628186,0.00488111,0.951771,0.757447,0.835609,-0.468254,0.179277,0.777239,-0.805953,0.481339,0.180865,0.464327,0.306899,-0.0312256,0.0956477,-0.0307345,0.533433,0.649677
-1349.12,0.945613,0.0729334,6,63,0,1362.99,0.900508,0.0264325,-0.655785,0.455101,-0.0459327,0.0340454,0.916182,0.010146,0.0226667,-0.580376,-0.0198095,0.0336175,-0.0270555,0.87603,0.898118,0.880557,-0.472374,0.237679,0.722195,-0.839096,0.521882,0.653883,0.476855,0.307983,0.0413575,0.0714929,-0.032438,0.505451,0.809656
-1347.45,0.946074,0.0729334,5,63,0,1355.01,0.936395,0.0228373,-0.662126,0.445219,-0.0417167,0.012711,0.885344,0.0117037,0.0334745,-0.527668,0.0180394,0.0128993,-0.0110554,0.914137,0.934985,0.921035,-0.475829,0.213953,0.716913,-0.74666,0.466029,0.842643,0.482704,0.288246,-0.00858579,0.0306991,-0.0615595,0.510792,0.800323
-1354.16,0.6158,0.0729334,6,63,0,1361.06,0.75983,0.247603,-0.624357,0.432413,0.0365338,-0.0663782,0.938052,-0.0125924,-0.0389051,-0.895748,-0.561514,-0.0047273,0.0188087,0.935403,0.758311,0.781118,-0.533981,0.0681203,0.741278,-0.76895,0.49519,-0.0255001,0.550853,0.329908,0.00730859,0.100493,-0.0761756,0.520448,0.575664
-1352.86,0.994436,0.0729334,6,63,0,1369.49,1.06569,0.0631768,-0.679577,0.478002,-0.0899395,0.0208548,0.815079,0.00903708,0.0406907,-0.39574,0.0162795,0.00984347,-0.0122576,1.04805,0.988683,1.0392,-0.466537,0.187882,0.717468,-0.788411,0.525744,-0.411068,0.446007,0.309251,-0.054328,0.0326033,-0.0320832,0.508073,0.784127
-1351.67,0.990714,0.0729334,6,63,0,1365.99,0.945117,0.283675,-0.614016,0.467496,0.00864181,-0.00364806,0.919377,0.0136902,-0.0190627,-0.871637,-0.400035,-0.010575,-0.00761381,1.07256,0.877979,0.892446,-0.486072,0.111492,0.773196,-0.811342,0.448326,-1.23982,0.502226,0.29188,-0.0178975,0.0249496,-0.0724673,0.495911,0.659573
-1352.27,0.991359,0.0729334,6,63,0,1365.18,0.762867,0.112631,-0.663891,0.460825,-0.0819659,-0.0595268,0.853536,0.00623685,0.0238288,-0.643928,-0.340311,-0.0345573,-0.00369152,0.971114,0.815703,0.875559,-0.438684,0.201267,0.70566,-0.74409,0.533054,0.686079,0.456341,0.338029,-0.0321907,0.243403,-0.0719074,0.51596,0.809502
-1359.26,0.992244,0.0729334,6,63,0,1373.04,0.664166,0.351543,-0.672642,0.381108,-0.0205747,-0.006529,0.952089,-0.033726,-0.0568231,-0.985035,-0.243472,-0.0322011,0.0249865,1.0203,0.816838,0.760585,-0.453516,0.0605267,0.737731,-0.931459,0.416492,-0.23138,0.583802,0.274499,-0.00216284,0.232428,-0.0822006,0.511333,0.4866
-1367.14,0.994398,0.0729334,6,63,0,1380.35,0.500757,0.527564,-0.670719,0.420183,-0.192,-0.046478,0.917437,-0.0516853,0.0365559,-0.681461,-0.162157,-0.0139536,-0.0257555,0.945707,0.689133,0.833312,-0.419008,0.145081,0.688084,-0.7383,0.360591,-0.211006,0.563129,0.286861,-0.000505032,0.317246,-0.0752804,0.521367,0.299816
-1356.31,0.999861,0.0729334,6,63,0,1377.12,0.655042,0.382158,-0.647049,0.419516,-0.106527,-0.0255892,0.802616,0.0146522,0.0151711,-0.716546,-0.297162,-0.0192066,0.0185241,0.940449,0.951185,0.863854,-0.387686,0.112849,0.74595,-0.797255,0.390691,-1.4977,0.517267,0.281261,-0.000666695,0.272228,0.00625972,0.518025,0.548071
-1360.1,0.990066,0.0729334,6,63,0,1372.21,0.0510404,0.850728,-0.633996,0.428483,-0.00450315,0.0151592,0.88249,-0.017886,-0.0235942,-0.47409,0.0180581,0.0158375,0.00950827,1.09444,0.815732,0.775343,-0.562929,0.138219,0.705092,-0.750062,0.675693,-0.297167,0.494801,0.343026,0.015043,-0.0716901,-0.120184,0.510337,0.615169
-1359.54,0.99987,0.0729334,6,63,0,1368.54,0.236245,1.19829,-0.680093,0.435266,-0.110601,-0.020549,0.881062,0.0180863,0.0257224,-0.862413,-0.558756,-0.017215,-0.00900581,1.21758,0.84701,0.881316,-0.419888,0.11418,0.7716,-0.805838,0.334322,0.348115,0.540988,0.275839,-0.0561358,0.161732,0.0220654,0.516576,0.734918
-1360.76,0.994309,0.0729334,6,63,0,1373.35,0.702409,0.247847,-0.628938,0.423862,0.0668859,-0.0471464,0.900571,-0.0092151,-0.0227138,-0.61487,-0.0755764,0.013552,0.0467986,0.661061,0.756018,0.791101,-0.53712,0.163784,0.674102,-0.835177,0.665565,0.0721303,0.483082,0.314467,0.00868576,0.135546,-0.0927015,0.516528,0.564854
-1364.93,0.992531,0.0729334,6,63,0,1385.4,0.854184,0.160917,-0.637982,0.473395,0.0494657,-0.00345039,0.835311,0.0727861,-0.042827,-0.811928,-0.278913,0.00227656,-0.0267717,0.949377,0.689513,0.79083,-0.613257,0.115343,0.749666,-0.736384,0.555515,-0.230774,0.57367,0.323987,0.0864258,0.0832933,-0.0714807,0.528508,0.447557
-1358.9,0.999459,0.0729334,6,63,0,1379.47,0.928951,0.0729058,-0.658959,0.507482,-0.100302,0.0447094,0.941197,-0.071937,0.022268,-0.450201,-0.266956,-0.000182891,0.0154928,1.08376,0.861691,0.990495,-0.447477,0.124247,0.717292,-0.741307,0.496012,-0.186233,0.437181,0.274115,-0.116694,0.0697931,-0.0543481,0.502385,0.90806
-1358.92,0.988131,0.0729334,6,63,0,1377.42,0.965676,0.0764347,-0.643654,0.399312,0.0159797,-0.0561894,0.817066,0.081698,-0.0291465,-0.760383,-0.27421,-0.0238878,-0.00338187,1.08104,0.953656,0.912548,-0.557515,0.141666,0.738547,-0.803902,0.482636,0.252856,0.583941,0.34204,0.0569311,0.0513459,-0.0152144,0.531044,0.449769
-1348.74,0.732259,0.0729334,6,63,0,1367.16,0.92036,0.0187518,-0.661435,0.465792,0.00925141,0.0507608,0.977778,-0.0544585,-0.027596,-0.420385,-0.336411,0.0051106,0.0209426,0.950808,0.92209,0.908329,-0.471512,0.126921,0.747068,-0.790209,0.51607,-0.199574,0.493799,0.312634,-0.0571276,-0.0248221,-0.105644,0.502044,0.824534
-1349.94,0.44366,0.0729334,5,63,0,1364.5,0.94634,0.0168449,-0.668551,0.474007,0.0656782,0.0177017,0.867156,-0.0416156,-0.0338093,-0.465938,-0.292383,0.0530325,0.022021,0.937307,0.93689,0.940574,-0.486228,0.11267,0.731318,-0.744609,0.486929,0.129422,0.484224,0.30119,-0.0629907,-0.00654677,-0.0647095,0.494681,0.798889
-1358.22,0.790028,0.0729334,3,13,1,1373.63,0.914523,0.0297798,-0.639072,0.460171,0.0574289,-0.00248421,0.796279,-0.00725372,-0.0199719,-0.558363,-0.283579,0.0460959,0.042672,0.955237,0.898558,0.908319,-0.49729,0.105068,0.710756,-0.833661,0.408819,0.699956,0.479203,0.307661,-0.0666551,-0.0371283,-0.0394464,0.493972,0.838633
-1354.5,0.700139,0.0729334,6,63,0,1375.89,0.936362,0.139476,-0.636862,0.427587,-0.21586,-0.0351076,0.95866,-0.0110012,0.0318138,-0.679185,-0.148898,-0.011215,0.00459304,1.031,0.879996,0.895738,-0.458321,0.139627,0.726571,-0.706798,0.410454,0.167198,0.515364,0.267422,-0.0511243,0.136209,-0.0208739,0.514853,0.641086
-1356.29,0.999253,0.0729334,6,63,0,1366.75,0.700067,0.405434,-0.665115,0.45109,-0.0496813,-0.0335902,0.663404,0.00687338,0.0133783,-0.686691,-0.450857,0.0461256,-0.0232199,1.05717,0.97581,1.01297,-0.509244,0.177941,0.729478,-0.877765,0.499444,1.2328,0.514625,0.348735,-0.0423766,0.0698822,-0.103751,0.51228,0.669279
-1358.18,0.998496,0.0729334,6,63,0,1371.04,0.878781,0.20262,-0.65208,0.399134,-0.0994959,0.00426464,0.948421,-0.0340956,-0.0371083,-0.652689,-0.0876278,-0.0472408,0.0047456,1.14778,1.08766,1.17517,-0.469571,0.0848833,0.757146,-0.781855,0.477646,-1.28207,0.502981,0.277227,-0.080705,0.0350816,0.00390699,0.511504,0.706543
-1353.05,0.946625,0.0729334,6,63,0,1373.59,0.964259,0.393929,-0.661403,0.465048,-0.0220431,0.0154597,0.820434,0.0465649,0.0505702,-0.683305,-0.465689,0.0364411,0.0144568,0.98518,0.83255,0.848402,-0.533587,0.16823,0.742667,-0.92559,0.554725,0.335654,0.492097,0.324816,0.0541324,0.148841,-0.0866433,0.509974,0.621773
-1351.2,0.517441,0.0729334,6,63,0,1365.91,0.902099,0.190985,-0.642374,0.441041,-0.0214509,0.00468903,0.802052,0.0365479,0.0448963,-0.771141,-0.44503,0.0243695,-0.00624884,0.921234,0.863041,0.898929,-0.508552,0.187346,0.74552,-0.835541,0.608101,0.0949486,0.492398,0.305486,0.0323732,0.243254,-0.0420616,0.513457,0.666571
-1352.53,0.99761,0.0729334,6,63,0,1363.23,0.92156,0.113461,-0.650338,0.426835,-0.0423101,-0.0195306,0.991197,-0.03761,-0.0482243,-0.57618,-0.101249,-0.024002,-0.00220726,1.04398,0.983082,0.968066,-0.45882,0.0709754,0.720123,-0.801387,0.39741,-0.0856303,0.494539,0.305345,-0.060433,-0.105552,-0.0389883,0.514619,0.718736
-1355.83,0.991627,0.0729334,6,63,0,1373.27,0.577684,0.299795,-0.667251,0.413777,-0.0311988,0.02181,0.813705,0.0394086,0.0489998,-0.602035,-0.487556,0.026423,0.0101054,1.0538,0.819403,0.862885,-0.544698,0.172218,0.732825,-0.782794,0.566489,-0.144259,0.531905,0.320065,0.039124,0.26167,-0.039222,0.509163,0.631785
-1353.83,0.998157,0.0729334,6,63,0,1368.27,0.686362,0.14955,-0.642503,0.496503,0.0454565,-0.00108916,0.998989,-0.0476213,-0.00480801,-0.718603,-0.148676,0.00302793,-0.0105116,0.874614,0.773124,0.74517,-0.491855,0.0892578,0.710467,-0.687493,0.519843,-0.999309,0.450267,0.29958,0.0643156,-0.0334393,-0.0297484,0.517745,0.60584
-1360.22,0.976868,0.0729334,6,63,0,1375.48,0.672753,0.196994,-0.648946,0.461279,-0.0421854,-0.0177484,1.01875,-0.0233449,-0.00384495,-0.778804,-0.265126,0.0167315,0.00694535,0.788945,0.651217,0.810794,-0.520837,0.0652307,0.72888,-0.843304,0.513795,-0.846304,0.469201,0.300133,0.02478,-0.0515979,0.0555183,0.509842,0.596123
-1358.59,0.997677,0.0729334,6,63,0,1376.75,0.513679,0.572026,-0.648006,0.416689,0.065197,0.0908017,0.788521,-0.00839623,-0.0273741,-0.386661,-0.199862,0.00410599,-0.007612,1.12439,0.798499,0.717969,-0.513097,0.114863,0.746077,-0.854361,0.45607,1.87107,0.515589,0.343606,0.015979,-0.0134418,-0.0624713,0.507941,0.801397
-1356.92,0.999825,0.0729334,6,63,0,1366.24,0.532247,0.374419,-0.644427,0.423115,0.0609463,0.0971357,0.791658,-0.012056,-0.0306801,-0.385495,-0.211685,0.0113445,-0.00150907,1.1024,0.79477,0.721745,-0.508097,0.116821,0.746251,-0.839622,0.452418,1.62058,0.518144,0.339344,0.0246262,-0.0137982,-0.0666542,0.504981,0.785176
-1354.14,0.996498,0.0729334,6,63,0,1368.42,1.08479,0.0937954,-0.642254,0.450446,-0.110276,-0.0851384,1.01061,0.0143122,0.0337058,-0.872934,-0.340032,-0.0012774,0.00419761,1.07212,1.01483,1.08104,-0.499112,0.117709,0.719691,-0.740241,0.540081,-1.63535,0.461753,0.276737,-0.0793145,0.162972,-0.0176396,0.523092,0.585856
-1354.71,0.973805,0.0729334,6,63,0,1365.33,1.04438,0.0938673,-0.618346,0.463792,-0.160119,-0.0927926,0.888604,0.0285897,0.0157927,-0.739309,-0.32901,0.015971,0.024265,1.18407,0.992666,1.0592,-0.47529,0.145324,0.709889,-0.762043,0.492479,-1.64684,0.487743,0.268541,-0.0859143,0.169332,0.00763379,0.529235,0.528195
-1353.41,0.994655,0.0729334,6,63,0,1362.1,1.13475,0.139475,-0.624739,0.464248,-0.172918,-0.0593063,0.9074,0.0317981,0.0166279,-0.728498,-0.232512,-0.0110188,0.00424892,1.23352,1.06455,1.08127,-0.45739,0.175096,0.703182,-0.754672,0.518846,-1.06114,0.481655,0.262349,-0.0910045,0.0319231,0.0252145,0.519147,0.559314
-1357.09,0.971738,0.0729334,6,63,0,1374.75,0.951072,0.133349,-0.677762,0.432398,0.0410079,0.0732889,0.718975,-0.034835,-0.0169874,-0.714498,-0.308384,0.0151318,-0.0112114,1.07102,0.933253,0.795319,-0.530404,0.0541463,0.766387,-0.733657,0.569279,1.05967,0.537786,0.353779,0.0638735,-0.0112353,-0.116269,0.510828,0.688717
-1360.87,0.994925,0.0729334,6,63,0,1375.37,0.957689,0.0890386,-0.626278,0.465286,-0.118058,-0.127719,1.0906,0.0390087,0.0325326,-0.609625,-0.360713,0.00981605,-0.0345679,1.03807,0.929997,1.06583,-0.417418,0.187821,0.731165,-0.715179,0.549828,-0.506206,0.436957,0.284267,-0.0695059,0.0885946,0.0144241,0.518079,0.634585
-1358.19,0.931088,0.0729334,6,63,0,1382.91,1.06564,0.0947416,-0.668804,0.407602,0.0743553,0.144592,0.690622,-0.0284265,-0.0240416,-0.60552,-0.217043,-0.0267075,0.0124999,0.988375,0.902135,0.935886,-0.530698,0.0577056,0.779997,-0.814154,0.573647,-1.56012,0.540384,0.319653,0.00184493,0.0655247,-0.0711128,0.508286,0.671095
-1360.74,0.999415,0.0729334,6,63,0,1372.68,0.762117,0.174551,-0.677309,0.375158,0.037871,0.172655,0.752018,-0.035075,0.00760352,-0.622801,-0.186784,0.0259713,0.0130068,1.0784,0.865532,0.951726,-0.52452,0.150032,0.758897,-0.86232,0.542091,-2.7539,0.540523,0.323555,0.0233504,0.0578459,-0.07045,0.508859,0.675013
-1360.02,0.999452,0.0729334,6,63,0,1376.89,0.763089,0.0719498,-0.648468,0.450273,-0.00197415,-0.168294,1.15553,0.0146152,-0.00879199,-0.686168,-0.368757,-0.0358183,-0.00672676,0.79724,0.678083,0.733221,-0.475381,0.10094,0.710809,-0.708589,0.353041,2.76386,0.489241,0.306215,-0.0265558,0.198024,-0.0344065,0.521525,0.587359
-1351.5,0.992919,0.0729334,6,63,0,1369.86,0.933981,0.0298318,-0.666001,0.446449,-0.0896418,0.0895585,0.822372,-0.0250513,-0.0200014,-0.526874,-0.160705,0.0107929,-0.0311379,0.958277,0.875452,0.901644,-0.449985,0.154655,0.737673,-0.802587,0.60107,-0.975413,0.498155,0.280149,-0.000379441,0.0934771,-0.0606144,0.520041,0.565966
-1352.09,0.944824,0.0729334,6,63,0,1363.14,0.960629,0.0466563,-0.644855,0.411298,-0.0448085,0.109202,0.919234,-0.0176825,0.0448189,-0.573902,-0.318559,-0.0149565,-0.00685162,0.981043,0.943134,0.935007,-0.424859,0.17854,0.705017,-0.845239,0.547948,0.931467,0.491774,0.259098,-0.0599974,0.0902917,-0.108188,0.512919,0.620192
-1352.62,0.957183,0.0729334,6,63,0,1369.07,0.946291,0.0532944,-0.635953,0.458647,0.0195267,0.00658529,0.848923,-0.00638193,0.0596307,-0.689055,-0.352747,-0.0182861,0.0484383,0.954267,0.910018,0.94988,-0.451224,0.064969,0.678282,-0.801505,0.417605,-0.229387,0.521942,0.281102,-0.0785608,0.106512,-0.13329,0.510807,0.712233
-1353.92,0.96149,0.0729334,6,63,0,1371.54,0.862818,0.0948369,-0.672002,0.448308,-0.132066,0.0244018,0.953203,-0.0258613,-0.0300622,-0.684487,-0.190815,-0.0235769,-0.0437979,0.89298,0.807793,0.947012,-0.497344,0.184307,0.739283,-0.61548,0.51997,1.98879,0.445601,0.342743,-0.0072712,0.149284,-0.0609333,0.508932,0.642213
-1361.99,0.991883,0.0729334,6,63,0,1373.99,1.02355,0.159899,-0.649502,0.433802,0.0503843,-0.108599,0.871495,0.0167623,0.00914463,-0.51412,-0.511056,0.0386915,0.00720989,1.3441,1.1091,1.06453,-0.48906,0.137123,0.746791,-1.00018,0.471626,-2.01983,0.558118,0.278343,-0.0849617,-0.124361,0.0494598,0.514309,0.699795
-1356.16,1,0.0729334,6,63,0,1376.73,0.807197,0.0689175,-0.666019,0.457238,-0.0712403,0.0326788,1.02308,-0.0362925,0.0192455,-0.919367,-0.099126,-0.0389873,-0.0178811,0.918534,0.864466,0.82465,-0.538143,0.0807045,0.750243,-0.685522,0.50755,2.01219,0.494124,0.334285,0.00542901,0.152144,-0.191479,0.51807,0.628576
-1353.68,0.997875,0.0729334,5,31,0,1364.75,0.759714,0.055206,-0.654458,0.454947,-0.0707433,0.0471922,1.03221,-0.0513705,0.0261984,-0.932778,-0.19158,-0.00913406,-0.00796674,0.762005,0.703087,0.805384,-0.530948,0.0842981,0.749621,-0.740021,0.496288,1.03462,0.533445,0.35848,0.000822349,0.204869,-0.13561,0.520083,0.719338
-1352.04,0.79408,0.0729334,6,63,0,1364.19,0.938706,0.0656263,-0.674439,0.440859,0.0454368,-0.00119379,0.824126,0.0621718,-0.00204782,-0.598395,-0.420296,0.000633782,-0.00140419,0.981887,0.953581,0.920227,-0.421638,0.206037,0.748013,-0.872689,0.475623,-0.315705,0.485344,0.298033,-0.0474088,-0.111819,0.0184051,0.504243,0.645522
-1354.57,0.973542,0.0729334,6,63,0,1370.01,0.934981,0.257667,-0.632444,0.468199,-0.134425,0.00690327,0.935428,-0.0620026,0.00413019,-0.565715,-0.145873,0.00147697,-0.0108671,1.08386,0.995145,0.956382,-0.6134,0.0746627,0.713554,-0.683366,0.613303,0.158994,0.519731,0.323335,-0.00397539,0.0227877,-0.0314978,0.523484,0.629087
-1354.05,0.997412,0.0729334,6,63,0,1365.07,0.770672,0.15963,-0.633479,0.476364,-0.141469,-0.00474604,0.882163,-0.0468843,0.0257887,-0.637664,-0.188824,0.0120415,-0.0170323,1.08755,0.997263,0.994408,-0.607745,0.0886728,0.706824,-0.681506,0.604302,-0.0863045,0.506008,0.309889,-0.00655274,0.0804308,-0.0327577,0.520466,0.660802
-1352.86,0.996102,0.0729334,6,63,0,1369.04,0.816578,0.127829,-0.662966,0.482143,0.0217277,0.0174656,0.826175,0.0343224,-0.0105901,-0.606934,-0.377126,-0.00714473,0.0134356,1.13719,0.981536,0.891006,-0.429522,0.144027,0.764204,-0.889401,0.421109,0.226455,0.503659,0.30086,-0.0891428,0.0269296,-0.0720408,0.507764,0.776253
-1360.77,0.98263,0.0729334,6,63,0,1375.75,1.15709,0.718373,-0.597319,0.482513,-0.0153038,0.0355591,0.82316,0.0415605,0.0356134,-0.746421,-0.314407,-0.0319356,-0.0541169,1.10353,0.706503,1.02352,-0.433993,0.130226,0.744535,-0.68664,0.463434,-0.544106,0.451777,0.288091,-0.0679623,0.120242,0.0019048,0.5088,0.785774
-1362.39,0.990238,0.0729334,6,63,0,1379.31,0.429998,0.524937,-0.685905,0.397002,-0.0130434,-0.039636,0.956241,-0.0452331,-0.0461059,-0.544232,-0.136859,0.0285378,0.0497061,1.11323,0.921507,1.06362,-0.563611,0.166306,0.727051,-0.889206,0.579106,1.2817,0.52039,0.312019,0.0531588,-0.0313927,-0.126162,0.518541,0.586445
-1351.59,0.997578,0.0729334,6,63,0,1376.57,0.777351,0.206876,-0.642947,0.447614,-0.0605233,0.0500356,0.942001,0.0169518,0.0102632,-0.750481,-0.264592,0.00663783,-0.0244097,1.00978,0.840937,0.87707,-0.469542,0.0852603,0.751576,-0.669282,0.461244,-0.462324,0.458562,0.333676,-0.0777287,0.279147,-0.0621897,0.503358,0.702238
-1357.3,0.993863,0.0729334,5,31,0,1366.73,0.875799,0.19781,-0.653384,0.491965,-0.109811,0.0447779,0.816521,-0.00552935,0.0312973,-0.982181,-0.246723,0.0297561,-0.00892847,0.992837,0.655862,0.789237,-0.465047,0.0601044,0.765385,-0.651729,0.481776,-0.3259,0.469216,0.33487,0.0020067,0.19518,-0.0827369,0.508107,0.594637
-1353.05,0.997347,0.0729334,6,63,0,1373.23,1.06778,0.126325,-0.647235,0.419001,-0.000132304,0.00152956,0.834143,-0.024668,-0.0368078,-0.440588,-0.314957,-0.01499,0.0171089,1.03929,1.03188,0.960211,-0.499466,0.204644,0.73374,-0.744888,0.473399,-1.11639,0.533645,0.284686,-0.119027,0.120986,-0.0752946,0.507088,0.705278
-1352.32,0.986887,0.0729334,6,63,0,1369.57,0.909152,0.035236,-0.642258,0.501129,0.0112589,0.0594404,0.927449,-0.0031467,-0.0174038,-0.799093,-0.375536,0.0395054,0.0428049,0.9233,0.882112,0.855341,-0.532697,0.105468,0.737042,-0.649058,0.396535,-0.910763,0.505821,0.290063,-0.0190349,-0.0356454,-0.0452225,0.518548,0.675916
-1351.57,0.993863,0.0729334,6,63,0,1361.55,0.971836,0.0273708,-0.646605,0.409393,-0.0949372,0.0171547,0.87159,-0.052618,-0.0541199,-0.482516,-0.233895,-0.00596548,0.0180872,0.976657,0.952496,0.924172,-0.444005,0.156304,0.725933,-0.84796,0.607022,0.686726,0.473325,0.294415,-0.00912595,0.131618,-0.0778363,0.517518,0.726401
-1357.73,0.75651,0.0729334,6,63,0,1377.75,1.13501,0.151559,-0.622138,0.468225,-0.0332075,-0.0124985,0.873761,0.0556088,0.0554142,-0.751731,-0.442041,0.000436671,-0.0136362,1.3976,1.19959,1.20806,-0.548301,0.0763098,0.735473,-0.787928,0.495428,-0.657804,0.485869,0.310488,-0.113789,-0.0762006,-0.0205862,0.515765,0.703642
-1356.64,0.99071,0.0729334,6,63,0,1373.61,1.00887,0.120358,-0.668148,0.444334,-0.0758926,-0.0333132,0.760108,-0.0652615,-0.0215472,-0.417147,-0.0983522,0.0256156,0.0340323,1.22113,1.04937,1.04978,-0.457596,0.202465,0.755672,-0.938873,0.562948,0.272511,0.473631,0.333854,0.0278086,0.0615186,-0.0637334,0.518545,0.635789
-1354.52,0.981946,0.0729334,6,63,0,1373.26,0.58575,0.631999,-0.630843,0.45378,-0.067936,-0.0205447,0.895193,-0.0111002,-0.0354007,-0.748697,-0.404686,-0.00640015,-0.0191469,1.26034,1.04949,1.13769,-0.538859,0.0733281,0.684584,-0.768624,0.460957,-0.267288,0.546618,0.31912,-0.107408,0.12397,-0.0638636,0.504862,0.703924
-1357.86,0.991725,0.0729334,6,63,0,1375.65,0.711215,0.0751162,-0.703175,0.448946,0.0195726,0.0413577,0.900901,0.0153237,0.0368649,-0.570802,-0.175073,0.00658742,0.0177915,0.875638,0.848427,0.759693,-0.492922,0.223609,0.784699,-0.918099,0.4064,0.321334,0.490432,0.293794,0.0145539,0.0888302,-0.0384065,0.524742,0.61203
-1359.3,1,0.0729334,6,63,0,1370.34,0.73761,0.259531,-0.616003,0.40725,-0.024715,0.0293775,0.958759,0.00655214,-0.0363525,-0.652849,-0.256759,-0.0505442,0.0185418,1.02609,0.716057,0.885554,-0.490184,0.0338461,0.717375,-0.742423,0.529126,1.98968,0.536841,0.354938,-0.0803444,0.0199042,-0.127294,0.518188,0.693255
-1360.33,0.997662,0.0729334,6,63,0,1374.47,0.935946,0.433149,-0.660795,0.52063,-0.0083177,-0.00184389,0.895913,0.00586713,0.0410443,-0.533035,-0.343774,0.0419658,-0.0294263,1.00699,0.912831,0.840198,-0.549275,0.255495,0.759453,-0.795454,0.46696,-1.45035,0.415101,0.290769,0.0296352,0.00613599,0.0183782,0.516761,0.711661
-1353.61,0.989456,0.0729334,6,63,0,1379.57,0.972918,0.0562919,-0.636464,0.445914,-0.168925,-0.0180807,0.809477,-0.0294595,0.042473,-0.5236,-0.247544,0.00697774,-0.0331082,1.00329,0.916912,0.971271,-0.550988,0.0322377,0.759238,-0.667665,0.57216,0.531424,0.486133,0.296921,0.0186922,0.0908263,-0.00807177,0.519526,0.699237
-1349.81,0.924359,0.0729334,5,51,1,1364.56,0.932177,0.0515233,-0.661593,0.42678,-0.0646695,0.0875494,1.00678,-0.0282789,0.00860143,-0.612239,-0.16526,0.00788764,0.0110106,1.00399,0.922612,0.923816,-0.541716,0.151533,0.759155,-0.770981,0.605595,0.691841,0.483997,0.335788,-0.0163235,0.135116,-0.0566487,0.502696,0.796073
-1349.47,0.984448,0.0729334,6,63,0,1361.86,0.979417,0.090917,-0.619725,0.416831,-0.0554649,-0.0288837,0.847145,0.0157047,-0.00104572,-0.558748,-0.319419,-0.014135,-0.0364346,1.10909,0.891007,0.963649,-0.437161,0.149166,0.704137,-0.802463,0.408639,0.127849,0.507937,0.316671,-0.0125117,0.131421,-0.00319375,0.512107,0.725409
-1350.66,0.993499,0.0729334,6,63,0,1369.34,0.801985,0.0290119,-0.655961,0.456148,-0.00343533,0.037308,0.989567,-0.0161557,0.000438669,-0.744025,-0.239611,0.0191937,0.0313468,0.818388,0.834869,0.817621,-0.569513,0.0982046,0.768717,-0.739105,0.584567,0.181724,0.40868,0.291182,0.0198824,0.137688,-0.111986,0.520617,0.611332
