# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_1da31fedae2a5a0f3dee12aa72b98913_model
# start_datetime = 2025-10-08 03:32:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 8000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpEW1Ywh/standata-18ef1ab8d7.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /cloud/project/stan_output/model_1da31fedae2a5a0f3dee12aa72b98913-202510080332-1-5befdc.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /cloud/project/stan_output/model_1da31fedae2a5a0f3dee12aa72b98913-profile-202510080332-1-061f39.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_1da31fedae2a5a0f3dee12aa72b98913_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_Zone,tau_Zone,beta_Wind,beta_Temp,beta_Year_2,beta_Year,beta_SB_count,a_Temp,a_SAV,a_SC,a_SB,a_DO,a_BreachDays,a_Goby.1,a_Goby.2,a_Goby.3,beta_Temp_2,beta_Micro,beta_Rain,beta_SC_count,beta_SAV,beta_SAV_2,beta_DO,beta_BreachDays,beta_BreachDays_2,beta_Substrate,beta_Goby_lag,tau,phi
# Adaptation terminated
# Step size = 0.264438
# Diagonal elements of inverse mass matrix:
# 0.271653, 0.193195, 0.00059698, 0.000773332, 0.00344994, 0.00276878, 0.0102682, 0.0011341, 0.00116922, 0.0158448, 0.01449, 0.00106403, 0.00113846, 0.0172257, 0.0153418, 0.0149788, 0.00180482, 0.00263289, 0.00118712, 0.00965293, 0.00348889, 0.994617, 0.00135457, 0.000760357, 0.00128667, 0.00844442, 0.00267916, 0.000390096, 0.00798197
-1758.2,0.971215,0.264438,4,15,0,1766.05,0.490235,2.02517,-0.621947,0.359004,-0.0934108,0.09417,0.290172,0.0360636,0.0153295,-0.460973,-0.53641,-0.0120918,-0.0308003,1.1646,2.26593,2.33324,-0.420928,0.157705,0.729561,-0.610205,0.181895,0.616235,0.563664,0.38581,-0.0231179,-0.098884,0.145242,0.601415,0.309756
-1758.44,0.968105,0.264438,4,15,0,1768.72,0.630493,1.15446,-0.584807,0.362949,-0.17344,0.22623,0.412126,-0.0284705,-0.0115496,-0.550937,-0.525123,0.0245332,0.031321,1.18231,2.57062,2.24695,-0.485185,0.143415,0.689639,-0.249349,0.0977095,-0.304735,0.596423,0.364403,-0.0642399,-0.12574,0.0486676,0.59625,0.547841
-1759.63,0.933097,0.264438,4,15,0,1768.48,0.130433,1.52378,-0.630922,0.36505,-0.0722557,0.125983,0.242541,0.0282658,0.0143209,-0.50746,-0.512198,-0.0258444,-0.0297447,1.06852,2.33066,2.21121,-0.406086,0.150779,0.726559,-0.635264,0.186267,0.322311,0.56531,0.372708,-0.0229228,-0.134035,0.15913,0.603571,0.313875
-1762.1,0.942276,0.264438,4,15,0,1780.3,0.252239,1.43291,-0.553362,0.386666,-0.129337,0.201293,0.44188,-0.0288476,-0.0154693,-0.623276,-0.480159,0.0302694,0.0295896,1.20002,2.48496,2.1538,-0.489151,0.13988,0.691732,-0.154949,0.121634,-0.301414,0.558129,0.364716,-0.0516774,-0.23302,0.0618451,0.596789,0.511992
-1767.08,0.93805,0.264438,4,15,0,1778.72,0.320299,1.03816,-0.607414,0.35635,-0.0758318,0.157476,0.391188,0.0481559,0.0277451,-0.50467,-0.428694,-0.0168332,-0.0407623,1.10727,2.17316,2.05922,-0.41369,0.121722,0.719188,-0.708572,0.239786,0.83666,0.599345,0.385747,-0.0145344,0.0502019,0.146249,0.607488,0.338851
-1766.07,0.957548,0.264438,4,15,0,1782.6,0.393055,1.24188,-0.610726,0.356246,-0.0455345,0.148813,0.35946,0.0487281,0.0159411,-0.4645,-0.433121,-0.0248679,-0.0372409,1.12063,2.13613,2.10646,-0.425263,0.119921,0.721777,-0.67417,0.238086,1.11137,0.589424,0.39751,-0.00418074,0.0779208,0.139631,0.615729,0.332643
-1768.38,0.993254,0.264438,4,15,0,1781.51,0.612939,1.36926,-0.528667,0.42229,-0.0321018,0.108167,0.45612,-0.00799081,-0.0316784,-0.611525,-0.592354,-0.0312107,0.0140255,0.717334,2.27613,2.09137,-0.428407,0.151567,0.691576,-0.283518,0.104274,-1.08364,0.503773,0.305517,0.0255503,-0.154873,0.07619,0.58286,0.242892
-1766.27,1,0.264438,4,15,0,1781.42,0.728757,0.759571,-0.61692,0.353437,-0.091685,0.290313,0.32473,0.0256814,0.0438861,-0.398999,-0.484235,0.071675,-0.0112768,1.17535,2.25035,2.25156,-0.431215,0.0944443,0.71635,-0.367282,0.204477,0.692375,0.513543,0.396363,-0.107411,0.0512199,0.110922,0.604297,0.597208
-1767.39,0.98269,0.264438,4,15,0,1780.87,-0.232941,2.13865,-0.547453,0.347308,-0.149988,0.0538701,0.406196,-0.0336132,-0.00846939,-0.420123,-0.58469,-0.0784974,0.00461488,1.33643,2.51096,2.31069,-0.507363,0.194315,0.715264,-0.578351,0.139018,-1.18907,0.619703,0.358634,0.0168237,-0.247391,0.0677566,0.604835,0.297131
-1770.51,0.918135,0.264438,4,15,0,1789.74,1.26188,1.55217,-0.637347,0.391414,-0.0756734,0.288205,0.267985,0.0364081,0.00839369,-0.621801,-0.4301,0.0772786,-0.00580004,0.891844,2.35132,2.26067,-0.427304,0.112998,0.706166,-0.313106,0.242632,1.22061,0.503149,0.371132,-0.0984703,0.0919187,0.139042,0.600297,0.552757
-1768.51,0.994824,0.264438,4,15,0,1784.6,-0.679943,1.6906,-0.536466,0.387529,-0.137964,0.0850494,0.355966,-0.03231,-0.0108738,-0.368994,-0.587202,-0.0818881,-0.00207954,1.29964,2.60313,2.30959,-0.473748,0.150287,0.708458,-0.471123,0.091196,-1.31965,0.600326,0.360208,-0.000698917,-0.299294,0.0276356,0.600345,0.310296
-1766.6,0.996434,0.264438,4,15,0,1782.88,0.265832,2.9773,-0.534628,0.39036,-0.105949,0.12769,0.237744,0.0508664,0.0154945,-0.341643,-0.492883,-0.0707163,0.0288651,1.29987,2.57093,2.29049,-0.427022,0.0921697,0.711674,-0.369753,0.11228,-0.80621,0.50545,0.356159,-0.105938,-0.337721,0.0412191,0.587662,0.503877
-1765.95,0.776665,0.264438,4,15,0,1781.89,0.469549,1.14593,-0.642382,0.335968,-0.162622,0.221753,0.373923,-0.0525212,-0.0156238,-0.639162,-0.553735,0.0756053,-0.0298272,1.15198,2.3856,2.45545,-0.501851,0.240168,0.708833,-0.53851,0.165439,0.768589,0.577085,0.37348,0.00093558,0.103887,0.148862,0.612806,0.298617
-1761.51,0.919416,0.264438,4,15,0,1787.98,0.728669,1.08387,-0.555592,0.338996,0.00243493,0.130591,0.393112,0.0527698,0.00710179,-0.467974,-0.50923,-0.0736467,0.0322771,1.00773,2.27243,2.13963,-0.46126,0.0971547,0.708368,-0.421507,0.129451,-0.717465,0.530896,0.380413,-0.0616521,-0.200309,0.0595277,0.58915,0.434528
-1760.88,0.910083,0.264438,4,15,0,1772.58,0.888832,0.96992,-0.599804,0.399241,-0.108607,0.194636,0.515675,-0.084943,-0.0436058,-0.590631,-0.447805,0.000484831,-0.0273088,0.947494,2.33236,2.1398,-0.38489,0.174448,0.747796,-0.348659,0.0912111,0.52847,0.559249,0.357508,-0.0424638,-0.118986,0.107757,0.602437,0.38368
-1761.35,0.96674,0.264438,4,15,0,1778.25,0.0293431,2.55955,-0.597493,0.358038,-0.0404087,0.172768,0.365291,0.0529559,0.0576766,-0.47473,-0.544217,-0.0289223,0.0306182,1.20472,2.22869,2.26064,-0.511879,0.128357,0.697853,-0.422165,0.2332,-0.27704,0.578175,0.400642,-0.0493148,-0.044392,0.142503,0.603813,0.36828
-1759.9,0.992398,0.264438,4,15,0,1777.58,1.14752,1.84361,-0.59043,0.380897,-0.166828,0.165908,0.328386,-0.0524377,-0.0629828,-0.535324,-0.484571,0.0333236,-0.0286195,1.13917,2.48613,2.25221,-0.430352,0.204997,0.72185,-0.452763,0.141091,0.323911,0.56079,0.335589,-0.0547305,-0.211543,0.0435657,0.600233,0.489505
-1760.55,0.996579,0.264438,4,15,0,1773.12,-0.0212104,2.15891,-0.611464,0.380845,-0.072376,0.208375,0.319237,0.0308892,0.065591,-0.624853,-0.53934,-0.0271782,0.0306473,1.25683,2.47386,2.30854,-0.501608,0.116795,0.688215,-0.446218,0.161527,0.201163,0.583949,0.398481,-0.0351849,-0.147852,0.168159,0.60329,0.360836
-1763.04,1,0.264438,4,15,0,1773.3,0.677566,1.34708,-0.599507,0.370199,-0.0781152,0.0555839,0.321294,0.0274489,-0.0379212,-0.270933,-0.548311,0.000769634,0.063695,1.12661,2.60712,2.45438,-0.490624,0.20821,0.725471,-0.508468,0.111318,0.282517,0.5312,0.338298,-0.0410368,-0.22791,-0.0129083,0.6077,0.399255
-1762.81,0.894519,0.264438,4,15,0,1777.41,0.213442,2.2149,-0.583287,0.3688,-0.108391,0.214136,0.331534,-0.0301129,-0.00849917,-0.776805,-0.485792,0.00536377,-0.0120382,1.15105,2.33786,2.1694,-0.455128,0.134347,0.727893,-0.363993,0.323314,-0.0440363,0.536289,0.394551,-0.0079099,-0.0828464,0.165127,0.599048,0.347789
-1759.29,0.945007,0.264438,4,15,0,1774.2,0.337677,1.48125,-0.617151,0.362373,-0.0519641,0.149637,0.428978,0.0239574,0.0109274,-0.317261,-0.537472,0.000376044,-0.00648704,1.10651,2.28452,2.1945,-0.421822,0.151296,0.680301,-0.356164,-0.00243153,-0.0723881,0.61379,0.347992,-0.0493333,-0.0733654,0.0398811,0.602318,0.474582
-1760.46,0.98988,0.264438,4,15,0,1771.08,0.179883,1.31443,-0.588822,0.398657,-0.142614,0.224824,0.354045,0.0535506,0.0155962,-0.423817,-0.586094,-0.0084346,0.0270653,1.04595,2.44216,2.27758,-0.475536,0.0910263,0.732733,-0.323108,0.0168169,0.641091,0.532556,0.39759,-0.0748451,-0.180495,0.150316,0.592974,0.509827
-1757.91,0.981304,0.264438,4,15,0,1773.39,0.307413,2.17915,-0.560543,0.35524,-0.095869,0.155742,0.252597,-0.0386763,-0.0206491,-0.629738,-0.52993,-0.00143317,-0.0283871,0.932244,2.26468,2.21208,-0.424575,0.169786,0.707822,-0.47731,0.23473,-0.701915,0.52643,0.33906,-0.0434823,0.0169692,0.0381578,0.60065,0.349762
-1759.74,0.799512,0.264438,4,15,0,1779.81,0.438304,1.15031,-0.586246,0.39148,-0.0426664,0.161177,0.435261,0.0133113,-0.0165073,-0.677719,-0.742281,0.00954682,-0.0374148,0.913487,2.23307,2.06162,-0.425862,0.17017,0.750349,-0.508393,0.147724,-1.36259,0.492475,0.354916,-0.0245958,-0.084232,0.0302684,0.596063,0.462038
-1758.22,0.948312,0.264438,4,15,0,1770.25,0.261733,1.30506,-0.587415,0.346932,-0.113179,0.197897,0.311885,-0.0108353,0.00744002,-0.350123,-0.309794,0.00494987,0.0301965,1.04652,2.39482,2.35217,-0.494986,0.108851,0.666288,-0.314013,0.0966655,1.13929,0.589354,0.36971,-0.0655863,0.00340471,0.144533,0.605935,0.377936
-1759.44,0.900291,0.264438,4,15,0,1771.5,0.791615,1.15365,-0.643263,0.332221,-0.164039,0.273985,0.226183,0.00708932,-0.0200627,-0.64337,-0.544072,0.0208041,-0.00825952,1.11401,2.44626,2.30216,-0.440822,0.133409,0.696385,-0.295754,0.144288,1.70292,0.564342,0.34654,-0.0235344,-0.143919,0.0565282,0.597612,0.407352
-1759.72,0.973383,0.264438,4,15,0,1773.04,0.971439,0.955377,-0.532588,0.364187,-0.168159,0.139421,0.450057,0.0123773,0.00971821,-0.429732,-0.37795,0.0364704,0.0345647,0.902517,2.29998,2.21285,-0.46686,0.19029,0.691142,-0.233282,0.116223,-0.568409,0.56143,0.364824,0.00118911,-0.0586435,0.131745,0.590853,0.473348
-1758.74,0.905001,0.264438,4,15,0,1773.65,0.692707,0.889012,-0.56361,0.344283,-0.0767801,0.114553,0.352476,-0.0435348,-0.0490999,-0.526981,-0.503172,0.00125422,0.0369678,1.00297,2.24171,2.10392,-0.43632,0.167007,0.723742,-0.419729,0.0337918,-0.249633,0.589646,0.356935,0.0130486,-0.0862084,0.147856,0.614217,0.34186
-1772.66,0.899841,0.264438,4,15,0,1785.43,0.0103089,2.81648,-0.628245,0.319288,-0.22506,0.167975,0.485273,0.0290864,0.017586,-0.553707,-0.361543,0.0387011,-0.000722107,0.910534,2.42591,2.31836,-0.446023,0.0422522,0.661748,-0.343897,0.0119306,-0.535872,0.665294,0.41902,-0.00311497,-0.0658197,0.0593993,0.602996,0.664619
-1760.79,0.99523,0.264438,4,15,0,1783.5,0.660411,1.22908,-0.590458,0.354069,-0.0643594,0.149889,0.188344,-0.0420002,-0.0143145,-0.387373,-0.353214,-0.0417494,0.0216354,1.14287,2.28258,2.12421,-0.376911,0.150418,0.70741,-0.389386,0.0839867,0.707724,0.555102,0.297973,-0.0346504,-0.0751323,0.0747629,0.601648,0.346072
-1762.27,0.971651,0.264438,4,15,0,1775.22,1.67794,0.969347,-0.543091,0.407246,-0.112966,0.182597,0.368424,0.0506176,-0.00664344,-0.652632,-0.585718,0.0121798,-0.0344826,1.07522,2.47642,2.35927,-0.520166,0.116592,0.69544,-0.316189,0.224488,0.694322,0.515056,0.405604,-0.0671341,-0.115259,0.108494,0.607055,0.532154
-1763.61,0.883384,0.264438,4,15,0,1775.83,1.3181,0.917066,-0.565906,0.410361,-0.0690303,0.168944,0.264775,0.02951,0.0229184,-0.649961,-0.560024,-0.0155415,-0.0220875,1.25294,2.41796,2.25769,-0.529514,0.104619,0.683762,-0.412433,0.29206,1.48196,0.533689,0.366962,-0.0959627,-0.125902,0.0851559,0.586113,0.484336
-1756.86,0.996208,0.264438,4,15,0,1772.55,0.29957,1.63091,-0.572558,0.39284,-0.0762768,0.206079,0.254852,0.0274293,-0.0139308,-0.502357,-0.417506,0.0379132,0.0203666,1.02326,2.30866,2.22487,-0.448346,0.188322,0.714929,-0.467194,0.131353,-2.13969,0.512834,0.369224,-0.0356523,-0.0150815,0.106784,0.616744,0.395835
-1758.3,0.858051,0.264438,4,15,0,1773.58,0.675964,1.74936,-0.605043,0.343083,-0.121854,0.132292,0.352725,-0.0118884,-0.0146743,-0.555968,-0.592276,-0.0308691,-0.0310688,0.983553,2.61976,2.43997,-0.485474,0.11182,0.710182,-0.407849,0.149682,1.72821,0.550033,0.360351,-0.075505,-0.148493,0.0926061,0.594329,0.440965
-1761.21,0.890554,0.264438,4,15,0,1777.88,0.835863,1.50112,-0.577867,0.363516,-0.0755286,0.232818,0.286554,0.0575334,0.0125962,-0.545209,-0.381849,-0.0177188,0.0423994,1.05701,2.30083,2.12232,-0.449566,0.20368,0.677466,-0.511209,0.0982117,-2.09886,0.547354,0.401024,-0.0165791,0.0374891,0.101284,0.612923,0.416277
-1761.03,0.997392,0.264438,4,15,0,1773.48,1.00806,0.681719,-0.619589,0.343638,-0.17809,0.259174,0.511429,0.047748,0.00172592,-0.482321,-0.495609,0.00270274,-0.0324511,1.00939,2.22524,2.32498,-0.386292,0.122242,0.761723,-0.418134,0.101436,0.821411,0.595307,0.379688,-0.0146293,-0.131081,0.118944,0.604986,0.374337
-1762.25,0.974479,0.264438,4,15,0,1774.56,1.0389,0.852012,-0.639047,0.34374,-0.168172,0.210747,0.449969,0.0385913,0.0161644,-0.38337,-0.440741,0.0496865,-0.0399876,1.08,2.23791,2.22323,-0.421279,0.121827,0.734032,-0.505423,0.10541,1.68856,0.588828,0.39961,-0.0514842,0.00360848,0.1825,0.593524,0.431658
-1759.12,0.99995,0.264438,4,15,0,1769.82,0.328956,1.83163,-0.546909,0.390748,-0.0929989,0.146435,0.284795,-0.020719,-0.00925566,-0.642726,-0.55336,-0.0388999,0.0695738,1.04536,2.43457,2.30764,-0.459981,0.13689,0.679572,-0.310896,0.15067,-1.44104,0.52177,0.358841,-0.0513956,-0.186494,0.0266882,0.607006,0.402306
-1759.2,0.994781,0.264438,4,15,0,1767.32,0.83522,1.14576,-0.57187,0.387824,-0.117524,0.0928125,0.288343,-0.0371321,-0.0465037,-0.596688,-0.560916,-0.0191667,0.063072,1.10948,2.43213,2.25891,-0.491218,0.0979839,0.667613,-0.287727,0.120273,0.278834,0.527058,0.347111,-0.0238922,-0.1807,0.0872665,0.612882,0.415791
-1763.55,0.901323,0.264438,4,15,0,1774.39,-0.370402,1.59339,-0.605442,0.35038,-0.0614028,0.272504,0.447546,0.0199492,0.0477018,-0.529992,-0.476676,0.0227913,-0.0647443,0.931966,2.11553,2.3044,-0.427708,0.193815,0.760949,-0.532608,0.168199,-0.401333,0.547255,0.394849,-0.049402,0.0710582,0.124375,0.588124,0.368086
-1766.86,0.918075,0.264438,4,15,0,1781.95,0.958511,2.42955,-0.57245,0.383364,-0.0122257,0.154301,0.557928,-0.0230593,0.00787399,-0.750427,-0.421708,0.0370339,0.0489319,1.01224,2.28231,1.95293,-0.531486,0.156177,0.684336,-0.448844,0.0811649,-1.41628,0.581609,0.334393,-0.0469299,-0.00769118,0.0581786,0.607659,0.43612
-1763.73,0.984033,0.264438,4,15,0,1783.49,0.980094,1.28557,-0.604388,0.365326,-0.106833,0.212617,0.182041,0.0157591,-0.0126665,-0.206786,-0.599164,-0.0361929,-0.0579258,1.06896,2.40368,2.45459,-0.415102,0.180687,0.73036,-0.384228,0.235584,1.63204,0.529461,0.396487,-0.0478392,-0.177001,0.124377,0.590458,0.358334
-1765.66,0.981434,0.264438,4,15,0,1782.45,1.27569,1.26424,-0.622877,0.331511,-0.119143,0.201366,0.17822,-0.012454,-0.0704212,-0.306099,-0.544298,-0.0206873,-0.0679335,1.07177,2.4866,2.46764,-0.455907,0.117715,0.76981,-0.483198,0.240096,-0.469533,0.573298,0.370449,-0.0431355,-0.161946,0.0642667,0.593588,0.265954
-1767.51,0.943343,0.264438,4,15,0,1788.74,0.820575,2.12028,-0.598375,0.358958,-0.054155,0.187801,0.232304,-0.0137356,0.0381722,-0.397665,-0.568887,0.0050299,-0.117335,1.09241,2.44859,2.5365,-0.454711,0.0760172,0.740791,-0.502777,0.187248,-1.25499,0.556285,0.352305,-0.0799533,-0.24461,0.129453,0.605212,0.255655
