# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_1da31fedae2a5a0f3dee12aa72b98913_model
# start_datetime = 2025-10-08 03:32:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 8000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpEW1Ywh/standata-18ef1ab8d7.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /cloud/project/stan_output/model_1da31fedae2a5a0f3dee12aa72b98913-202510080332-2-5befdc.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /cloud/project/stan_output/model_1da31fedae2a5a0f3dee12aa72b98913-profile-202510080332-2-061f39.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_1da31fedae2a5a0f3dee12aa72b98913_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_Zone,tau_Zone,beta_Wind,beta_Temp,beta_Year_2,beta_Year,beta_SB_count,a_Temp,a_SAV,a_SC,a_SB,a_DO,a_BreachDays,a_Goby.1,a_Goby.2,a_Goby.3,beta_Temp_2,beta_Micro,beta_Rain,beta_SC_count,beta_SAV,beta_SAV_2,beta_DO,beta_BreachDays,beta_BreachDays_2,beta_Substrate,beta_Goby_lag,tau,phi
# Adaptation terminated
# Step size = 0.282625
# Diagonal elements of inverse mass matrix:
# 0.264774, 0.199259, 0.000578797, 0.000807559, 0.00361093, 0.00268687, 0.0100868, 0.00112055, 0.00109566, 0.016095, 0.0138857, 0.00113158, 0.00117481, 0.017832, 0.0162117, 0.0151338, 0.00182493, 0.00275407, 0.00114816, 0.00977352, 0.00369255, 0.985723, 0.0013379, 0.00085912, 0.00128262, 0.00843572, 0.00271861, 0.000409059, 0.00757279
-1758.02,0.934396,0.282625,4,15,0,1772.9,0.281165,1.36989,-0.583866,0.364122,-0.123507,0.158257,0.0643016,-0.0279643,-0.00682414,-0.476591,-0.506207,0.0045062,0.00826015,1.23283,2.43043,2.30856,-0.499536,0.189007,0.693932,-0.256583,0.10505,0.792726,0.548596,0.366858,-0.025613,-0.109819,0.0721704,0.602113,0.360274
-1769.43,0.775482,0.282625,4,15,0,1781.48,0.977098,1.14083,-0.576092,0.386007,-0.155206,0.124826,0.287391,-0.0849652,-0.0227181,-0.484622,-0.505608,0.0229602,0.0674545,1.21656,2.36498,2.40334,-0.449146,0.14841,0.735335,-0.340062,0.048211,-0.17795,0.62062,0.402493,-0.0603315,-0.134045,0.00953258,0.569459,0.499421
-1768.02,0.995988,0.282625,4,15,0,1784.81,0.873357,1.16686,-0.56358,0.367899,-0.138527,0.195349,0.184336,-0.0415527,0.0351004,-0.284762,-0.497825,0.0417958,-0.0164783,1.21872,2.54404,2.15621,-0.403923,0.231611,0.766257,-0.457052,0.119204,0.376961,0.494086,0.411904,-0.0267939,-0.174362,0.0832117,0.594861,0.351539
-1763.33,0.960552,0.282625,4,15,0,1783.57,0.397139,1.6552,-0.580699,0.371596,-0.0944986,0.256127,0.244252,-0.0517878,0.0453155,-0.315995,-0.458203,0.0264393,-0.000691482,1.22838,2.45871,2.28578,-0.432037,0.223358,0.738371,-0.367926,0.179527,0.523156,0.472695,0.38688,-0.00741513,-0.160819,0.0616495,0.599876,0.41035
-1760,1,0.282625,4,15,0,1771.68,0.0882357,2.12359,-0.583659,0.392473,-0.0179504,0.148113,0.333557,-0.00357398,0.047257,-0.334077,-0.397515,0.0361157,-0.0187621,0.964432,2.27622,2.29422,-0.507596,0.158699,0.698287,-0.546973,0.201623,-0.904284,0.569817,0.333652,-0.0396319,-0.150898,0.0902089,0.606204,0.402398
-1762.86,0.982973,0.282625,4,15,0,1775.08,0.380035,1.44295,-0.583977,0.349522,-0.13295,0.177508,0.29014,-0.101248,-0.036451,-0.418843,-0.36337,-0.068002,0.0422588,1.1926,2.41614,2.17871,-0.398883,0.110962,0.725647,-0.420671,0.0889325,-0.420523,0.544185,0.410058,-0.0515846,-0.183173,0.116569,0.602171,0.42943
-1763.18,0.95842,0.282625,4,15,0,1778.15,-0.55362,3.62522,-0.590479,0.387886,-0.112933,0.151401,0.2881,0.0986707,0.026922,-0.410685,-0.582003,0.00230837,0.00515608,1.03586,2.3945,2.4309,-0.457169,0.0901345,0.752632,-0.485267,0.107499,0.263686,0.534291,0.364927,-0.0617312,-0.143435,0.0834103,0.58786,0.541196
-1767.46,0.875754,0.282625,4,15,0,1781.02,-0.367396,2.64643,-0.593604,0.397881,-0.120986,0.100144,0.357533,0.0746242,0.0325962,-0.312,-0.491053,0.00626745,0.0464361,0.916663,2.40669,2.38403,-0.420684,0.0874899,0.766594,-0.484609,0.182046,0.529987,0.566206,0.380875,-0.0656165,-0.121834,0.0782375,0.587947,0.541788
-1761.95,0.957294,0.282625,4,15,0,1781.17,-0.0469998,2.3608,-0.557173,0.364141,-0.132901,0.166791,0.339095,0.0675226,-0.0269339,-0.552274,-0.472713,0.0237522,0.0375367,1.27386,2.36801,2.33027,-0.451023,0.183965,0.751084,-0.279541,0.165422,-0.654328,0.487712,0.353982,-0.10743,-0.187391,0.0972743,0.607385,0.482507
-1760.17,0.998269,0.282625,4,15,0,1771.69,0.867461,1.21471,-0.613587,0.386324,-0.12835,0.12504,0.355584,-0.0270173,-0.0389901,-0.483658,-0.503848,0.00330445,-0.055178,1.01711,2.54377,2.329,-0.52811,0.118481,0.686281,-0.429275,0.17625,0.481267,0.53837,0.349235,-0.0600197,-0.0425112,0.100903,0.622949,0.562375
-1761.5,0.97201,0.282625,4,15,0,1773.52,0.651653,1.77943,-0.584272,0.380687,-0.152256,0.0949852,0.475327,-0.0554241,-0.019929,-0.396703,-0.620363,0.0212201,-0.0498203,1.10315,2.2678,2.1538,-0.39786,0.117977,0.727933,-0.505594,0.136418,-1.74704,0.505679,0.349637,-0.0472822,-0.0531473,0.0732243,0.607222,0.319075
-1759.53,0.943193,0.282625,4,15,0,1772.29,0.785002,1.57107,-0.60659,0.319539,-0.0336308,0.287647,0.266559,0.0384657,0.0314801,-0.547366,-0.463172,-0.0491416,0.00569093,1.07789,2.19607,2.1933,-0.485068,0.145138,0.737678,-0.422957,0.107333,0.460602,0.576841,0.397051,-0.0560907,-0.0147071,0.139972,0.606253,0.488698
-1760.52,0.942179,0.282625,4,15,0,1774.14,1.01093,1.24069,-0.619139,0.349316,-0.0231921,0.306421,0.261022,0.0471754,0.00145811,-0.551796,-0.585751,-0.0414071,0.00494592,1.00442,2.20792,2.3217,-0.476557,0.138946,0.727258,-0.516772,0.171672,0.279606,0.590864,0.401053,-0.0293715,-0.0410093,0.0951743,0.61045,0.50632
-1761.15,0.967617,0.282625,4,15,0,1775.66,0.478927,1.04041,-0.622892,0.339925,-0.00403596,0.31316,0.35422,0.0326062,0.024523,-0.548972,-0.600874,0.0028158,-0.00472757,1.082,2.23683,2.2872,-0.504603,0.137728,0.718931,-0.484533,0.198045,-1.20378,0.583107,0.409168,-0.0344794,-0.132949,0.0748484,0.610751,0.499898
-1760.89,0.966505,0.282625,4,15,0,1775.2,1.50104,0.75662,-0.554202,0.387459,-0.0726832,0.204836,0.324002,0.00982214,0.01678,-0.356328,-0.448623,0.00996638,-0.0262836,1.05661,2.37663,2.22432,-0.390529,0.133722,0.749956,-0.374987,0.0712397,-0.139638,0.527175,0.323037,-0.10541,-0.122568,0.158046,0.584411,0.413684
-1766.31,0.894431,0.282625,4,15,0,1779.04,0.121783,2.4234,-0.57716,0.298373,-0.0779279,0.1784,0.343723,0.00439323,-0.00101008,-0.580398,-0.809586,-0.0164025,0.0397936,0.910339,2.42778,2.15775,-0.509685,0.127721,0.657365,-0.427861,0.207696,0.111696,0.602876,0.41608,0.0362678,-0.00844029,0.0449396,0.598417,0.364164
-1766.47,0.960446,0.282625,4,15,0,1776.91,1.48214,0.5355,-0.59673,0.405823,-0.0968734,0.208554,0.372285,0.00304065,0.00119015,-0.445866,-0.233535,0.0172816,-0.0464482,0.97727,2.34936,2.23364,-0.371576,0.145611,0.760825,-0.423332,0.0372305,-0.335056,0.495399,0.327361,-0.102705,-0.0342129,0.143803,0.597355,0.509304
-1764.68,0.948209,0.282625,4,15,0,1781.89,-0.122432,2.30743,-0.545392,0.385909,-0.17782,0.139182,0.382912,-0.0276908,0.0159103,-0.605772,-0.700802,-0.000178115,0.0576279,1.07045,2.20953,2.09052,-0.482658,0.147676,0.664231,-0.240855,0.171635,0.214223,0.546734,0.422095,0.00750039,-0.0432263,0.100878,0.607134,0.412884
-1765.3,1,0.282625,4,15,0,1777.58,1.22299,0.504936,-0.625811,0.39245,-0.0198014,0.21998,0.435547,0.0227121,-0.000858364,-0.477263,-0.380004,-0.00496714,-0.0500459,1.08755,2.35484,2.34222,-0.489329,0.198422,0.762086,-0.619722,0.212768,0.0792096,0.528527,0.304559,-0.085245,-0.13924,0.0952931,0.592924,0.360534
-1766.14,0.857291,0.282625,4,15,0,1787.63,0.736544,1.69905,-0.574029,0.324427,-0.0531084,0.0818018,0.308941,-0.0201406,0.0145099,-0.641124,-0.81197,-0.00232571,0.0418521,0.962779,2.28174,2.02947,-0.410757,0.064211,0.647855,-0.380828,0.0854133,-0.287859,0.637558,0.421151,-0.0234823,-0.0123012,0.133968,0.604132,0.368849
-1767.61,0.988677,0.282625,4,15,0,1783.04,0.0856585,2.4115,-0.559184,0.351776,-0.0229693,0.0731562,0.352955,-0.0638019,-0.0161484,-0.597006,-0.73286,0.0043733,0.0386968,0.807729,2.02182,2.10556,-0.414985,0.116066,0.712491,-0.378111,0.0340463,-0.80845,0.635858,0.393461,0.0036319,0.00862756,0.121361,0.590004,0.28879
-1763.96,0.998314,0.282625,4,15,0,1781.25,1.30936,0.871289,-0.652825,0.348285,-0.109406,0.2685,0.448183,0.0346965,0.0195292,-0.564671,-0.244406,-0.00262689,-0.0207232,0.952634,2.31966,2.06032,-0.44256,0.16205,0.733287,-0.246021,0.154527,-0.0943918,0.517879,0.358123,-0.0720673,-0.0262399,0.10709,0.611206,0.475684
-1764.57,0.951892,0.282625,4,15,0,1775.59,1.34219,0.787524,-0.650989,0.34363,-0.133321,0.265537,0.439938,0.0321084,0.00521213,-0.508174,-0.284692,0.00129211,-0.0301976,0.903372,2.34493,2.01792,-0.434326,0.165579,0.731014,-0.263944,0.156715,0.188301,0.520376,0.369718,-0.0744191,-0.0429015,0.0772434,0.61246,0.463802
-1768.42,0.985585,0.282625,4,15,0,1783.2,1.21349,1.07878,-0.562856,0.370439,-0.077179,0.159829,0.191545,-0.0122319,-0.0236201,-0.6996,-0.736269,-0.0513445,0.045816,0.944326,2.13518,2.19712,-0.441225,0.0563665,0.743612,-0.43086,0.0852263,-1.37593,0.59366,0.380875,0.037752,0.0268555,-0.00349274,0.603581,0.298912
-1761.89,0.977723,0.282625,4,15,0,1780.68,-0.178564,1.73266,-0.562597,0.39143,-0.0864818,0.297638,0.319669,-0.0062378,-0.0294479,-0.721023,-0.484734,0.00270197,-0.00605919,0.919186,2.44686,2.08302,-0.494719,0.0896094,0.67378,-0.321488,0.165684,0.520954,0.553481,0.373682,-0.0218339,-0.125527,0.114126,0.595396,0.346162
-1765.73,0.916567,0.282625,4,15,0,1774.59,0.633046,4.94398,-0.575501,0.354101,0.0248056,0.22766,0.371867,0.0041016,0.0127492,-0.47379,-0.657278,0.0128757,0.0143112,0.997837,2.11389,2.2182,-0.448637,0.205274,0.690625,-0.249905,0.0953802,-0.337081,0.566508,0.380977,-0.0668081,-0.0579823,0.00697303,0.594372,0.374124
-1763.95,0.952657,0.282625,4,15,0,1779.57,0.455933,1.07421,-0.592601,0.377236,-0.10042,0.215033,0.479165,0.0529204,-0.0239218,-0.578128,-0.56006,0.0155836,0.0137022,0.759843,2.29353,1.88883,-0.356404,0.0585554,0.678806,-0.491411,0.145121,0.710172,0.556343,0.352973,-0.0248215,0.0563777,0.081489,0.605501,0.296733
