# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_1da31fedae2a5a0f3dee12aa72b98913_model
# start_datetime = 2025-10-13 22:09:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 8000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/Rtmp6b0Txc/standata-18d175910aa.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /cloud/project/stan_output/model_1da31fedae2a5a0f3dee12aa72b98913-202510132209-1-2be30c.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /cloud/project/stan_output/model_1da31fedae2a5a0f3dee12aa72b98913-profile-202510132209-1-784ab8.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_1da31fedae2a5a0f3dee12aa72b98913_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_Zone,tau_Zone,beta_Wind,beta_Temp,beta_Year_2,beta_Year,beta_SB_count,a_Temp,a_SAV,a_SC,a_SB,a_DO,a_BreachDays,a_Goby.1,a_Goby.2,a_Goby.3,beta_Temp_2,beta_Micro,beta_Rain,beta_SC_count,beta_SAV,beta_SAV_2,beta_DO,beta_BreachDays,beta_BreachDays_2,beta_Substrate,beta_Goby_lag,tau,phi
# Adaptation terminated
# Step size = 0.247942
# Diagonal elements of inverse mass matrix:
# 0.318876, 0.234774, 0.000636255, 0.000810932, 0.00368888, 0.00318252, 0.0116819, 0.00113578, 0.00107553, 0.016321, 0.0128658, 0.00114572, 0.00110454, 0.0170296, 0.0179268, 0.0157126, 0.00193633, 0.00269536, 0.00105088, 0.0107288, 0.00392989, 0.975106, 0.00136476, 0.000838243, 0.00191223, 0.00946383, 0.00288959, 0.000417767, 0.0076254
-1823.45,0.874079,0.247942,4,15,0,1833.9,1.67638,1.78877,-0.533049,0.390149,-0.0708526,0.117474,0.319002,-0.0041312,-0.00305762,-0.0142083,0.0640622,-0.00972699,0.0110596,2.22171,2.64835,1.90074,-0.527052,0.140379,0.731015,-0.578434,0.135355,-0.528452,0.509856,0.476004,-0.0558896,-0.361412,-0.00227376,0.596852,0.184672
-1818.1,0.953298,0.247942,4,15,0,1841.1,0.370181,1.22873,-0.505936,0.378308,-0.135198,0.13507,0.511665,0.013631,0.0526521,-0.722818,-0.157524,0.0242984,-0.0139223,2.24305,2.60342,2.16777,-0.602499,0.171088,0.718484,-0.548298,0.21142,-0.0133258,0.523117,0.350545,-0.114827,-0.333187,-0.0403344,0.614933,0.371941
-1815.3,0.990173,0.247942,4,15,0,1828.34,0.945005,2.00738,-0.51131,0.421335,-0.135881,0.233388,0.351158,-0.0211522,-0.0520514,-0.277725,-0.112104,-0.0312254,0.0404549,2.37321,2.74872,2.10281,-0.53721,0.129913,0.735416,-0.672117,0.0975843,-0.304827,0.501463,0.387708,-0.0581145,-0.392479,-0.0183824,0.586284,0.301677
-1820.66,0.889879,0.247942,4,15,0,1829.22,-0.23868,1.98931,-0.521334,0.398669,-0.00173647,0.0446423,0.336248,0.0201052,0.0750437,-0.441482,-0.086153,0.0154976,-0.0202097,2.17309,2.52006,1.99951,-0.573107,0.138044,0.639999,-0.488279,0.269784,-0.827453,0.461264,0.428867,-0.0683936,-0.355088,0.132566,0.609175,0.382018
-1820.92,0.993936,0.247942,4,15,0,1830.17,0.95849,0.851541,-0.505529,0.386425,-0.165338,0.29825,0.542188,-0.00500812,-0.0763387,-0.34612,-0.154108,-0.0143683,0.00364667,2.14215,2.45882,2.10129,-0.550722,0.190891,0.754992,-0.709877,0.138144,1.22904,0.570513,0.386821,-0.0282058,-0.310452,-0.0588961,0.592986,0.279939
-1822.69,0.928097,0.247942,4,15,0,1836.06,0.41512,1.60291,-0.552207,0.344144,0.0428163,0.121097,0.328214,0.0345534,0.0325572,-0.443309,-0.0999263,-0.00646495,-0.0293252,2.21922,2.43867,1.79595,-0.6254,0.20573,0.659844,-0.479648,0.159974,-1.00777,0.464068,0.40899,-0.0314974,-0.368268,0.108052,0.620837,0.289487
