# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_1da31fedae2a5a0f3dee12aa72b98913_model
# start_datetime = 2025-10-13 22:10:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 8000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/Rtmp6b0Txc/standata-18d175910aa.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /cloud/project/stan_output/model_1da31fedae2a5a0f3dee12aa72b98913-202510132209-2-2be30c.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /cloud/project/stan_output/model_1da31fedae2a5a0f3dee12aa72b98913-profile-202510132209-2-784ab8.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_1da31fedae2a5a0f3dee12aa72b98913_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_Zone,tau_Zone,beta_Wind,beta_Temp,beta_Year_2,beta_Year,beta_SB_count,a_Temp,a_SAV,a_SC,a_SB,a_DO,a_BreachDays,a_Goby.1,a_Goby.2,a_Goby.3,beta_Temp_2,beta_Micro,beta_Rain,beta_SC_count,beta_SAV,beta_SAV_2,beta_DO,beta_BreachDays,beta_BreachDays_2,beta_Substrate,beta_Goby_lag,tau,phi
# Adaptation terminated
# Step size = 0.225858
# Diagonal elements of inverse mass matrix:
# 0.338719, 0.251597, 0.000649169, 0.000791189, 0.00386374, 0.00296845, 0.012576, 0.00116246, 0.00119153, 0.0158059, 0.013727, 0.0011823, 0.00112777, 0.0166987, 0.017662, 0.015767, 0.00196191, 0.00268187, 0.00118762, 0.0109976, 0.00389067, 0.974731, 0.00136151, 0.000861461, 0.00192523, 0.00931351, 0.00275884, 0.000398922, 0.00777873
-1817.78,1,0.225858,4,15,0,1828.91,1.92125,0.481685,-0.524223,0.42671,-0.04013,0.212495,0.380834,0.0059495,-0.00242368,-0.121412,0.00697513,0.0466735,-0.0152189,2.26527,2.58839,2.14485,-0.55486,0.1376,0.722881,-0.688029,0.149383,1.87729,0.484163,0.407363,-0.0899284,-0.309878,0.0169961,0.588131,0.358479
-1814.38,0.965905,0.225858,4,15,0,1825.42,0.0722436,2.06268,-0.516421,0.379548,-0.0309689,0.17054,0.501503,0.013182,-0.0274951,-0.564947,-0.233447,-0.0422067,-0.00522016,2.11373,2.61453,1.92977,-0.596783,0.177491,0.678521,-0.601319,0.281785,-0.920542,0.474823,0.400697,0.0082481,-0.417269,-0.0145164,0.597023,0.266297
-1817.49,0.962616,0.225858,4,15,0,1830.16,1.06831,1.20902,-0.512792,0.387238,-0.0594387,0.180277,0.39851,-0.0111527,0.0287876,-0.395524,-0.00619421,0.0393906,0.00527617,1.88425,2.30927,1.66652,-0.489174,0.139489,0.723012,-0.454301,0.0710438,0.934511,0.531751,0.402256,-0.0651612,-0.182226,0.103304,0.598856,0.231038
-1819.67,0.982038,0.225858,4,15,0,1833.31,-0.152056,3.25478,-0.51954,0.374606,-0.0628967,0.137437,0.246838,-0.0239632,0.0230608,-0.610708,0.00695499,-0.0283503,0.00916363,2.19138,2.38426,1.95331,-0.438626,0.162165,0.742619,-0.672753,0.169484,-0.620452,0.524527,0.445266,-0.0381817,-0.307722,-0.0209624,0.589789,0.360166
-1819.23,0.979206,0.225858,4,15,0,1832.23,0.612772,0.966567,-0.532056,0.40388,-0.084192,0.192415,0.563972,0.0386963,-0.034792,-0.330526,-0.349824,0.000724706,0.00851887,2.08243,2.5849,1.96861,-0.638302,0.180607,0.674473,-0.453987,0.138449,0.227608,0.528378,0.35936,-0.10128,-0.230044,0.1007,0.597417,0.254893
-1822.15,0.992738,0.225858,4,15,0,1839.08,0.626656,2.24167,-0.526755,0.354981,-0.0913056,0.0441262,0.141333,-0.027068,-0.0207516,-0.560624,-0.0734732,-0.0523854,0.041397,2.36586,2.58969,2.08725,-0.44142,0.216589,0.735687,-0.707295,0.159156,-0.263989,0.537686,0.414704,0.00878305,-0.335274,0.047436,0.590583,0.363973
