# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_2b3c7f437206cad4bb4c9323b40ac830_model
# start_datetime = 2025-10-14 22:10:14 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 5000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.93
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpHywfvd/standata-18d33c929.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /cloud/project/stan_output/model_2b3c7f437206cad4bb4c9323b40ac830-202510142210-1-0090f6.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /cloud/project/stan_output/model_2b3c7f437206cad4bb4c9323b40ac830-profile-202510142210-1-899ab2.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_2b3c7f437206cad4bb4c9323b40ac830_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a_Goby.1,a_Goby.2,a_Goby.3,a_bar_Goby,sigma_Goby,U.1,U.2,U.3,Rho_errors.1.1,Rho_errors.2.1,Rho_errors.1.2,Rho_errors.2.2,sigma_errors.1,sigma_errors.2,beta_DO_vec.1,beta_DO_vec.2,beta_DO_vec.3,beta_DO_vec.4,b_bar_DO.1,b_bar_DO.2,b_bar_DO.3,b_bar_DO.4,Rho_DO.1.1,Rho_DO.2.1,Rho_DO.3.1,Rho_DO.4.1,Rho_DO.1.2,Rho_DO.2.2,Rho_DO.3.2,Rho_DO.4.2,Rho_DO.1.3,Rho_DO.2.3,Rho_DO.3.3,Rho_DO.4.3,Rho_DO.1.4,Rho_DO.2.4,Rho_DO.3.4,Rho_DO.4.4,sigma_DO.1,sigma_DO.2,sigma_DO.3,sigma_DO.4,beta_SAV_vec.1,beta_SAV_vec.2,beta_SAV_vec.3,b_bar_SAV.1,b_bar_SAV.2,b_bar_SAV.3,Rho_SAV.1.1,Rho_SAV.2.1,Rho_SAV.3.1,Rho_SAV.1.2,Rho_SAV.2.2,Rho_SAV.3.2,Rho_SAV.1.3,Rho_SAV.2.3,Rho_SAV.3.3,sigma_SAV.1,sigma_SAV.2,sigma_SAV.3,beta_Temp_vec.1,beta_Temp_vec.2,beta_Temp_vec.3,b_bar_Temp.1,b_bar_Temp.2,b_bar_Temp.3,Rho_Temp.1.1,Rho_Temp.2.1,Rho_Temp.3.1,Rho_Temp.1.2,Rho_Temp.2.2,Rho_Temp.3.2,Rho_Temp.1.3,Rho_Temp.2.3,Rho_Temp.3.3,sigma_Temp.1,sigma_Temp.2,sigma_Temp.3,beta_BreachDays_vec.1,beta_BreachDays_vec.2,b_bar_Breach.1,b_bar_Breach.2,Rho_Breach.1.1,Rho_Breach.2.1,Rho_Breach.1.2,Rho_Breach.2.2,sigma_Breach.1,sigma_Breach.2,beta_Wind_vec.1,beta_Wind_vec.2,b_bar_Wind.1,b_bar_Wind.2,Rho_Wind.1.1,Rho_Wind.2.1,Rho_Wind.1.2,Rho_Wind.2.2,sigma_Wind.1,sigma_Wind.2,beta_Substrate_vec.1,beta_Substrate_vec.2,b_bar_Substrate.1,b_bar_Substrate.2,Rho_Substrate.1.1,Rho_Substrate.2.1,Rho_Substrate.1.2,Rho_Substrate.2.2,sigma_Substrate.1,sigma_Substrate.2,beta_BreachDays_2,beta_Goby_lag,beta_Micro,beta_Temp_2,beta_Rain,beta_Year_2,beta_Year,beta_SB_count,beta_SC_count,a_Rain,a_Wind,a_BreachDays,a_Temp,a_SAV,a_SC,a_SB,a_DO,k_U_bio,k_U,tau,phi
# Adaptation terminated
# Step size = 0.0280675
# Diagonal elements of inverse mass matrix:
# 0.0308496, 0.0301469, 0.0325156, 0.267797, 0.218043, 0.412891, 0.363261, 0.349658, 0.00314853, 0.00154638, 0.00160479, 0.0178718, 0.0563213, 0.0513152, 0.00194993, 0.145278, 0.249147, 0.135772, 0.150886, 0.207078, 0.208126, 0.196205, 0.240005, 0.257545, 0.316794, 1.43102, 1.01422, 1.36325, 1.30577, 0.0149739, 0.0354845, 0.0411667, 0.1371, 0.116499, 0.165587, 0.247862, 0.244813, 0.294112, 1.31703, 1.54515, 1.33222, 0.0203336, 0.00189256, 0.00226365, 0.127153, 0.120638, 0.146128, 0.261004, 0.244683, 0.320633, 1.41482, 1.44575, 1.33609, 0.01045, 0.00138311, 0.116052, 0.152429, 0.327352, 1.43044, 1.27183, 0.00137572, 0.00076602, 0.144884, 0.153152, 0.321779, 1.33361, 1.43486, 0.0156101, 0.0568451, 0.118649, 0.130438, 0.356195, 1.43904, 1.41713, 0.00701818, 0.00440787, 0.00441828, 0.00410945, 0.000774347, 0.00337142, 0.00466307, 0.0174221, 0.0198269, 0.00346167, 0.00330929, 0.00771729, 0.00776223, 0.0173264, 0.0428248, 0.0293835, 0.00764547, 1.11294, 1.12873, 0.000399884, 0.00677477
-1912.67,0.618115,0.0280675,7,127,0,1956.81,2.67004,1.19164,1.01812,0.603407,1.6113,-0.0969223,-0.166099,-0.270222,1,0.0161536,0.0161536,1,1.03969,1.07419,0.597013,1.84732,0.584114,0.623405,0.428716,-0.177988,0.60702,-0.463195,1,0.555891,0.43613,0.0493326,0.555891,1,-0.0891234,0.184285,0.43613,-0.0891234,1,-0.356642,0.0493326,0.184285,-0.356642,1,0.137343,2.77854,0.69547,0.917092,0.376249,-0.542956,0.442994,0.0297591,-0.873148,0.428605,1,0.492179,0.143915,0.492179,1,0.319885,0.143915,0.319885,1,0.207202,2.39187,0.0348763,0.245578,0.396157,0.550379,0.238954,-0.0921278,-0.543114,1,0.505322,0.327682,0.505322,1,0.269822,0.327682,0.269822,1,0.0086573,0.382811,2.3603,0.491595,0.565555,0.0604313,0.484414,1,0.590724,0.590724,1,0.486012,0.266047,-0.521502,-0.564367,-0.653293,-0.517474,1,0.290694,0.290694,1,0.203296,0.17302,-0.0977266,0.0204572,0.26168,-0.307478,1,0.0457202,0.0457202,1,0.622597,0.358349,0.0276636,-0.00187983,0.0484913,-0.399153,0.524909,-0.295498,0.209741,0.453957,-0.588136,-0.0507882,0.0380833,0.0216523,0.0119963,0.194398,-0.501052,0.160396,0.0961085,1.02048,0.242431,0.512341,-0.175435
-1910.35,0.527934,0.0280675,7,127,0,1957.06,2.59283,1.44742,1.38491,-0.225009,1.75331,-0.775199,-1.22188,-1.0681,1,0.115054,0.115054,1,1.0238,1.05569,0.424562,0.933429,0.497785,0.565413,-0.257997,0.481536,-0.0455748,0.816669,1,-0.250328,-0.395516,0.260261,-0.250328,1,0.587262,-0.1513,-0.395516,0.587262,1,0.128395,0.260261,-0.1513,0.128395,1,0.861479,0.579366,0.410069,0.592194,0.36483,0.0417661,0.525203,0.794248,-0.146748,0.252683,1,-0.340802,-0.0458412,-0.340802,1,-0.13745,-0.0458412,-0.13745,1,1.57187,0.43494,1.90557,0.620511,0.376386,0.519185,-0.0299315,0.66386,0.639004,1,-0.680841,-0.591046,-0.680841,1,-0.038521,-0.591046,-0.038521,1,0.856486,0.573082,0.157346,0.159387,0.560999,0.196338,0.562846,1,-0.668046,-0.668046,1,0.32286,0.263656,-0.549511,-0.636306,0.505792,-0.347229,1,0.0400232,0.0400232,1,0.832117,0.386021,-0.575424,-0.212421,0.129588,0.136201,1,0.094821,0.094821,1,0.425112,1.99497,-0.0895007,0.0492525,0.257934,-0.489133,0.559947,-0.0617233,0.0665356,0.430065,-0.566024,0.156487,0.0586632,0.159364,0.157102,0.239847,-0.266438,-0.00478237,0.191531,0.287896,0.170146,0.497656,-0.0202379
-1912.25,0.998132,0.0280675,7,127,0,1957.78,2.46425,1.3552,1.09563,0.407575,1.88813,-0.190693,-0.876332,-0.453195,1,0.168861,0.168861,1,1.08985,1.14966,0.422601,1.50237,0.609957,0.540281,0.157072,0.183119,1.38103,0.110465,1,0.154829,0.234281,-0.0294274,0.154829,1,-0.523102,0.275098,0.234281,-0.523102,1,-0.578632,-0.0294274,0.275098,-0.578632,1,1.13052,2.24442,0.604446,0.829759,0.468434,-0.341799,0.368894,0.573841,-0.055412,0.847457,1,-0.1103,-0.302712,-0.1103,1,0.0984923,-0.302712,0.0984923,1,0.107736,0.257713,0.339418,0.474236,0.320599,0.606729,0.773659,-0.665212,0.333053,1,0.280579,0.523433,0.280579,1,0.638541,0.523433,0.638541,1,0.330211,0.730478,0.556931,0.397434,0.566969,0.580158,0.0274511,1,0.537899,0.537899,1,0.901788,0.677385,-0.553252,-0.571741,-0.988619,-0.242087,1,-0.139282,-0.139282,1,0.611174,0.736847,-0.19636,-0.0875752,0.639754,0.566211,1,0.187351,0.187351,1,1.41349,0.502203,0.0895889,0.00779055,0.132433,-0.508364,0.564797,-0.229822,0.23212,0.430016,-0.670312,-0.00450477,0.167456,0.089151,0.0795247,0.0154081,-0.522848,-0.0604258,0.119709,0.0360193,0.1613,0.51244,-0.108381
-1912.56,0.987477,0.0280675,7,127,0,1958.97,2.68763,1.55137,1.41219,0.441046,1.28398,0.208217,-0.604776,-0.511284,1,0.204308,0.204308,1,1.03591,1.12829,0.467255,1.56268,0.321575,0.602561,0.586978,0.214045,0.129997,0.191407,1,0.120032,0.0692577,-0.0828675,0.120032,1,-0.352404,-0.115386,0.0692577,-0.352404,1,0.82056,-0.0828675,-0.115386,0.82056,1,0.13276,0.947275,0.613736,0.659871,0.435089,-0.543795,0.696643,0.476013,0.0523303,0.167768,1,-0.0352983,0.217005,-0.0352983,1,0.372631,0.217005,0.372631,1,0.216451,2.9224,0.416317,0.327958,0.283057,0.525757,-0.296816,-0.75779,0.204269,1,0.459911,0.118662,0.459911,1,0.52259,0.118662,0.52259,1,1.03339,2.00445,0.769612,0.240359,0.601624,0.463166,0.3026,1,-0.62326,-0.62326,1,0.404035,0.471635,-0.591176,-0.581861,-0.177759,-0.243822,1,-0.643403,-0.643403,1,0.443821,0.553515,-0.373586,-0.0914397,0.531107,-0.372287,1,0.4702,0.4702,1,0.784259,0.269104,0.00496529,0.087145,0.129277,-0.512834,0.56442,-0.267746,0.119898,0.298961,-0.33634,0.130163,0.0978591,0.0185481,0.0404766,0.0977277,-0.62042,-0.0200599,0.0208912,0.29747,0.0423501,0.518802,-0.060327
-1911.38,0.999101,0.0280675,7,127,0,1955.46,2.5807,1.35564,1.24373,0.730239,1.20892,-0.342535,-0.685885,-0.415021,1,-0.0348063,-0.0348063,1,1.07053,1.00668,0.49175,0.466785,0.384795,0.550756,0.259587,0.27177,0.391631,0.363787,1,0.230979,-0.175999,0.0558709,0.230979,1,0.199285,0.177166,-0.175999,0.199285,1,-0.593667,0.0558709,0.177166,-0.593667,1,0.690912,0.662273,0.236384,0.207097,0.494023,0.389405,0.513845,-0.149924,0.502878,0.456565,1,-0.364868,0.496517,-0.364868,1,-0.18655,0.496517,-0.18655,1,1.33389,0.778719,0.880089,0.505117,0.373591,0.58042,0.710405,0.433325,0.875313,1,-0.480476,-0.0423458,-0.480476,1,-0.341767,-0.0423458,-0.341767,1,0.153443,0.252277,0.459148,0.393404,0.522976,0.0037383,0.543737,1,0.790043,0.790043,1,2.41034,0.401241,-0.538924,-0.588275,-0.576393,-0.435956,1,0.244449,0.244449,1,0.420821,0.233356,-0.158383,-0.376109,-0.884565,0.104223,1,-0.568739,-0.568739,1,0.709417,0.88882,-0.0128573,-0.0482788,0.125987,-0.396658,0.510914,-0.149983,0.240654,0.434179,-0.961782,-0.0199384,0.123925,0.0518385,0.0417962,0.0599866,-0.282294,-0.166242,0.0207347,0.172118,0.0936359,0.495903,-0.124772
-1905.56,0.976194,0.0280675,7,127,0,1963.85,2.31449,1.30405,0.826529,0.236316,1.09227,-0.466648,-1.7189,-1.41932,1,0.136118,0.136118,1,1.11277,1.09491,0.432603,1.0001,0.659089,0.540883,0.63418,0.209927,0.562474,0.478546,1,-0.289764,0.734159,-0.454416,-0.289764,1,-0.437022,0.510576,0.734159,-0.437022,1,-0.4536,-0.454416,0.510576,-0.4536,1,0.506213,0.979389,0.207864,0.099061,0.545212,-0.0486479,0.378541,-0.233268,0.176532,0.43135,1,-0.829691,-0.316919,-0.829691,1,0.301814,-0.316919,0.301814,1,0.868963,0.516602,0.902497,0.272828,0.322121,0.616329,-0.0155533,0.169774,0.428608,1,0.474153,0.378938,0.474153,1,0.401316,0.378938,0.401316,1,0.253859,0.0832046,0.352476,0.398079,0.54515,0.201369,0.35122,1,0.00922739,0.00922739,1,0.507958,0.280151,-0.579185,-0.540471,-0.579849,-0.580937,1,-0.0159069,-0.0159069,1,0.0135457,0.108501,-0.185953,-0.212335,-0.882522,0.218046,1,0.336584,0.336584,1,1.0313,0.412797,0.0180821,-0.0393768,0.0436327,-0.479538,0.551203,-0.151394,0.169716,0.452154,-0.48389,-0.0160052,0.0678462,0.084412,0.0747816,0.165761,-0.317599,0.114907,0.118952,0.174955,0.0804109,0.499903,-0.210972
