# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_3861cfa599ea5361df60261fa21872be_model
# start_datetime = 2025-09-18 01:12:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpOjJuuj/standata-18e4bb1ca77.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /cloud/project/stan_output/model_3861cfa599ea5361df60261fa21872be-202509180112-1-89e56a.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /cloud/project/stan_output/model_3861cfa599ea5361df60261fa21872be-profile-202509180112-1-7eaa76.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_3861cfa599ea5361df60261fa21872be_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_Zone,tau_Zone,beta_Wind,beta_Temp,beta_Year_2,beta_Year,beta_SB_count,a_Temp,a_SAV,a_SC,a_SB,a_DO,a_BreachDays,a_Goby.1,a_Goby.2,a_Goby.3,beta_Temp_2,beta_Micro,beta_Rain,beta_SC_count,beta_SAV,beta_SAV_2,beta_DO,beta_BreachDays,beta_BreachDays_2,beta_Substrate,beta_Goby_lag,tau,phi
-15183.5,1,0.00390625,2,3,0,29253,1.83268,4.48625,1.37755,-0.416401,-0.277779,-0.798453,-1.18372,-1.64087,0.562325,-1.23126,1.06076,0.231882,1.83516,0.275707,-1.38728,-1.02094,-0.0925846,0.875546,-0.40217,-0.0975176,1.04887,1.00796,1.37115,-1.57847,-0.072101,1.08679,-0.710964,0.511065,1.89445
-15183.5,0,14.3855,0,1,1,15199.6,1.83268,4.48625,1.37755,-0.416401,-0.277779,-0.798453,-1.18372,-1.64087,0.562325,-1.23126,1.06076,0.231882,1.83516,0.275707,-1.38728,-1.02094,-0.0925846,0.875546,-0.40217,-0.0975176,1.04887,1.00796,1.37115,-1.57847,-0.072101,1.08679,-0.710964,0.511065,1.89445
-15183.5,0,2.43117,0,1,1,15204.6,1.83268,4.48625,1.37755,-0.416401,-0.277779,-0.798453,-1.18372,-1.64087,0.562325,-1.23126,1.06076,0.231882,1.83516,0.275707,-1.38728,-1.02094,-0.0925846,0.875546,-0.40217,-0.0975176,1.04887,1.00796,1.37115,-1.57847,-0.072101,1.08679,-0.710964,0.511065,1.89445
-15183.5,0,0.239791,0,1,1,15201.4,1.83268,4.48625,1.37755,-0.416401,-0.277779,-0.798453,-1.18372,-1.64087,0.562325,-1.23126,1.06076,0.231882,1.83516,0.275707,-1.38728,-1.02094,-0.0925846,0.875546,-0.40217,-0.0975176,1.04887,1.00796,1.37115,-1.57847,-0.072101,1.08679,-0.710964,0.511065,1.89445
-15183.5,0,0.0186273,0,1,1,15195.4,1.83268,4.48625,1.37755,-0.416401,-0.277779,-0.798453,-1.18372,-1.64087,0.562325,-1.23126,1.06076,0.231882,1.83516,0.275707,-1.38728,-1.02094,-0.0925846,0.875546,-0.40217,-0.0975176,1.04887,1.00796,1.37115,-1.57847,-0.072101,1.08679,-0.710964,0.511065,1.89445
-13472.5,1,0.00130482,2,3,0,15176.5,1.83298,4.47531,1.3711,-0.409534,-0.28303,-0.796518,-1.17881,-1.62989,0.560204,-1.2293,1.0552,0.229767,1.82736,0.278309,-1.38286,-1.01996,-0.0912293,0.875118,-0.394473,-0.0942849,1.0436,1.00463,1.35981,-1.56879,-0.0660924,1.08669,-0.706918,0.5522,1.88993
-7639.93,1,0.00189104,3,7,0,13388.1,1.84213,4.42113,1.28206,-0.38513,-0.277356,-0.787646,-1.17858,-1.60433,0.541541,-1.24141,1.04839,0.214689,1.78967,0.271539,-1.37465,-1.01133,-0.0776206,0.877072,-0.382772,-0.0881381,1.04773,1.00221,1.31816,-1.50582,-0.0491458,1.08929,-0.693394,0.870037,1.82175
-5570.04,1,0.00305706,4,15,0,7615.91,1.83872,4.42096,1.18156,-0.354906,-0.289898,-0.779568,-1.1594,-1.57716,0.523204,-1.2347,1.03632,0.22326,1.72988,0.268405,-1.36729,-1.0046,-0.0385754,0.880108,-0.383984,-0.106902,1.04555,1.01259,1.24811,-1.39987,-0.00578779,1.07588,-0.669271,1.29998,1.71126
-5169.48,1,0.00530085,2,3,0,5577.41,1.83016,4.52263,1.1253,-0.344877,-0.282872,-0.799242,-1.14947,-1.56453,0.502585,-1.2387,1.02851,0.2236,1.73231,0.251426,-1.37217,-0.998889,-0.00321271,0.868402,-0.374417,-0.114664,1.03279,1.00345,1.21306,-1.35453,0.018854,1.05221,-0.65359,1.43162,1.62997
-4432.21,1,0.00961161,2,3,0,5147.78,1.8238,4.40492,0.985111,-0.307764,-0.263929,-0.796174,-1.14759,-1.52821,0.485674,-1.23828,1.00412,0.208942,1.71627,0.22097,-1.33995,-1.00405,0.00918077,0.852035,-0.378986,-0.125017,0.949447,0.991505,1.11453,-1.21041,0.123438,1.07634,-0.592078,1.74669,1.42387
