# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_3861cfa599ea5361df60261fa21872be_model
# start_datetime = 2025-09-18 01:12:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpOjJuuj/standata-18e4bb1ca77.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /cloud/project/stan_output/model_3861cfa599ea5361df60261fa21872be-202509180112-2-89e56a.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /cloud/project/stan_output/model_3861cfa599ea5361df60261fa21872be-profile-202509180112-2-7eaa76.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_3861cfa599ea5361df60261fa21872be_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_Zone,tau_Zone,beta_Wind,beta_Temp,beta_Year_2,beta_Year,beta_SB_count,a_Temp,a_SAV,a_SC,a_SB,a_DO,a_BreachDays,a_Goby.1,a_Goby.2,a_Goby.3,beta_Temp_2,beta_Micro,beta_Rain,beta_SC_count,beta_SAV,beta_SAV_2,beta_DO,beta_BreachDays,beta_BreachDays_2,beta_Substrate,beta_Goby_lag,tau,phi
-3874.73,1,0.03125,1,1,0,4714.98,1.93254,0.709841,1.35166,0.934962,0.35732,0.572455,1.82207,-1.06213,0.160176,-0.867402,-0.59515,-1.11387,1.1677,0.770614,1.22166,-0.25278,-1.69026,-0.057529,0.739431,1.25386,-1.23476,-1.59572,0.301108,-0.967069,-0.195084,-0.0921505,-0.63662,3.01956,-0.424256
-3874.73,0,14.3855,0,1,1,3895.15,1.93254,0.709841,1.35166,0.934962,0.35732,0.572455,1.82207,-1.06213,0.160176,-0.867402,-0.59515,-1.11387,1.1677,0.770614,1.22166,-0.25278,-1.69026,-0.057529,0.739431,1.25386,-1.23476,-1.59572,0.301108,-0.967069,-0.195084,-0.0921505,-0.63662,3.01956,-0.424256
-3874.73,0,2.43117,0,1,1,3888.67,1.93254,0.709841,1.35166,0.934962,0.35732,0.572455,1.82207,-1.06213,0.160176,-0.867402,-0.59515,-1.11387,1.1677,0.770614,1.22166,-0.25278,-1.69026,-0.057529,0.739431,1.25386,-1.23476,-1.59572,0.301108,-0.967069,-0.195084,-0.0921505,-0.63662,3.01956,-0.424256
-3874.73,0,0.239791,0,1,1,3889.79,1.93254,0.709841,1.35166,0.934962,0.35732,0.572455,1.82207,-1.06213,0.160176,-0.867402,-0.59515,-1.11387,1.1677,0.770614,1.22166,-0.25278,-1.69026,-0.057529,0.739431,1.25386,-1.23476,-1.59572,0.301108,-0.967069,-0.195084,-0.0921505,-0.63662,3.01956,-0.424256
-3259.23,1,0.0186273,2,3,0,3843.87,1.91219,0.710158,1.16132,0.902162,0.290976,0.423363,1.79844,-1.02861,0.13929,-0.781845,-0.55768,-1.11465,1.19834,0.645327,1.20982,-0.223726,-1.65013,-0.0623205,0.656851,1.22319,-0.955673,-1.58267,0.294038,-0.811963,-0.102998,-0.0942155,-0.575086,1.85669,-0.797034
-2838.31,1,0.0257257,2,3,0,3251.83,1.91236,0.713273,0.721707,0.763337,0.208139,0.340524,1.67502,-0.982368,0.184422,-0.695642,-0.492945,-0.949343,1.01326,0.633939,1.24158,-0.247576,-1.49587,-0.108112,0.549179,1.15453,-0.684751,-1.50075,0.269027,-0.608028,0.0320045,-0.0863591,-0.463793,1.68697,-1.18213
-2162.09,0.44647,0.0404064,3,7,0,2812.41,1.96974,0.905342,-0.413709,-0.314616,0.051433,0.126027,1.30237,-0.010546,-0.0605522,-0.217098,-0.440948,-0.101655,0.00123067,0.591213,1.17034,-0.109648,-0.918612,0.216951,0.0604896,0.639631,0.109386,-1.23833,-0.0534023,0.148688,-0.148562,-0.00867218,-0.172053,1.06332,-1.84389
-2112.93,1,0.01227,3,7,0,2177.25,1.89,0.933407,-0.295258,-0.193938,0.0539615,0.0929735,1.33921,0.0341211,-0.0386328,-0.137628,-0.492335,-0.0738252,0.0388569,0.602838,1.20998,-0.0629976,-0.835131,0.246634,-0.000776602,0.627141,0.094431,-1.25536,-0.0678524,0.130424,-0.134069,-0.0100683,-0.212608,1.05709,-1.78324
-1924.68,0.902076,0.0215632,5,63,0,2124.53,0.836856,1.24041,-0.203331,-0.174213,-1.1156,0.125167,0.264115,-0.0871516,-0.017048,0.299877,0.0578448,0.104312,0.000972874,-1.28979,-0.525121,-0.338982,0.223498,0.683218,-0.00386959,-1.0646,-0.112579,0.193421,-0.0382996,0.078117,0.235677,0.823285,0.353037,0.996278,0.128114
-1857.45,1,0.0288943,2,3,0,1926.99,0.783508,1.21825,0.0556592,-0.076867,-1.0367,0.189565,0.174922,0.0392143,-0.0683076,0.178881,0.0261069,0.0714714,0.0030158,-1.28696,-0.576853,-0.421044,0.180763,0.60699,0.0421096,-1.11611,-0.048491,0.222042,0.008398,0.0139883,0.203867,0.716446,0.226077,1.02604,-0.0260435
-1857.45,0.00199527,0.053946,2,5,1,1871.44,0.783508,1.21825,0.0556592,-0.076867,-1.0367,0.189565,0.174922,0.0392143,-0.0683076,0.178881,0.0261069,0.0714714,0.0030158,-1.28696,-0.576853,-0.421044,0.180763,0.60699,0.0421096,-1.11611,-0.048491,0.222042,0.008398,0.0139883,0.203867,0.716446,0.226077,1.02604,-0.0260435
-1831.63,0.999577,0.00436343,6,63,0,1875.15,0.609288,1.06581,0.100103,0.053715,-0.699122,0.380961,0.215173,-0.0327728,0.0696294,0.126655,-0.336655,-0.0805149,-0.0129743,-1.43528,-0.469131,-0.744183,-0.0971996,0.177861,-0.0446368,-0.658872,0.173556,0.0291329,0.0634288,0.151002,0.224543,0.120666,0.0759938,0.995632,-0.02722
-1823.79,1,0.00837332,5,31,0,1847.53,0.501799,0.992936,0.0072374,-0.0239386,-0.746627,-0.0811291,0.637739,0.0323407,-0.0686677,0.0514045,-0.255972,0.0798694,0.0128003,-1.50634,-0.47143,-0.845504,0.1173,0.63221,0.0482318,-0.581505,-0.0324509,-0.198677,0.0901617,0.0953013,0.0440582,0.13369,0.184943,1.01531,-0.0210262
-1810.93,0.976332,0.0161743,6,63,0,1837.67,-0.143405,2.16964,-0.0405787,-0.0629462,-0.834062,0.342791,1.03457,0.0527456,-0.033694,0.131421,-0.273448,0.0637926,-0.00336376,-2.20138,-1.05339,-1.3616,0.00734958,0.392197,0.0153935,-0.309126,0.0270891,0.0226971,0.0357639,0.0892342,0.166746,0.335965,-0.104168,0.999947,0.167033
-1801.51,0.882815,0.0290356,5,31,0,1818.73,-0.326744,0.996866,0.0169007,-0.0129366,-0.981104,0.370865,0.507006,0.0488125,0.021123,-0.0163679,-0.0123085,-0.00203967,-0.022068,-1.53601,-0.962749,-1.11588,-0.00791245,0.29775,-0.0247747,-0.689711,0.205728,-0.220824,0.0280257,0.142422,0.0491107,0.34988,0.0448353,0.978379,0.316799
-1809.9,0.0212749,0.0389373,4,23,0,1827.06,-0.672444,1.04824,-0.110129,0.046786,-0.629767,-0.00976785,0.805791,0.0489152,0.0134062,0.0443689,-0.328606,-0.0110902,-0.0237356,-1.75358,-0.966478,-1.18039,-0.0982652,0.294821,-0.0342945,-0.516537,0.117743,0.0989547,0.050679,0.00418439,0.29505,0.0311208,-0.0169488,1.00345,0.127331
-1812.32,0.998956,0.00368515,6,127,0,1827.54,-0.614405,1.04599,0.132251,-0.0146283,-0.488069,0.016858,0.820953,-0.0892241,-0.0583389,0.023246,-0.270094,0.174566,-0.114588,-1.67734,-1.07718,-1.26322,-0.0488259,0.555359,0.0430484,-0.548582,0.0803198,0.194888,0.0388486,0.056819,0.148351,0.313154,0.0488088,1.00786,0.205487
