# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_3861cfa599ea5361df60261fa21872be_model
# start_datetime = 2025-10-06 23:23:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpizSONi/standata-18e4483b3e.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /cloud/project/stan_output/model_3861cfa599ea5361df60261fa21872be-202510062323-1-347a62.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /cloud/project/stan_output/model_3861cfa599ea5361df60261fa21872be-profile-202510062323-1-69dff4.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_3861cfa599ea5361df60261fa21872be_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_Zone,tau_Zone,beta_Wind,beta_Temp,beta_Year_2,beta_Year,beta_SB_count,a_Temp,a_SAV,a_SC,a_SB,a_DO,a_BreachDays,a_Goby.1,a_Goby.2,a_Goby.3,beta_Temp_2,beta_Micro,beta_Rain,beta_SC_count,beta_SAV,beta_SAV_2,beta_DO,beta_BreachDays,beta_BreachDays_2,beta_Substrate,beta_Goby_lag,tau,phi
-16151.1,1,0.00390625,2,3,0,30183.2,1.83268,4.48625,1.37837,-0.416444,-0.279812,-0.800147,-1.18157,-1.64087,0.562325,-1.23141,1.06099,0.231882,1.83516,0.278242,-1.38669,-1.02163,-0.0897162,0.875829,-0.400864,-0.0960347,1.04707,1.00796,1.36819,-1.58153,-0.0722212,1.08616,-0.708473,0.510422,1.89375
-16151.1,0,14.3855,0,1,1,16167.2,1.83268,4.48625,1.37837,-0.416444,-0.279812,-0.800147,-1.18157,-1.64087,0.562325,-1.23141,1.06099,0.231882,1.83516,0.278242,-1.38669,-1.02163,-0.0897162,0.875829,-0.400864,-0.0960347,1.04707,1.00796,1.36819,-1.58153,-0.0722212,1.08616,-0.708473,0.510422,1.89375
-16151.1,0,2.43117,0,1,1,16172.2,1.83268,4.48625,1.37837,-0.416444,-0.279812,-0.800147,-1.18157,-1.64087,0.562325,-1.23141,1.06099,0.231882,1.83516,0.278242,-1.38669,-1.02163,-0.0897162,0.875829,-0.400864,-0.0960347,1.04707,1.00796,1.36819,-1.58153,-0.0722212,1.08616,-0.708473,0.510422,1.89375
-16151.1,0,0.239791,0,1,1,16169,1.83268,4.48625,1.37837,-0.416444,-0.279812,-0.800147,-1.18157,-1.64087,0.562325,-1.23141,1.06099,0.231882,1.83516,0.278242,-1.38669,-1.02163,-0.0897162,0.875829,-0.400864,-0.0960347,1.04707,1.00796,1.36819,-1.58153,-0.0722212,1.08616,-0.708473,0.510422,1.89375
-16151.1,0,0.0186273,0,1,1,16163,1.83268,4.48625,1.37837,-0.416444,-0.279812,-0.800147,-1.18157,-1.64087,0.562325,-1.23141,1.06099,0.231882,1.83516,0.278242,-1.38669,-1.02163,-0.0897162,0.875829,-0.400864,-0.0960347,1.04707,1.00796,1.36819,-1.58153,-0.0722212,1.08616,-0.708473,0.510422,1.89375
-14418.9,1,0.00130482,2,3,0,16144,1.83298,4.47531,1.37205,-0.408812,-0.285961,-0.798959,-1.1757,-1.62988,0.560198,-1.2295,1.05553,0.229764,1.82734,0.281971,-1.382,-1.02095,-0.0870804,0.875527,-0.392943,-0.092135,1.04102,1.00463,1.35569,-1.57223,-0.0662729,1.08579,-0.703331,0.551546,1.88891
-8506.27,1,0.00189104,3,7,0,14334.2,1.84213,4.42113,1.28372,-0.377106,-0.287695,-0.796231,-1.16748,-1.60422,0.541503,-1.24214,1.04957,0.214674,1.78955,0.284621,-1.37159,-1.01481,-0.0627292,0.878549,-0.379829,-0.0803989,1.03857,1.00221,1.30457,-1.51133,-0.0498602,1.08613,-0.680676,0.869293,1.81795
-6266.67,1,0.00305706,4,15,0,8481.71,1.83872,4.42096,1.18378,-0.323928,-0.318244,-0.802892,-1.12781,-1.57697,0.523142,-1.23681,1.03969,0.223234,1.72968,0.305567,-1.35863,-1.01416,0.00402955,0.884514,-0.37958,-0.0847028,1.01998,1.01259,1.21161,-1.40576,-0.00818362,1.06719,-0.633556,1.29852,1.7
-4827.31,1,0.00530085,3,7,0,6263.49,1.83786,4.34451,1.02344,-0.208672,-0.367816,-0.8188,-1.07741,-1.51449,0.495592,-1.25846,1.01576,0.207178,1.66865,0.375842,-1.33456,-1.06676,0.125026,0.928775,-0.374052,-0.06684,0.912154,1.01608,0.991096,-1.20706,0.102284,1.02277,-0.525752,1.79294,1.40473
-4253.8,1,0.00961161,2,3,0,4823.16,1.83669,4.27109,0.909749,-0.11807,-0.381518,-0.825944,-0.995524,-1.47506,0.494863,-1.28204,1.00835,0.191485,1.63137,0.400137,-1.30237,-1.06819,0.16619,0.945223,-0.356079,-0.0644524,0.83397,1.00803,0.83857,-1.09003,0.175613,1.00731,-0.393852,1.81787,1.25179
