# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_3861cfa599ea5361df60261fa21872be_model
# start_datetime = 2025-10-07 22:25:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpsLDz6b/standata-18dbe67bc0.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /cloud/project/stan_output/model_3861cfa599ea5361df60261fa21872be-202510072225-1-5e321a.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /cloud/project/stan_output/model_3861cfa599ea5361df60261fa21872be-profile-202510072225-1-781e6b.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_3861cfa599ea5361df60261fa21872be_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_Zone,tau_Zone,beta_Wind,beta_Temp,beta_Year_2,beta_Year,beta_SB_count,a_Temp,a_SAV,a_SC,a_SB,a_DO,a_BreachDays,a_Goby.1,a_Goby.2,a_Goby.3,beta_Temp_2,beta_Micro,beta_Rain,beta_SC_count,beta_SAV,beta_SAV_2,beta_DO,beta_BreachDays,beta_BreachDays_2,beta_Substrate,beta_Goby_lag,tau,phi
-33474.5,1,0.00390625,2,3,0,60647.6,1.83268,4.48625,1.27846,-0.308209,-0.186817,-0.787476,-1.11878,-1.64087,0.562325,-1.23174,1.06085,0.231882,1.83516,0.299646,-1.36181,-0.983723,0.00666452,0.858209,-0.385495,-0.0592816,1.1169,1.00796,1.46987,-1.5286,0.019022,1.12503,-0.70302,0.571205,1.83923
-33474.5,0,14.3855,0,1,1,33490.6,1.83268,4.48625,1.27846,-0.308209,-0.186817,-0.787476,-1.11878,-1.64087,0.562325,-1.23174,1.06085,0.231882,1.83516,0.299646,-1.36181,-0.983723,0.00666452,0.858209,-0.385495,-0.0592816,1.1169,1.00796,1.46987,-1.5286,0.019022,1.12503,-0.70302,0.571205,1.83923
-33474.5,0,2.43117,0,1,1,33495.6,1.83268,4.48625,1.27846,-0.308209,-0.186817,-0.787476,-1.11878,-1.64087,0.562325,-1.23174,1.06085,0.231882,1.83516,0.299646,-1.36181,-0.983723,0.00666452,0.858209,-0.385495,-0.0592816,1.1169,1.00796,1.46987,-1.5286,0.019022,1.12503,-0.70302,0.571205,1.83923
-33474.5,0,0.239791,0,1,1,33492.4,1.83268,4.48625,1.27846,-0.308209,-0.186817,-0.787476,-1.11878,-1.64087,0.562325,-1.23174,1.06085,0.231882,1.83516,0.299646,-1.36181,-0.983723,0.00666452,0.858209,-0.385495,-0.0592816,1.1169,1.00796,1.46987,-1.5286,0.019022,1.12503,-0.70302,0.571205,1.83923
-33474.5,0,0.0186273,0,1,1,33486.4,1.83268,4.48625,1.27846,-0.308209,-0.186817,-0.787476,-1.11878,-1.64087,0.562325,-1.23174,1.06085,0.231882,1.83516,0.299646,-1.36181,-0.983723,0.00666452,0.858209,-0.385495,-0.0592816,1.1169,1.00796,1.46987,-1.5286,0.019022,1.12503,-0.70302,0.571205,1.83923
-29583.9,1,0.00130482,2,3,0,33444.9,1.83298,4.47531,1.25235,-0.275302,-0.159245,-0.780962,-1.09049,-1.63119,0.56065,-1.22999,1.05533,0.229951,1.82882,0.31069,-1.34824,-0.96866,0.0386588,0.849978,-0.375855,-0.0427795,1.1332,1.00463,1.48465,-1.5011,0.0605552,1.13775,-0.694679,0.613442,1.81549
-28030.9,1,0.00189104,1,1,0,29560.7,1.83062,4.48874,1.23717,-0.260354,-0.144205,-0.780476,-1.07787,-1.62471,0.560909,-1.22659,1.05642,0.231926,1.82382,0.31466,-1.34511,-0.964728,0.0512075,0.844647,-0.374659,-0.0397369,1.13987,1.00508,1.49136,-1.4873,0.0801524,1.1424,-0.692005,0.631997,1.80912
-10330.1,1,0.00305706,8,255,0,27388.1,1.84517,4.44146,0.951679,0.00161211,0.178092,-0.729874,-0.839808,-1.5792,0.535542,-1.22433,1.06497,0.221774,1.76613,0.399849,-1.24665,-0.827285,0.315578,0.740776,-0.335968,0.068679,1.31355,0.994157,1.62502,-1.22137,0.472802,1.25857,-0.636766,1.07214,1.55842
-7894.89,1,0.00530085,2,3,0,10223.4,1.83407,4.42095,0.871797,0.0673054,0.327029,-0.714106,-0.710291,-1.55906,0.518559,-1.23422,1.0576,0.204093,1.75183,0.421851,-1.19518,-0.736538,0.344616,0.689912,-0.325057,0.084332,1.31689,0.992182,1.63093,-1.07744,0.614421,1.31526,-0.603773,1.28987,1.41527
-5684.59,1,0.00961161,2,3,0,7766.39,1.81909,4.4329,0.735306,0.177964,0.551629,-0.62724,-0.457903,-1.4795,0.493397,-1.23105,1.01563,0.199072,1.69813,0.470488,-1.08032,-0.606769,0.337176,0.557096,-0.279435,0.150665,1.31387,0.988397,1.61373,-0.854396,0.789638,1.37601,-0.468385,1.71844,1.04203
