# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_3861cfa599ea5361df60261fa21872be_model
# start_datetime = 2025-10-07 22:27:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpsLDz6b/standata-18dbe67bc0.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /cloud/project/stan_output/model_3861cfa599ea5361df60261fa21872be-202510072225-3-5e321a.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /cloud/project/stan_output/model_3861cfa599ea5361df60261fa21872be-profile-202510072225-3-781e6b.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_3861cfa599ea5361df60261fa21872be_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_Zone,tau_Zone,beta_Wind,beta_Temp,beta_Year_2,beta_Year,beta_SB_count,a_Temp,a_SAV,a_SC,a_SB,a_DO,a_BreachDays,a_Goby.1,a_Goby.2,a_Goby.3,beta_Temp_2,beta_Micro,beta_Rain,beta_SC_count,beta_SAV,beta_SAV_2,beta_DO,beta_BreachDays,beta_BreachDays_2,beta_Substrate,beta_Goby_lag,tau,phi
-45608.5,1,0.00195312,2,3,0,138022,-0.942859,0.186167,0.788955,-1.41687,1.42542,0.755924,1.51655,-1.68443,0.773779,-1.93164,-0.661445,-1.75484,0.940821,1.65765,-1.95302,0.5903,0.568128,0.887949,-0.486154,1.9175,1.39962,-1.5133,-1.68767,-0.588603,0.584523,-0.472195,-1.68818,0.370408,-1.44455
-45608.5,0,14.3855,0,1,1,45621.3,-0.942859,0.186167,0.788955,-1.41687,1.42542,0.755924,1.51655,-1.68443,0.773779,-1.93164,-0.661445,-1.75484,0.940821,1.65765,-1.95302,0.5903,0.568128,0.887949,-0.486154,1.9175,1.39962,-1.5133,-1.68767,-0.588603,0.584523,-0.472195,-1.68818,0.370408,-1.44455
-45608.5,0,2.43117,0,1,1,45621.9,-0.942859,0.186167,0.788955,-1.41687,1.42542,0.755924,1.51655,-1.68443,0.773779,-1.93164,-0.661445,-1.75484,0.940821,1.65765,-1.95302,0.5903,0.568128,0.887949,-0.486154,1.9175,1.39962,-1.5133,-1.68767,-0.588603,0.584523,-0.472195,-1.68818,0.370408,-1.44455
-45608.5,0,0.239791,0,1,1,45620.5,-0.942859,0.186167,0.788955,-1.41687,1.42542,0.755924,1.51655,-1.68443,0.773779,-1.93164,-0.661445,-1.75484,0.940821,1.65765,-1.95302,0.5903,0.568128,0.887949,-0.486154,1.9175,1.39962,-1.5133,-1.68767,-0.588603,0.584523,-0.472195,-1.68818,0.370408,-1.44455
-45608.5,0,0.0186273,0,1,1,45622.8,-0.942859,0.186167,0.788955,-1.41687,1.42542,0.755924,1.51655,-1.68443,0.773779,-1.93164,-0.661445,-1.75484,0.940821,1.65765,-1.95302,0.5903,0.568128,0.887949,-0.486154,1.9175,1.39962,-1.5133,-1.68767,-0.588603,0.584523,-0.472195,-1.68818,0.370408,-1.44455
-16307.6,1,0.00130482,6,63,0,44628.6,-0.945282,0.186302,0.721529,-1.3089,1.43083,0.744505,1.52498,-1.65873,0.763901,-1.93271,-0.661606,-1.72559,0.929082,1.65284,-1.94467,0.590783,0.573127,0.889156,-0.467316,1.92532,1.40056,-1.51135,-1.62205,-0.568086,0.588238,-0.471417,-1.67965,0.638686,-1.45653
-9314.02,1,0.00189104,2,3,0,16122.4,-0.946174,0.188041,0.672167,-1.24536,1.44839,0.741251,1.53597,-1.64121,0.75086,-1.93724,-0.649108,-1.703,0.927997,1.64773,-1.94096,0.588939,0.580423,0.88316,-0.454205,1.91756,1.4083,-1.51373,-1.57112,-0.552147,0.58993,-0.465866,-1.67366,0.921267,-1.46522
-7305.71,1,0.00305706,2,3,0,9240.7,-0.947002,0.189648,0.640714,-1.19743,1.45513,0.736422,1.53763,-1.63528,0.754888,-1.9388,-0.656553,-1.67952,0.924187,1.64153,-1.94014,0.590513,0.592108,0.868277,-0.442264,1.91359,1.41085,-1.51318,-1.52684,-0.539018,0.594693,-0.446762,-1.66812,1.12246,-1.48044
-5525.01,1,0.00530085,2,3,0,7199.09,-0.944113,0.192064,0.589916,-1.10805,1.47089,0.730464,1.5533,-1.62862,0.733118,-1.93107,-0.66752,-1.65664,0.92149,1.65438,-1.90823,0.589877,0.603021,0.869621,-0.417046,1.92933,1.42584,-1.50705,-1.47259,-0.506974,0.610287,-0.430397,-1.65391,1.57432,-1.48308
-4634.9,1,0.00961161,2,3,0,5467.6,-0.900056,0.199674,0.525854,-0.952094,1.51289,0.668103,1.60169,-1.61224,0.691062,-1.94005,-0.67054,-1.62049,0.92367,1.61345,-1.84853,0.578586,0.620328,0.845213,-0.359581,1.94594,1.49264,-1.49818,-1.33732,-0.437663,0.639793,-0.349702,-1.57155,2.3768,-1.55813
