# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_3861cfa599ea5361df60261fa21872be_model
# start_datetime = 2025-10-07 22:36:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 3000
#     num_warmup = 3000
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpsLDz6b/standata-18d5579a789.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /cloud/project/stan_output/model_3861cfa599ea5361df60261fa21872be-202510072236-1-784096.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /cloud/project/stan_output/model_3861cfa599ea5361df60261fa21872be-profile-202510072236-1-54b091.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_3861cfa599ea5361df60261fa21872be_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_Zone,tau_Zone,beta_Wind,beta_Temp,beta_Year_2,beta_Year,beta_SB_count,a_Temp,a_SAV,a_SC,a_SB,a_DO,a_BreachDays,a_Goby.1,a_Goby.2,a_Goby.3,beta_Temp_2,beta_Micro,beta_Rain,beta_SC_count,beta_SAV,beta_SAV_2,beta_DO,beta_BreachDays,beta_BreachDays_2,beta_Substrate,beta_Goby_lag,tau,phi
-33474.5,1,0.00390625,2,3,0,60647.6,1.83268,4.48625,1.27846,-0.308209,-0.186817,-0.787476,-1.11878,-1.64087,0.562325,-1.23174,1.06085,0.231882,1.83516,0.299646,-1.36181,-0.983723,0.00666452,0.858209,-0.385495,-0.0592816,1.1169,1.00796,1.46987,-1.5286,0.019022,1.12503,-0.70302,0.571205,1.83923
-33474.5,0,10.9517,0,1,1,33490.6,1.83268,4.48625,1.27846,-0.308209,-0.186817,-0.787476,-1.11878,-1.64087,0.562325,-1.23174,1.06085,0.231882,1.83516,0.299646,-1.36181,-0.983723,0.00666452,0.858209,-0.385495,-0.0592816,1.1169,1.00796,1.46987,-1.5286,0.019022,1.12503,-0.70302,0.571205,1.83923
-33474.5,0,1.19873,0,1,1,33495.6,1.83268,4.48625,1.27846,-0.308209,-0.186817,-0.787476,-1.11878,-1.64087,0.562325,-1.23174,1.06085,0.231882,1.83516,0.299646,-1.36181,-0.983723,0.00666452,0.858209,-0.385495,-0.0592816,1.1169,1.00796,1.46987,-1.5286,0.019022,1.12503,-0.70302,0.571205,1.83923
-33474.5,0,0.0722879,0,1,1,33492.4,1.83268,4.48625,1.27846,-0.308209,-0.186817,-0.787476,-1.11878,-1.64087,0.562325,-1.23174,1.06085,0.231882,1.83516,0.299646,-1.36181,-0.983723,0.00666452,0.858209,-0.385495,-0.0592816,1.1169,1.00796,1.46987,-1.5286,0.019022,1.12503,-0.70302,0.571205,1.83923
-16026.3,1,0.00335463,3,7,0,32363,1.82779,4.49312,1.0808,-0.111115,0.0140891,-0.757634,-0.975538,-1.61933,0.549677,-1.2266,1.0664,0.226795,1.79865,0.346338,-1.30591,-0.888291,0.192994,0.815719,-0.360719,0.0161433,1.2395,1.00323,1.58054,-1.35382,0.273412,1.19736,-0.671437,0.853641,1.67778
-12855,1,0.00274951,2,3,0,15942,1.83692,4.49408,1.02822,-0.0713933,0.090147,-0.746588,-0.907931,-1.60016,0.548985,-1.22528,1.06526,0.238195,1.79547,0.354643,-1.28639,-0.860688,0.239438,0.796042,-0.353319,0.0479675,1.27874,1.00495,1.61101,-1.27269,0.36761,1.21486,-0.64118,0.946813,1.61321
-9921.34,1,0.00256848,2,3,0,12816.1,1.84425,4.47723,0.935984,-0.0112402,0.18765,-0.731701,-0.825067,-1.57488,0.54255,-1.21945,1.07544,0.244348,1.78186,0.381556,-1.23176,-0.794264,0.287743,0.7621,-0.343784,0.0805438,1.31704,1.00595,1.6395,-1.1946,0.487893,1.25848,-0.61673,1.09088,1.50951
-7736.57,1,0.00261646,3,7,0,9906.47,1.84414,4.52532,0.852902,0.0376543,0.317499,-0.694949,-0.720521,-1.55596,0.537193,-1.22601,1.08491,0.231727,1.76668,0.410855,-1.16175,-0.702694,0.328889,0.696883,-0.332817,0.132772,1.34181,1.00676,1.65765,-1.07746,0.612581,1.28127,-0.565931,1.28448,1.36071
-7400.22,1,0.00282732,2,3,0,7751.43,1.85139,4.51565,0.82808,0.0442774,0.340014,-0.678741,-0.691416,-1.55093,0.531208,-1.21395,1.08285,0.228636,1.76434,0.403686,-1.14827,-0.691079,0.321997,0.681767,-0.331558,0.139293,1.3505,1.00268,1.64949,-1.04979,0.64554,1.28103,-0.552197,1.32283,1.32784
-5165.23,1,0.00318263,4,15,0,7398.07,1.86675,4.70576,0.684643,0.142532,0.590738,-0.574862,-0.387442,-1.48848,0.515065,-1.18832,1.05634,0.219562,1.67356,0.452199,-0.944497,-0.511511,0.31009,0.550051,-0.275049,0.198707,1.25378,0.999478,1.57763,-0.78865,0.811943,1.30046,-0.382156,1.77958,0.885555
