# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_3861cfa599ea5361df60261fa21872be_model
# start_datetime = 2025-10-07 22:41:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 3000
#     num_warmup = 3000
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpsLDz6b/standata-18d5579a789.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /cloud/project/stan_output/model_3861cfa599ea5361df60261fa21872be-202510072236-3-784096.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /cloud/project/stan_output/model_3861cfa599ea5361df60261fa21872be-profile-202510072236-3-54b091.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_3861cfa599ea5361df60261fa21872be_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_Zone,tau_Zone,beta_Wind,beta_Temp,beta_Year_2,beta_Year,beta_SB_count,a_Temp,a_SAV,a_SC,a_SB,a_DO,a_BreachDays,a_Goby.1,a_Goby.2,a_Goby.3,beta_Temp_2,beta_Micro,beta_Rain,beta_SC_count,beta_SAV,beta_SAV_2,beta_DO,beta_BreachDays,beta_BreachDays_2,beta_Substrate,beta_Goby_lag,tau,phi
-45608.5,1,0.00195312,2,3,0,138022,-0.942859,0.186167,0.788955,-1.41687,1.42542,0.755924,1.51655,-1.68443,0.773779,-1.93164,-0.661445,-1.75484,0.940821,1.65765,-1.95302,0.5903,0.568128,0.887949,-0.486154,1.9175,1.39962,-1.5133,-1.68767,-0.588603,0.584523,-0.472195,-1.68818,0.370408,-1.44455
-45608.5,0,10.9517,0,1,1,45621.3,-0.942859,0.186167,0.788955,-1.41687,1.42542,0.755924,1.51655,-1.68443,0.773779,-1.93164,-0.661445,-1.75484,0.940821,1.65765,-1.95302,0.5903,0.568128,0.887949,-0.486154,1.9175,1.39962,-1.5133,-1.68767,-0.588603,0.584523,-0.472195,-1.68818,0.370408,-1.44455
-45608.5,0,1.19873,0,1,1,45621.9,-0.942859,0.186167,0.788955,-1.41687,1.42542,0.755924,1.51655,-1.68443,0.773779,-1.93164,-0.661445,-1.75484,0.940821,1.65765,-1.95302,0.5903,0.568128,0.887949,-0.486154,1.9175,1.39962,-1.5133,-1.68767,-0.588603,0.584523,-0.472195,-1.68818,0.370408,-1.44455
-45608.5,0,0.0722879,0,1,1,45620.5,-0.942859,0.186167,0.788955,-1.41687,1.42542,0.755924,1.51655,-1.68443,0.773779,-1.93164,-0.661445,-1.75484,0.940821,1.65765,-1.95302,0.5903,0.568128,0.887949,-0.486154,1.9175,1.39962,-1.5133,-1.68767,-0.588603,0.584523,-0.472195,-1.68818,0.370408,-1.44455
-18390.8,1,0.00335463,1,1,0,38384.8,-0.938165,0.186832,0.728311,-1.33221,1.42398,0.753108,1.51383,-1.66294,0.768627,-1.93552,-0.657451,-1.73177,0.930231,1.65704,-1.9494,0.588189,0.575346,0.887286,-0.4703,1.91213,1.40525,-1.50721,-1.63767,-0.570865,0.588811,-0.472971,-1.68556,0.5982,-1.44634
-9717.99,1,0.00274951,5,31,0,17826.7,-0.932348,0.188039,0.675505,-1.2537,1.43019,0.756793,1.51406,-1.64398,0.757149,-1.93184,-0.656319,-1.7155,0.915943,1.66213,-1.94799,0.590646,0.582327,0.8748,-0.457687,1.90348,1.41943,-1.50936,-1.5874,-0.560882,0.596142,-0.464675,-1.6828,0.897441,-1.44698
-5803.18,1,0.00256848,3,7,0,9648.23,-0.923924,0.189448,0.58597,-1.13563,1.44981,0.734088,1.54049,-1.60834,0.7342,-1.92521,-0.653575,-1.69325,0.896773,1.64169,-1.92528,0.575339,0.597726,0.862155,-0.438841,1.90755,1.43866,-1.5088,-1.51808,-0.532728,0.617874,-0.454712,-1.65074,1.47756,-1.47442
-5212.33,1,0.00261646,3,7,0,5804.36,-0.910721,0.19435,0.526053,-1.08413,1.45062,0.724294,1.56287,-1.58954,0.728164,-1.92062,-0.651575,-1.66391,0.891013,1.64249,-1.90655,0.576277,0.617653,0.84824,-0.424897,1.90797,1.45318,-1.50187,-1.46842,-0.518037,0.626296,-0.435976,-1.62749,1.73287,-1.49937
-4799.86,1,0.00282732,3,7,0,5222.56,-0.896868,0.197164,0.461559,-1.00914,1.48973,0.677569,1.59534,-1.58449,0.708217,-1.91194,-0.623442,-1.64122,0.877845,1.66622,-1.88598,0.588381,0.617654,0.838421,-0.402978,1.93182,1.47945,-1.49577,-1.41485,-0.488231,0.649412,-0.433254,-1.58585,2.06572,-1.51844
-4674.51,1,0.00318263,3,7,0,4813.96,-0.886074,0.197116,0.421957,-0.982767,1.51177,0.655058,1.6303,-1.58481,0.704721,-1.90707,-0.606442,-1.63445,0.843793,1.65672,-1.85807,0.587969,0.641313,0.819396,-0.367988,1.929,1.48704,-1.50147,-1.36985,-0.486372,0.640358,-0.435512,-1.56569,2.1868,-1.52668
-4557.38,1,0.00368638,3,7,0,4684.52,-0.86271,0.203081,0.387321,-0.916017,1.52494,0.667269,1.65296,-1.54665,0.695111,-1.89595,-0.617827,-1.62684,0.85019,1.65207,-1.85426,0.582969,0.620463,0.797159,-0.367434,1.92391,1.49044,-1.50956,-1.3159,-0.464965,0.638113,-0.417393,-1.54915,2.28694,-1.55871
-3291.68,1,0.00435598,5,31,0,4581.09,-0.467744,0.40003,-0.309609,0.421613,1.91972,0.293567,2.01916,-1.1767,0.580985,-1.61855,-0.361855,-1.21937,0.538821,1.40561,-1.39241,0.585811,0.863799,0.558829,-0.18189,1.79392,1.70739,-1.37829,0.00278197,-0.243296,0.786873,0.0374266,-0.909014,1.42082,-1.9019
-2590.49,0.943949,0.00521897,4,15,0,3305.18,-0.465819,0.402996,-0.579073,0.592293,1.81367,0.435416,1.94319,-0.584044,0.378366,-1.52199,-0.285705,-0.577242,0.240094,1.35306,-1.34703,0.634496,0.694339,0.559876,0.309612,1.70189,1.501,-1.32067,0.0646646,0.145692,0.770569,0.0106536,-0.743209,0.812833,-1.91093
-2426.84,0.995775,0.00529488,4,15,0,2605.01,-0.463947,0.413473,-0.546113,0.585499,1.77687,0.388111,1.91807,-0.430839,0.256594,-1.50669,-0.284558,-0.490489,0.161327,1.33478,-1.37532,0.694578,0.68332,0.547174,0.383584,1.6422,1.48497,-1.314,0.108899,0.254955,0.707166,0.0106017,-0.673766,0.717961,-1.85741
-2157.62,0.922141,0.00636547,5,31,0,2439.68,-0.411377,0.451556,-0.606973,0.525862,1.72876,0.40288,1.81938,0.162631,-0.0773347,-1.3477,-0.413332,0.176473,-0.0581222,1.23997,-1.24102,0.597117,0.591131,0.592085,0.839778,1.46876,1.33633,-1.15011,0.459109,0.392442,0.799295,0.0949312,-0.533607,0.444105,-1.84502
-2048.76,1,0.00611643,3,7,0,2165.77,-0.424224,0.464093,-0.602754,0.459913,1.70434,0.397511,1.83116,0.0459817,0.00203672,-1.33486,-0.386757,0.0385209,-0.0169079,1.2518,-1.24597,0.581217,0.584634,0.550671,0.733466,1.4654,1.239,-1.13963,0.415176,0.388289,0.797403,0.0507832,-0.533583,0.524661,-1.78146
-2040.76,1,0.00750885,5,31,0,2059.4,-0.349389,0.46199,-0.625398,0.500127,1.66862,0.420642,1.83054,0.0196792,-0.0146336,-1.30807,-0.337307,0.034939,-0.0332647,1.26047,-1.28472,0.55629,0.586117,0.541044,0.724546,1.48124,1.21473,-1.17375,0.39581,0.401973,0.75779,0.0544332,-0.5238,0.510675,-1.78595
-1781.73,0.962716,0.00922605,6,63,0,2051.47,0.370864,0.751579,-0.66615,0.337163,0.143315,-0.232753,1.5492,0.00626929,-0.0275879,-0.342453,-0.0579728,0.0332517,0.00230621,0.0877296,0.587181,0.285723,-0.0935576,0.219664,0.744876,-0.179102,0.283753,-0.482649,0.580754,0.353639,0.611208,0.701616,0.162755,0.50595,-0.0189407
-1774.98,1,0.0101227,4,15,0,1792.52,0.398689,0.747444,-0.669887,0.335837,0.136439,-0.231117,1.54197,0.00406991,-0.0155577,-0.327631,-0.062235,0.02407,0.00307974,0.0857352,0.576293,0.290175,-0.108189,0.227106,0.745376,-0.184226,0.288121,-0.48212,0.581521,0.35829,0.614709,0.693497,0.170832,0.514067,-0.0381742
