# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_3861cfa599ea5361df60261fa21872be_model
# start_datetime = 2025-10-07 22:57:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 3000
#     num_warmup = 6000
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpBD2CPc/standata-18d35796c7d.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /cloud/project/stan_output/model_3861cfa599ea5361df60261fa21872be-202510072257-1-2be30c.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /cloud/project/stan_output/model_3861cfa599ea5361df60261fa21872be-profile-202510072257-1-784ab8.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_3861cfa599ea5361df60261fa21872be_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_Zone,tau_Zone,beta_Wind,beta_Temp,beta_Year_2,beta_Year,beta_SB_count,a_Temp,a_SAV,a_SC,a_SB,a_DO,a_BreachDays,a_Goby.1,a_Goby.2,a_Goby.3,beta_Temp_2,beta_Micro,beta_Rain,beta_SC_count,beta_SAV,beta_SAV_2,beta_DO,beta_BreachDays,beta_BreachDays_2,beta_Substrate,beta_Goby_lag,tau,phi
-27637.8,1,0.00390625,2,3,0,51613.3,1.83268,4.48625,1.29055,-0.321229,-0.222709,-0.778554,-1.13594,-1.64087,0.562325,-1.23175,1.06079,0.231882,1.83516,0.293715,-1.36289,-1.00064,-0.0112065,0.878282,-0.384883,-0.0723361,1.10496,1.00796,1.45962,-1.54331,-0.0199833,1.11258,-0.700441,0.569697,1.85777
-27637.8,0,11.994,0,1,1,27653.9,1.83268,4.48625,1.29055,-0.321229,-0.222709,-0.778554,-1.13594,-1.64087,0.562325,-1.23175,1.06079,0.231882,1.83516,0.293715,-1.36289,-1.00064,-0.0112065,0.878282,-0.384883,-0.0723361,1.10496,1.00796,1.45962,-1.54331,-0.0199833,1.11258,-0.700441,0.569697,1.85777
-27637.8,0,1.51735,0,1,1,27658.9,1.83268,4.48625,1.29055,-0.321229,-0.222709,-0.778554,-1.13594,-1.64087,0.562325,-1.23175,1.06079,0.231882,1.83516,0.293715,-1.36289,-1.00064,-0.0112065,0.878282,-0.384883,-0.0723361,1.10496,1.00796,1.45962,-1.54331,-0.0199833,1.11258,-0.700441,0.569697,1.85777
-27637.8,0,0.107809,0,1,1,27655.7,1.83268,4.48625,1.29055,-0.321229,-0.222709,-0.778554,-1.13594,-1.64087,0.562325,-1.23175,1.06079,0.231882,1.83516,0.293715,-1.36289,-1.00064,-0.0112065,0.878282,-0.384883,-0.0723361,1.10496,1.00796,1.45962,-1.54331,-0.0199833,1.11258,-0.700441,0.569697,1.85777
-15442.2,1,0.00594036,7,127,0,24959.6,1.82837,4.49239,1.12808,-0.160548,-0.120457,-0.731665,-1.04498,-1.622,0.551174,-1.22718,1.06569,0.227398,1.80301,0.323528,-1.31573,-0.954342,0.140655,0.883452,-0.362611,-0.0307824,1.20371,1.00381,1.55211,-1.42828,0.107102,1.15712,-0.673192,0.82019,1.75524
-12030.8,1,0.00579375,1,1,0,14955.4,1.82255,4.51642,1.06731,-0.0893263,-0.0519779,-0.695368,-0.97958,-1.61363,0.548185,-1.23018,1.06011,0.214505,1.78545,0.33832,-1.28643,-0.934467,0.220584,0.870037,-0.355369,-0.0162511,1.26142,1.00343,1.60317,-1.35957,0.171061,1.18515,-0.645949,0.936427,1.68733
-6791.53,1,0.00643577,3,7,0,11637.9,1.84312,4.51128,0.860797,0.120174,0.154315,-0.5656,-0.773293,-1.56018,0.512802,-1.2372,1.06136,0.207946,1.7404,0.403212,-1.16102,-0.84782,0.392025,0.77319,-0.318957,0.0220127,1.39975,0.994435,1.71283,-1.12532,0.397394,1.28687,-0.536586,1.3718,1.45574
-4710.97,1,0.00777761,3,7,0,6738.43,1.88541,4.53749,0.718263,0.304,0.370567,-0.375666,-0.443335,-1.47454,0.462329,-1.23173,1.01569,0.204872,1.66224,0.423388,-0.96327,-0.696144,0.398854,0.606576,-0.258394,0.00580651,1.44028,0.982091,1.65362,-0.858421,0.515097,1.34087,-0.386118,1.82942,0.989302
-4235.8,1,0.00993841,2,3,0,4711.54,1.87983,4.48967,0.678275,0.333748,0.404844,-0.302538,-0.316225,-1.4261,0.428261,-1.23202,1.02722,0.192289,1.60964,0.425936,-0.918728,-0.66074,0.324945,0.518789,-0.24442,-0.00764749,1.38919,0.936389,1.55593,-0.749769,0.468878,1.32429,-0.32155,1.85816,0.789618
-3773.24,1,0.0131808,2,3,0,4238.56,1.86077,4.39988,0.580798,0.265464,0.444205,-0.237496,-0.192357,-1.37607,0.374611,-1.22941,0.960887,0.129955,1.55132,0.379002,-0.823715,-0.58797,0.237518,0.449399,-0.214431,-0.0739281,1.30519,0.935885,1.47726,-0.606101,0.444167,1.32932,-0.234702,1.78719,0.51777
-2953.41,1,0.0179176,2,3,0,3765.06,1.86595,4.46595,0.261888,0.286152,0.46879,-0.0443906,0.0629921,-1.16395,0.271669,-1.18515,0.875964,0.139331,1.25075,0.235142,-0.560683,-0.462138,0.0011674,0.227194,-0.0969982,-0.103484,1.04973,0.941015,1.09116,-0.256125,0.223562,1.21213,-0.1576,1.45389,-0.121857
-2844.19,0.92776,0.0247501,2,3,0,2965.24,1.88456,4.65421,0.170993,0.309677,0.440262,-0.0134693,0.115315,-1.08528,0.259718,-1.16532,0.879931,0.153708,1.22018,0.233661,-0.533073,-0.45095,0.0332434,0.18784,-0.0676889,-0.0942946,1.0042,0.959261,1.00057,-0.21007,0.199943,1.16702,-0.168017,1.35808,-0.186815
-2353.16,0.856866,0.0275035,2,3,0,2859.07,1.82953,4.77594,-0.297862,0.315301,0.31642,0.0265309,0.21083,-0.749488,0.145626,-1.05542,0.69176,0.128652,0.981722,0.216227,-0.485879,-0.429538,-0.130846,0.149902,0.162219,-0.0852069,0.879707,0.96436,0.728389,0.0785302,0.116147,1.07629,-0.200921,1.0354,-0.275546
-1970.28,0.790111,0.024659,2,3,0,2362.41,1.85141,4.60648,-0.581458,0.366382,0.329661,0.00214667,0.356867,-0.487223,0.00999855,-1.08431,0.592686,0.02647,0.66077,0.140388,-0.415642,-0.385065,-0.150357,0.0738522,0.28211,-0.113591,0.734104,0.996493,0.549512,0.159973,0.0405988,0.998664,-0.182434,0.782678,-0.363527
-1561.04,0.800003,0.0180921,4,15,0,1923.85,1.75449,3.97374,-0.703517,0.306384,0.205618,-0.0012978,1.47866,-0.111435,0.000377746,-1.05789,-0.518197,0.0180087,0.153764,0.165012,0.377221,0.225345,-0.600551,0.0903551,0.58425,-0.464197,0.208324,0.766103,0.558051,0.312454,0.155655,0.11017,0.0912909,0.421241,0.204317
-1437.15,1,0.013811,2,3,0,1559.26,1.77759,3.74056,-0.725585,0.407664,0.158345,0.0105399,1.47255,-0.0265768,-0.0252244,-1.03639,-0.55677,-0.00198588,0.071632,0.188198,0.343698,0.229657,-0.523971,0.119083,0.688978,-0.498805,0.248773,0.779709,0.618274,0.288874,0.154769,0.0985158,0.0430592,0.518817,0.178181
