# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_3861cfa599ea5361df60261fa21872be_model
# start_datetime = 2025-10-07 22:57:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 3000
#     num_warmup = 6000
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpBD2CPc/standata-18d35796c7d.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /cloud/project/stan_output/model_3861cfa599ea5361df60261fa21872be-202510072257-2-2be30c.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /cloud/project/stan_output/model_3861cfa599ea5361df60261fa21872be-profile-202510072257-2-784ab8.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_3861cfa599ea5361df60261fa21872be_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_Zone,tau_Zone,beta_Wind,beta_Temp,beta_Year_2,beta_Year,beta_SB_count,a_Temp,a_SAV,a_SC,a_SB,a_DO,a_BreachDays,a_Goby.1,a_Goby.2,a_Goby.3,beta_Temp_2,beta_Micro,beta_Rain,beta_SC_count,beta_SAV,beta_SAV_2,beta_DO,beta_BreachDays,beta_BreachDays_2,beta_Substrate,beta_Goby_lag,tau,phi
-4046.96,1,0.015625,2,3,0,14824.3,1.95997,0.703733,0.815033,1.62349,0.873209,0.637895,2.15298,-1.05256,0.183701,-0.937382,-0.567214,-1.09916,1.19342,0.974457,1.3818,-0.118989,-0.502595,0.0104699,0.71609,1.64059,-0.5901,-1.49952,1.03594,-0.62441,0.338733,0.138645,-0.452138,4.42633,-0.506686
-4046.96,0,11.994,0,1,1,4059.8,1.95997,0.703733,0.815033,1.62349,0.873209,0.637895,2.15298,-1.05256,0.183701,-0.937382,-0.567214,-1.09916,1.19342,0.974457,1.3818,-0.118989,-0.502595,0.0104699,0.71609,1.64059,-0.5901,-1.49952,1.03594,-0.62441,0.338733,0.138645,-0.452138,4.42633,-0.506686
-4046.96,0,1.51735,0,1,1,4062.72,1.95997,0.703733,0.815033,1.62349,0.873209,0.637895,2.15298,-1.05256,0.183701,-0.937382,-0.567214,-1.09916,1.19342,0.974457,1.3818,-0.118989,-0.502595,0.0104699,0.71609,1.64059,-0.5901,-1.49952,1.03594,-0.62441,0.338733,0.138645,-0.452138,4.42633,-0.506686
-4046.96,0,0.107809,0,1,1,4060.94,1.95997,0.703733,0.815033,1.62349,0.873209,0.637895,2.15298,-1.05256,0.183701,-0.937382,-0.567214,-1.09916,1.19342,0.974457,1.3818,-0.118989,-0.502595,0.0104699,0.71609,1.64059,-0.5901,-1.49952,1.03594,-0.62441,0.338733,0.138645,-0.452138,4.42633,-0.506686
-4024.54,1,0.00594036,2,3,0,4055.82,1.96214,0.703058,0.813689,1.62542,0.87224,0.639174,2.1425,-1.06221,0.19113,-0.93709,-0.562678,-1.09589,1.18902,0.976618,1.3856,-0.123556,-0.497237,0.00250142,0.713759,1.64253,-0.594879,-1.49326,1.03623,-0.62485,0.343129,0.134064,-0.450004,4.33403,-0.509332
-3524.91,1,0.00579375,3,7,0,4038.77,1.91562,0.677348,0.785133,1.59862,0.810253,0.638328,2.14217,-1.07065,0.217866,-0.9371,-0.524418,-1.06667,1.20064,0.929884,1.34399,-0.173719,-0.616822,-0.0536294,0.691629,1.6263,-0.541995,-1.50877,1.0402,-0.590864,0.351379,0.126877,-0.458433,2.68709,-0.588075
-3234.74,0.907509,0.00643577,4,15,0,3539.47,1.85111,0.666613,0.667917,1.57289,0.707661,0.630492,2.11404,-1.06637,0.257152,-0.886566,-0.504111,-0.984905,1.10923,0.917692,1.35576,-0.159787,-0.61334,-0.00301417,0.748212,1.60865,-0.551319,-1.48682,1.01075,-0.57622,0.257785,0.108894,-0.431436,1.85244,-0.707731
-3074.17,0.999902,0.00583198,4,15,0,3251.8,1.8037,0.70745,0.525083,1.42352,0.620677,0.596772,2.04645,-0.958466,0.256447,-0.890976,-0.502983,-0.931307,1.04776,0.909865,1.32689,-0.187495,-0.714943,-0.00950972,0.781505,1.64168,-0.473581,-1.44464,0.921086,-0.57852,0.259539,0.114485,-0.354469,1.55755,-0.748393
-2963.71,0.863477,0.00742928,4,15,0,3088.6,1.7295,0.695289,0.42696,1.36891,0.571672,0.584198,2.01514,-0.87392,0.249569,-0.888204,-0.482481,-0.828011,0.942775,0.868392,1.29434,-0.199378,-0.736862,-0.0156054,0.772778,1.70449,-0.450454,-1.45808,0.904128,-0.499088,0.202535,0.0999451,-0.32195,1.46494,-0.784682
-2818.34,0.93246,0.00639329,3,7,0,2973.41,1.74396,0.725469,0.262487,1.29539,0.564504,0.568292,1.97868,-0.80587,0.219565,-0.855187,-0.472289,-0.746224,0.866103,0.825659,1.30862,-0.189855,-0.777582,-0.00432381,0.800913,1.67775,-0.428736,-1.4032,0.83425,-0.380665,0.194908,0.0747923,-0.281232,1.30653,-0.81713
-2661.88,0.88938,0.00701246,4,15,0,2832.39,1.71999,0.698991,0.135598,1.14508,0.544267,0.554086,1.90548,-0.674498,0.213982,-0.822683,-0.407517,-0.680067,0.792202,0.784682,1.29739,-0.253641,-0.787957,-0.0508494,0.771393,1.6716,-0.440203,-1.39673,0.740986,-0.281919,0.167512,0.0981847,-0.192892,1.21985,-0.835594
-2631.86,0.967311,0.00683724,3,7,0,2670.72,1.71461,0.703115,0.109404,1.12972,0.546822,0.56344,1.91191,-0.682264,0.207342,-0.828988,-0.393043,-0.655393,0.779162,0.79077,1.28164,-0.263673,-0.787737,-0.0531704,0.746767,1.66369,-0.448948,-1.39889,0.712677,-0.25183,0.153025,0.0961374,-0.188084,1.1849,-0.846288
-2532.58,0.857217,0.00863906,3,7,0,2643.44,1.67063,0.694976,0.0421424,1.06373,0.506642,0.530967,1.91842,-0.627832,0.21906,-0.794126,-0.38354,-0.617398,0.711536,0.79405,1.28148,-0.192929,-0.810407,-0.00710151,0.742218,1.65993,-0.400032,-1.39142,0.678915,-0.195953,0.14947,0.107104,-0.222868,1.09052,-0.828996
-2304.58,0.920254,0.00779388,3,7,0,2548.33,1.58091,0.706098,-0.122866,0.865554,0.471164,0.539861,1.81609,-0.487786,0.141157,-0.812074,-0.337666,-0.520573,0.601433,0.822038,1.3359,-0.179635,-0.799447,0.00556797,0.675467,1.5919,-0.31355,-1.39379,0.592007,-0.110511,0.113267,0.0503045,-0.191772,0.951433,-0.761966
