# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_3861cfa599ea5361df60261fa21872be_model
# start_datetime = 2025-10-07 23:08:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 3000
#     num_warmup = 6000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpBD2CPc/standata-18d533b30dc.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /cloud/project/stan_output/model_3861cfa599ea5361df60261fa21872be-202510072308-1-3e6936.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /cloud/project/stan_output/model_3861cfa599ea5361df60261fa21872be-profile-202510072308-1-86be6b.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_3861cfa599ea5361df60261fa21872be_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_Zone,tau_Zone,beta_Wind,beta_Temp,beta_Year_2,beta_Year,beta_SB_count,a_Temp,a_SAV,a_SC,a_SB,a_DO,a_BreachDays,a_Goby.1,a_Goby.2,a_Goby.3,beta_Temp_2,beta_Micro,beta_Rain,beta_SC_count,beta_SAV,beta_SAV_2,beta_DO,beta_BreachDays,beta_BreachDays_2,beta_Substrate,beta_Goby_lag,tau,phi
# Adaptation terminated
# Step size = 0.13462
# Diagonal elements of inverse mass matrix:
# 0.0534853, 0.835425, 0.000481437, 0.000765937, 0.00330153, 0.00241907, 0.00810076, 0.00082648, 0.000817209, 0.0160646, 0.0141494, 0.000772334, 0.000826581, 0.0159127, 0.0126401, 0.013705, 0.00195641, 0.00213246, 0.000794085, 0.0094605, 0.00373414, 0.0623575, 0.00123685, 0.000606776, 0.00179209, 0.00667568, 0.0022317, 0.000394567, 0.00964243
-1359.76,0.542649,0.13462,5,31,0,1377.48,0.934038,0.0706924,-0.686203,0.388619,-0.0261547,0.0638365,0.900313,0.0328995,0.0118938,-0.554598,-0.258677,0.0118026,-0.025456,1.06117,0.896827,0.918157,-0.511915,0.116127,0.694342,-0.659626,0.414854,-0.0783843,0.569799,0.327968,-0.0279326,0.00208631,-0.0976413,0.52498,0.607361
-1365.95,0.949676,0.13462,5,31,0,1376.1,0.825155,0.261233,-0.660073,0.415127,0.10288,0.0810195,0.844935,0.0169011,-0.0194472,-0.696407,-0.155966,-0.0497932,0.0163113,0.995898,0.857498,0.769324,-0.471834,0.111502,0.732157,-0.710286,0.400704,0.139391,0.555304,0.349274,0.00278661,0.0343598,0.00271823,0.524563,0.736994
-1373.28,0.963124,0.13462,5,31,0,1385.13,1.1314,0.453663,-0.60268,0.444143,-0.091881,-0.0710063,0.855584,-0.0440725,-0.000111407,-0.689837,-0.41594,0.0527099,-0.00998055,1.01926,0.93672,0.946203,-0.45186,0.164824,0.719095,-0.594672,0.609364,-0.133336,0.476703,0.242685,-0.0821303,0.138487,-0.0827593,0.506222,0.507268
-1374.82,0.990202,0.13462,5,31,0,1384.64,0.653795,0.215172,-0.685937,0.403097,-0.0309085,0.0769428,0.813719,0.048345,0.0100541,-0.606997,-0.122223,-0.0573484,0.0251501,0.995015,0.826543,0.821737,-0.507966,0.0988099,0.736275,-0.708626,0.312327,0.00335178,0.542329,0.384855,0.00639958,0.0881968,0.029966,0.523624,0.809703
-1363.56,0.983807,0.13462,5,31,0,1383.5,0.788926,0.09678,-0.655753,0.434152,0.000382853,-0.0362657,0.840923,-0.0460392,-0.0186614,-0.669905,-0.427542,0.0345002,-0.00461354,0.891329,0.754861,0.816341,-0.535803,0.121667,0.732518,-0.678666,0.57416,-0.115588,0.482272,0.25201,-0.00481587,0.0538255,-0.0376409,0.507537,0.49391
-1363.74,0.942293,0.13462,5,31,0,1378.34,0.852466,0.0717374,-0.622358,0.492089,-0.0525862,0.0240063,0.953539,0.0524515,-0.00484162,-0.669057,-0.244947,-0.0257476,0.0114982,1.00466,0.794659,0.819845,-0.464252,0.129209,0.675195,-0.659946,0.449155,-0.116277,0.458859,0.346549,-0.0343798,0.181878,-0.0968866,0.524043,0.854682
-1365.86,0.971548,0.13462,5,31,0,1377.22,0.896275,0.0729987,-0.626507,0.47292,-0.0990007,-0.0303345,1.00431,0.0546753,0.0180113,-0.676601,-0.322274,-0.0440755,-0.0164215,0.866978,0.929824,0.951268,-0.530118,0.106188,0.745713,-0.765668,0.510477,0.0830309,0.47468,0.332782,-0.0539594,0.129356,-0.143241,0.527476,0.726854
