# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_3861cfa599ea5361df60261fa21872be_model
# start_datetime = 2025-10-07 23:08:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 3000
#     num_warmup = 6000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpBD2CPc/standata-18d533b30dc.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /cloud/project/stan_output/model_3861cfa599ea5361df60261fa21872be-202510072308-2-3e6936.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /cloud/project/stan_output/model_3861cfa599ea5361df60261fa21872be-profile-202510072308-2-86be6b.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_3861cfa599ea5361df60261fa21872be_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_Zone,tau_Zone,beta_Wind,beta_Temp,beta_Year_2,beta_Year,beta_SB_count,a_Temp,a_SAV,a_SC,a_SB,a_DO,a_BreachDays,a_Goby.1,a_Goby.2,a_Goby.3,beta_Temp_2,beta_Micro,beta_Rain,beta_SC_count,beta_SAV,beta_SAV_2,beta_DO,beta_BreachDays,beta_BreachDays_2,beta_Substrate,beta_Goby_lag,tau,phi
# Adaptation terminated
# Step size = 0.127446
# Diagonal elements of inverse mass matrix:
# 0.0638656, 0.95407, 0.000496506, 0.000727876, 0.00317807, 0.00235545, 0.00857468, 0.000815002, 0.000832547, 0.0164352, 0.0140121, 0.000871452, 0.000849335, 0.0172122, 0.013669, 0.0153496, 0.00206605, 0.00221587, 0.000832315, 0.00973143, 0.00386848, 0.0588231, 0.00115475, 0.000597335, 0.00174152, 0.0070881, 0.00216152, 0.000408944, 0.00979377
-1365.33,0.983007,0.127446,5,31,0,1384.36,0.855353,0.0517404,-0.631709,0.438235,0.0428235,-0.109719,0.931048,0.0329811,0.0121497,-0.680587,-0.261327,-0.047946,0.0464303,0.89564,0.808593,0.899166,-0.451304,0.138732,0.691553,-0.552961,0.452359,-0.351993,0.477833,0.288014,-0.066067,0.0866342,-0.114065,0.505508,0.685814
-1365.76,0.572714,0.127446,2,7,1,1388.18,0.860503,0.0704702,-0.628499,0.444998,0.0390438,-0.102384,0.943809,0.0342108,0.0118807,-0.671013,-0.27148,-0.0418179,0.0486004,0.925207,0.800311,0.904225,-0.451273,0.132852,0.69077,-0.580794,0.441937,-0.372154,0.481078,0.28382,-0.0760119,0.094277,-0.127198,0.504426,0.7101
-1369.48,0.981206,0.127446,5,31,0,1378.87,0.860576,0.0660375,-0.671217,0.416977,-0.0611036,0.100692,0.89297,-0.036014,-0.0126216,-0.689366,-0.280368,0.0448077,-0.0499155,0.834674,0.816077,0.90955,-0.508072,0.148993,0.76606,-0.781863,0.392926,0.193012,0.500379,0.333967,0.0251515,0.236409,0.03021,0.522341,0.540842
-1365.42,0.997871,0.127446,5,31,0,1379.38,0.962271,0.184243,-0.63834,0.455574,-0.0266872,0.00527541,0.760792,0.0436239,0.00232465,-0.585031,-0.292777,-0.0431771,0.0588573,1.09266,0.977826,0.937855,-0.479041,0.171809,0.701943,-0.527419,0.44138,-0.210312,0.46629,0.294118,-0.128884,0.026676,-0.104344,0.50114,0.624459
-1365.29,0.989107,0.127446,5,31,0,1381.66,0.923053,0.0973522,-0.630584,0.449456,-0.116848,-0.0284269,0.884965,0.0067599,-0.0600109,-0.50109,-0.306724,0.00987716,-0.0135248,0.910362,0.894713,1.01861,-0.475656,0.0692431,0.780223,-0.608927,0.451473,-0.348705,0.524327,0.260362,-0.0375399,0.0545421,0.0144084,0.52619,0.653913
-1364.84,0.999974,0.127446,5,31,0,1376.32,1.07815,0.166931,-0.660221,0.443613,-0.0612511,0.0198247,0.689148,0.0152698,0.0634222,-0.692354,-0.0605031,-0.0261152,-0.0315429,1.28054,0.984503,0.978806,-0.463359,0.179629,0.734684,-0.793966,0.436208,-0.177226,0.48323,0.303719,-0.0574283,0.105592,-0.0596503,0.508599,0.863182
