# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_3861cfa599ea5361df60261fa21872be_model
# start_datetime = 2025-10-07 23:50:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 8000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpBD2CPc/standata-18d299c1cd2.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /cloud/project/stan_output/model_3861cfa599ea5361df60261fa21872be-202510072350-1-8f828d.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /cloud/project/stan_output/model_3861cfa599ea5361df60261fa21872be-profile-202510072350-1-06f519.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_3861cfa599ea5361df60261fa21872be_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_Zone,tau_Zone,beta_Wind,beta_Temp,beta_Year_2,beta_Year,beta_SB_count,a_Temp,a_SAV,a_SC,a_SB,a_DO,a_BreachDays,a_Goby.1,a_Goby.2,a_Goby.3,beta_Temp_2,beta_Micro,beta_Rain,beta_SC_count,beta_SAV,beta_SAV_2,beta_DO,beta_BreachDays,beta_BreachDays_2,beta_Substrate,beta_Goby_lag,tau,phi
# Adaptation terminated
# Step size = 0.148458
# Diagonal elements of inverse mass matrix:
# 0.0518995, 0.960209, 0.00048441, 0.000773467, 0.00324972, 0.0023181, 0.00790274, 0.000801326, 0.00084895, 0.0156222, 0.014511, 0.000840887, 0.000814938, 0.0165174, 0.0127025, 0.0139736, 0.00194181, 0.00235255, 0.000847675, 0.00968799, 0.00365455, 0.0606358, 0.00125256, 0.000633761, 0.00177215, 0.00657883, 0.00223841, 0.000418744, 0.00967737
-1362.83,0.792453,0.148458,4,31,0,1379.47,0.979397,0.0439988,-0.675124,0.468534,-0.0783293,0.00792991,0.99464,-0.0492755,0.00191322,-0.71631,-0.294601,-0.000763422,-0.0378424,0.938147,0.933369,0.958344,-0.507972,0.100046,0.708464,-0.635359,0.371072,-0.0175342,0.499151,0.355257,-0.00622635,0.027914,-0.126939,0.511078,0.763426
-1369.16,0.739052,0.148458,5,31,0,1387.72,1.00127,0.408422,-0.644276,0.411941,-0.0682445,0.0813375,0.706528,0.00968938,0.0045202,-0.573793,-0.219988,0.0397509,-0.0122308,1.12739,0.874012,0.711487,-0.466345,0.147542,0.71326,-0.579299,0.442182,-0.0183267,0.560662,0.2756,-0.00719763,0.156755,-0.0108988,0.499777,0.476718
-1366.18,0.990765,0.148458,5,31,0,1383.69,1.11903,0.404617,-0.633667,0.469763,-0.0331323,-0.0121032,0.948961,-0.0627523,-0.0206571,-0.664762,-0.287203,-0.0386452,9.90955e-05,1.09895,0.881937,0.764805,-0.526007,0.0749394,0.754032,-0.638892,0.494788,-0.435361,0.504788,0.314468,-0.053384,0.070335,-0.0901031,0.532074,0.657601
-1367.91,0.992429,0.148458,5,31,0,1378.35,0.50983,1.33338,-0.676845,0.411164,0.0386049,0.0555732,0.768565,0.0614256,0.0167051,-0.56879,-0.191322,0.0188806,-0.00716483,0.909601,0.846398,0.894099,-0.488121,0.138932,0.720398,-0.565564,0.485912,0.286367,0.507,0.304958,-0.0225905,0.0643795,0.0243422,0.497454,0.652008
-1364.06,0.996182,0.148458,5,31,0,1379.77,0.629693,0.41983,-0.654406,0.472668,-0.0238143,0.0270283,0.810657,0.000722208,0.00777332,-0.880063,-0.38587,-0.0195369,0.0603824,1.16756,0.786289,0.822239,-0.478157,0.198709,0.69585,-0.798554,0.496727,-0.163807,0.478038,0.321312,-0.0355965,0.141428,-0.00205209,0.51437,0.713872
-1362.6,0.990108,0.148458,5,31,0,1372.54,0.617909,0.393614,-0.627795,0.431241,-0.0547982,0.00306597,0.822497,0.0357136,-0.0222666,-0.837402,-0.255067,0.0316591,0.0162893,0.886401,0.912071,0.928867,-0.502825,0.068561,0.716717,-0.691415,0.532281,-0.0465807,0.500339,0.340322,-0.0222912,0.197822,-0.0800491,0.513147,0.64988
