# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_3861cfa599ea5361df60261fa21872be_model
# start_datetime = 2025-10-07 23:50:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 8000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpBD2CPc/standata-18d299c1cd2.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /cloud/project/stan_output/model_3861cfa599ea5361df60261fa21872be-202510072350-2-8f828d.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /cloud/project/stan_output/model_3861cfa599ea5361df60261fa21872be-profile-202510072350-2-06f519.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_3861cfa599ea5361df60261fa21872be_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_Zone,tau_Zone,beta_Wind,beta_Temp,beta_Year_2,beta_Year,beta_SB_count,a_Temp,a_SAV,a_SC,a_SB,a_DO,a_BreachDays,a_Goby.1,a_Goby.2,a_Goby.3,beta_Temp_2,beta_Micro,beta_Rain,beta_SC_count,beta_SAV,beta_SAV_2,beta_DO,beta_BreachDays,beta_BreachDays_2,beta_Substrate,beta_Goby_lag,tau,phi
# Adaptation terminated
# Step size = 0.0782362
# Diagonal elements of inverse mass matrix:
# 0.065324, 1.03933, 0.000496155, 0.000782214, 0.0031573, 0.00246544, 0.00809177, 0.000861662, 0.000828011, 0.0176454, 0.0140585, 0.00085641, 0.000857806, 0.0162875, 0.012531, 0.0138439, 0.00193638, 0.00221584, 0.000854861, 0.00999191, 0.00349734, 0.0624116, 0.00122673, 0.00065707, 0.00174092, 0.00659045, 0.00204448, 0.000402495, 0.0100484
-1359.16,0.999331,0.0782362,6,63,0,1372.55,0.913336,0.157367,-0.671026,0.451775,-0.0482905,-0.022655,0.77062,0.0371496,-0.0182331,-0.488578,-0.261445,-0.0143392,-0.00228635,1.18229,0.868529,0.904995,-0.47967,0.151798,0.714748,-0.63804,0.477044,-0.104251,0.513977,0.279565,-0.0576749,0.0321929,-0.0298422,0.508431,0.566635
-1356.07,0.964922,0.0782362,6,63,0,1365.28,0.825393,0.0511094,-0.643348,0.472435,-0.0675022,0.0239493,0.965772,-0.0387208,0.0244667,-0.837464,-0.262873,-0.000941411,0.00488841,0.901011,0.807906,0.768676,-0.488583,0.116131,0.742132,-0.661651,0.475489,-0.10416,0.489659,0.317026,0.00954444,0.138378,-0.0712857,0.514457,0.751843
-1359.96,0.94269,0.0782362,5,59,1,1368.91,0.785844,0.0295008,-0.649647,0.485317,0.0142882,0.0152386,1.05279,-0.0171506,0.0145701,-0.678573,-0.370346,0.0194724,0.0251673,0.829716,0.769524,0.77418,-0.568588,0.0838903,0.763927,-0.592548,0.460792,0.00716603,0.449053,0.333351,-0.0627182,0.152922,-0.0396334,0.516058,0.696081
-1365.16,0.843254,0.0782362,5,31,0,1372.41,0.701629,0.0260546,-0.639348,0.474997,0.0381845,-0.0492179,0.929566,-0.0577673,0.00905999,-0.688033,-0.341382,-0.00531276,0.0199916,0.718559,0.659939,0.681483,-0.541151,0.0372335,0.743305,-0.372356,0.550553,0.128477,0.4613,0.313887,-0.0391089,0.170042,-0.0327625,0.506509,0.723995
-1365.47,0.997682,0.0782362,5,31,0,1379.84,0.78152,0.0905347,-0.627304,0.47265,-0.00377432,0.0226902,0.875808,-0.0389156,0.053967,-0.60262,-0.479323,0.0145011,-0.00733248,0.843867,0.735833,0.731047,-0.459342,0.0399909,0.756538,-0.435447,0.44365,0.170343,0.43898,0.333047,-0.0153454,0.121242,-0.047249,0.509766,0.742457
-1367.3,0.985891,0.0782362,6,63,0,1377.21,1.00901,0.269362,-0.683204,0.380431,-0.0763946,-0.0269695,0.916472,0.0410765,-0.0511248,-0.719497,-0.07919,-0.0175855,0.0103405,1.14278,1.07764,0.993352,-0.488858,0.176736,0.70346,-0.882969,0.49213,-0.387103,0.565345,0.280642,-0.053392,0.0733552,-0.0208232,0.516921,0.613504
