# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_3861cfa599ea5361df60261fa21872be_model
# start_datetime = 2025-10-08 22:39:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmplnBe2g/standata-18ec38f31b.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /cloud/project/stan_output/model_3861cfa599ea5361df60261fa21872be-202510082239-2-36a73c.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /cloud/project/stan_output/model_3861cfa599ea5361df60261fa21872be-profile-202510082239-2-4a6316.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_3861cfa599ea5361df60261fa21872be_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_Zone,tau_Zone,beta_Wind,beta_Temp,beta_Year_2,beta_Year,beta_SB_count,a_Temp,a_SAV,a_SC,a_SB,a_DO,a_BreachDays,a_Goby.1,a_Goby.2,a_Goby.3,beta_Temp_2,beta_Micro,beta_Rain,beta_SC_count,beta_SAV,beta_SAV_2,beta_DO,beta_BreachDays,beta_BreachDays_2,beta_Substrate,beta_Goby_lag,tau,phi
-6652.42,1,0.0078125,1,1,0,14835.3,1.94872,0.6943,1.21377,0.884546,0.327818,0.584436,2.04856,-1.06094,0.194325,-0.936981,-0.578663,-1.09469,1.22671,0.861616,1.29182,-0.1218,-1.77567,0.135064,0.725844,1.43847,-1.2267,-1.52376,0.264122,-0.927623,-0.184234,0.330164,-0.226696,4.91853,-0.264007
-6652.42,0,14.3855,0,1,1,6667.54,1.94872,0.6943,1.21377,0.884546,0.327818,0.584436,2.04856,-1.06094,0.194325,-0.936981,-0.578663,-1.09469,1.22671,0.861616,1.29182,-0.1218,-1.77567,0.135064,0.725844,1.43847,-1.2267,-1.52376,0.264122,-0.927623,-0.184234,0.330164,-0.226696,4.91853,-0.264007
-6652.42,0,2.43117,0,1,1,6665.87,1.94872,0.6943,1.21377,0.884546,0.327818,0.584436,2.04856,-1.06094,0.194325,-0.936981,-0.578663,-1.09469,1.22671,0.861616,1.29182,-0.1218,-1.77567,0.135064,0.725844,1.43847,-1.2267,-1.52376,0.264122,-0.927623,-0.184234,0.330164,-0.226696,4.91853,-0.264007
-6652.42,0,0.239791,0,1,1,6664,1.94872,0.6943,1.21377,0.884546,0.327818,0.584436,2.04856,-1.06094,0.194325,-0.936981,-0.578663,-1.09469,1.22671,0.861616,1.29182,-0.1218,-1.77567,0.135064,0.725844,1.43847,-1.2267,-1.52376,0.264122,-0.927623,-0.184234,0.330164,-0.226696,4.91853,-0.264007
-4831.4,1,0.0186273,2,3,0,6278.11,1.94084,0.700057,0.878033,0.847225,0.165973,0.439092,2.25098,-1.06294,0.191772,-0.929381,-0.535108,-1.10382,1.24177,0.91369,1.36294,0.0455566,-1.76591,0.220967,0.711389,1.46422,-1.04419,-1.55823,0.228174,-0.771639,-0.0230845,0.699094,0.179233,4.08308,-0.548487
-3869.05,0.714286,0.0257257,3,7,0,4592.25,1.93863,0.676533,0.587801,0.898494,-0.0510373,0.333338,2.21905,-1.00984,0.0969967,-0.994049,-0.448131,-1.0186,1.12767,0.936965,1.34312,0.0733614,-1.56898,0.300774,0.714668,1.46294,-0.772591,-1.51433,0.247179,-0.714234,0.0158562,0.753068,0.40541,1.13521,-1.10028
-3735.73,1,0.016847,2,3,0,3856.16,1.93332,0.663278,0.545906,0.865519,-0.0929572,0.322926,2.20619,-0.963581,0.0846283,-0.994099,-0.448355,-0.962866,1.06595,0.934588,1.35968,0.0562303,-1.53652,0.282601,0.688696,1.44158,-0.755925,-1.52689,0.250743,-0.680192,0.00604579,0.733406,0.40409,1.27783,-1.10648
-3091.2,1,0.028241,3,7,0,3715.26,1.85168,0.750366,0.149827,0.350272,-0.170788,0.144374,1.81782,-0.342218,0.11883,-0.928237,0.0474667,-0.366711,0.524169,0.899356,1.24118,0.0830641,-1.46269,0.274403,0.579402,1.14964,-0.189484,-1.45653,0.156433,-0.289469,0.102675,0.565888,0.486795,1.00191,-1.19158
-3009.04,0.666667,0.0500314,2,3,0,3097.34,1.82069,0.762952,0.0479349,0.248616,-0.122592,0.173022,1.80891,-0.213321,0.0809914,-0.919789,0.181431,-0.371303,0.366662,0.917377,1.15858,0.107956,-1.27996,0.261899,0.56914,1.07936,-0.107797,-1.40368,0.214243,-0.179651,0.083809,0.555026,0.539217,0.933532,-1.26177
-2984.73,0.975215,0.0320078,2,3,0,3016.57,1.76288,0.746795,0.0303223,0.244493,-0.171619,0.148731,1.77073,-0.226898,0.120702,-0.96072,0.196568,-0.298269,0.324382,0.910422,1.16296,0.101612,-1.23741,0.236282,0.586318,1.08364,-0.12082,-1.40022,0.201993,-0.144876,0.0368891,0.535344,0.551093,0.928276,-1.26423
-2984.73,0.00509014,0.055262,2,3,0,2998.72,1.76288,0.746795,0.0303223,0.244493,-0.171619,0.148731,1.77073,-0.226898,0.120702,-0.96072,0.196568,-0.298269,0.324382,0.910422,1.16296,0.101612,-1.23741,0.236282,0.586318,1.08364,-0.12082,-1.40022,0.201993,-0.144876,0.0368891,0.535344,0.551093,0.928276,-1.26423
-2901.71,0.999858,0.00451366,5,31,0,3002.19,1.7316,0.729542,0.000960035,0.176826,-0.25468,0.135654,1.67105,-0.192977,0.0854512,-0.950734,0.45817,-0.195473,0.140875,0.823383,1.07713,0.202827,-1.06544,0.173969,0.517116,0.97346,-0.00625841,-1.35006,0.109644,-0.0305732,-0.134813,0.512481,0.540171,0.956583,-1.23028
-2897.18,0.99965,0.0086684,5,31,0,2914.08,1.73457,0.693512,0.0349219,0.233009,-0.242364,0.122517,1.65665,-0.162551,0.0960828,-0.9706,0.480509,-0.197758,0.105552,0.812473,1.08655,0.221825,-1.0498,0.162067,0.468702,0.974768,-0.0433754,-1.34232,0.0962177,-0.0290953,-0.135336,0.509583,0.527484,0.921661,-1.24083
-2857.52,0.99905,0.0167234,3,7,0,2909.62,1.7389,0.694238,0.0455231,0.256175,-0.2097,0.0991501,1.67586,-0.147949,0.00737693,-1.06398,0.647511,-0.00891024,0.097555,0.744447,1.10843,0.343069,-0.942174,0.191542,0.575288,0.916743,-0.061578,-1.31023,0.043434,0.0136635,-0.150487,0.465112,0.537663,0.914902,-1.20282
-2758.75,0.692128,0.0322191,3,7,0,2870.41,1.52812,0.70492,-0.0811255,0.188543,-0.316574,0.0995346,1.31349,-0.0507005,0.00373684,-0.919018,1.22304,0.104947,0.0534438,0.710648,0.876416,0.745471,-0.440926,0.107025,0.664171,0.513965,0.105501,-1.16942,0.0915715,0.0735,-0.1932,0.457267,0.20152,0.938304,-0.880792
