# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_3861cfa599ea5361df60261fa21872be_model
# start_datetime = 2025-10-14 00:24:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 8000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/Rtmp6CO5Lh/standata-18e531b433d.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /cloud/project/stan_output/model_3861cfa599ea5361df60261fa21872be-202510140024-1-894ef7.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /cloud/project/stan_output/model_3861cfa599ea5361df60261fa21872be-profile-202510140024-1-258e5b.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_3861cfa599ea5361df60261fa21872be_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_Zone,tau_Zone,beta_Wind,beta_Temp,beta_Year_2,beta_Year,beta_SB_count,a_Temp,a_SAV,a_SC,a_SB,a_DO,a_BreachDays,a_Goby.1,a_Goby.2,a_Goby.3,beta_Temp_2,beta_Micro,beta_Rain,beta_SC_count,beta_SAV,beta_SAV_2,beta_DO,beta_BreachDays,beta_BreachDays_2,beta_Substrate,beta_Goby_lag,tau,phi
# Adaptation terminated
# Step size = 0.234123
# Diagonal elements of inverse mass matrix:
# 0.346447, 0.272852, 0.000612807, 0.000754122, 0.00364688, 0.00308869, 0.0119715, 0.00114416, 0.00120427, 0.015204, 0.013969, 0.00117351, 0.00119588, 0.0165411, 0.0173177, 0.0150356, 0.00198476, 0.0025275, 0.00109232, 0.0109048, 0.00380186, 0.0658853, 0.00131186, 0.000822691, 0.00198027, 0.00786124, 0.00265617, 0.000399493, 0.00725613
-1825.46,0.977195,0.234123,4,15,0,1843.53,1.1994,0.842449,-0.522746,0.329746,-0.0763897,0.222675,0.358753,0.0110143,0.003514,-0.585297,-0.0343198,-0.032396,-0.0258092,2.28617,2.37961,2.05808,-0.571345,0.2091,0.708151,-0.508163,0.200376,0.0652542,0.508249,0.394513,-0.0578998,-0.148007,0.0418746,0.63193,0.231123
-1831.88,0.935423,0.234123,4,15,0,1841.83,0.176159,3.69962,-0.517687,0.414406,-0.0495014,0.130513,0.315293,0.0561005,-0.0133455,-0.299315,-0.104929,-0.00722587,0.0302891,1.93256,2.5399,1.76559,-0.488292,0.132978,0.65988,-0.291174,0.0774786,-0.502575,0.556439,0.389986,-0.0895938,-0.205324,0.0355319,0.565968,0.373637
-1834.84,0.98987,0.234123,4,15,0,1848.77,1.09783,1.89373,-0.558117,0.380477,-0.113894,0.216979,0.429339,-0.0849677,0.00637962,-0.541424,-0.134081,0.00453786,-0.017176,2.39546,2.41698,2.05631,-0.602824,0.256452,0.735804,-0.574508,0.306155,0.275151,0.509099,0.417619,0.0278773,-0.330244,0.0443493,0.626108,0.273551
-1826.08,1,0.234123,4,15,0,1845.06,-0.407792,1.82181,-0.512885,0.374033,-0.117817,0.160844,0.310812,-0.0352298,0.0754004,-0.390547,-0.244362,-0.00058641,-0.0393427,2.26957,2.77836,1.90801,-0.588056,0.223859,0.686932,-0.588308,0.138484,-0.281931,0.495827,0.384123,-0.0212097,-0.321641,0.0577749,0.621253,0.337946
-1823.9,0.991965,0.234123,4,15,0,1837.41,-0.51107,3.80357,-0.539652,0.392097,-0.173101,0.132291,0.365461,0.0159332,0.0210798,-0.496807,-0.217905,-0.0263479,-0.0332282,2.38005,2.60812,2.0887,-0.600711,0.24951,0.66896,-0.337676,0.122188,0.0245488,0.529598,0.361113,-0.028674,-0.318498,0.0221125,0.596352,0.41951
-1823.87,0.993955,0.234123,4,15,0,1837.79,1.28017,1.24029,-0.516366,0.350492,-0.0973255,0.137133,0.259145,-0.0641119,-0.0152119,-0.425672,0.0737923,-0.0296122,-0.0512245,2.35307,2.72511,2.18951,-0.546531,0.136742,0.679927,-0.53355,0.118862,-0.214122,0.524576,0.396406,-0.115083,-0.384778,-0.00936914,0.589336,0.452387
-1832.93,0.914363,0.234123,4,15,0,1844.66,1.34515,1.29087,-0.523067,0.409609,-0.0382831,0.135442,0.213633,-0.105489,0.00398396,-0.482477,-0.13563,-0.0437355,-0.0825653,2.29341,2.74144,2.29429,-0.594378,0.0718947,0.653061,-0.66403,0.190993,-0.157344,0.480302,0.380014,-0.116123,-0.254878,-0.00159689,0.592164,0.447094
-1833.04,1,0.234123,4,15,0,1843.62,0.506098,2.05365,-0.501398,0.35219,-0.126059,0.189218,0.421416,0.105117,0.00174294,-0.356309,-0.0975639,0.041728,0.0833502,2.08462,2.2462,1.6082,-0.496979,0.282364,0.729274,-0.201835,0.0844575,-0.0453848,0.509838,0.414561,-0.00036919,-0.174397,0.0778239,0.610145,0.176029
-1821.05,0.9664,0.234123,4,15,0,1846.14,-0.0822806,1.65853,-0.559207,0.357536,0.0300679,0.10844,0.36822,-0.00337027,-0.0403475,-0.51484,-0.0462869,-0.0095352,0.00957082,2.04382,2.3005,1.76166,-0.547412,0.193841,0.718829,-0.364468,0.216875,-0.267974,0.497643,0.417754,-0.0719268,-0.288138,0.0417885,0.601219,0.226976
-1824.79,0.986912,0.234123,4,15,0,1834.68,1.24299,1.07814,-0.46654,0.423212,-0.159875,0.239852,0.384764,0.0128678,0.0326703,-0.355522,-0.0836106,0.0355157,0.014706,2.1087,2.35371,1.75562,-0.567872,0.206315,0.65892,-0.318883,0.0540013,0.00815961,0.50776,0.363045,0.0322536,-0.137257,0.0503292,0.593978,0.38212
-1822.18,0.945724,0.234123,4,15,0,1838.7,0.766683,0.849639,-0.484278,0.386829,-0.0677029,0.156504,0.380881,-0.0382897,-0.0315065,-0.44854,-0.147705,0.00384912,0.027368,2.12812,2.30036,1.74272,-0.537992,0.203106,0.692983,-0.430879,0.0246907,-0.0314278,0.53047,0.368912,0.0333575,-0.193479,0.0761679,0.614068,0.264094
-1821.73,0.93014,0.234123,4,15,0,1843.45,0.805495,1.41114,-0.533135,0.391212,-0.0864648,0.111178,0.275326,0.0562923,0.0360072,-0.525742,-0.108576,0.0194092,-0.00455516,2.04303,2.5607,1.93905,-0.510635,0.128594,0.645309,-0.478783,0.234672,-0.408517,0.44245,0.447271,-0.0960083,-0.180951,0.0178306,0.590181,0.335631
-1822.22,0.933391,0.234123,4,15,0,1833.94,1.27479,1.71166,-0.51845,0.412067,-0.087131,0.122891,0.308012,0.00302311,-0.00885038,-0.531344,0.0101564,0.0613903,-0.0303779,2.2031,2.5002,2.00903,-0.536691,0.160204,0.644874,-0.488604,0.184617,-0.470005,0.479708,0.404536,-0.150224,-0.129311,0.0675734,0.587487,0.344994
-1826.56,0.970449,0.234123,4,15,0,1834.44,0.235904,1.03338,-0.510302,0.392116,-0.155249,0.208422,0.26442,-0.0258412,0.0221895,-0.495405,-0.271139,-0.0382621,0.0514238,2.16006,2.46162,1.84934,-0.585803,0.252881,0.759383,-0.242352,0.166852,0.201828,0.51402,0.375107,0.0225043,-0.235476,0.0237235,0.618963,0.33322
-1828.24,0.938766,0.234123,4,15,0,1840.23,1.21394,2.74247,-0.522027,0.378439,-0.0534618,0.224737,0.31003,-0.0128573,-0.0156232,-0.486573,-0.00509373,-0.0170576,0.000221546,2.13867,2.37493,1.83549,-0.562994,0.336752,0.762728,-0.181703,0.124421,-0.217115,0.487937,0.374042,-0.0762428,-0.140192,0.0797913,0.614995,0.281751
-1821.43,0.996997,0.234123,4,15,0,1838.97,-0.656923,2.17305,-0.523939,0.375902,-0.0681143,0.169736,0.322252,-0.0223825,0.000588018,-0.409352,-0.0779653,-0.0235526,0.00116284,2.1408,2.53834,1.91418,-0.553361,0.175656,0.677841,-0.544644,0.213994,-0.243499,0.566233,0.391083,0.00018489,-0.250529,0.0241917,0.582166,0.161553
-1827.4,0.905524,0.234123,4,15,0,1838,1.13739,1.96603,-0.511297,0.371458,-0.0456792,0.242901,0.396866,-0.00519237,-0.0128683,-0.395404,0.104646,0.0231335,0.0245386,2.27347,2.57888,2.08972,-0.536497,0.182143,0.733514,-0.476739,0.114023,0.277747,0.495075,0.395111,-0.142347,-0.209228,0.116743,0.620263,0.368569
-1829.38,0.993741,0.234123,4,15,0,1846.77,0.740699,1.08431,-0.516211,0.37492,0.0301691,0.169095,0.135924,0.0356094,-0.0761601,-0.344986,0.00367537,-0.0728433,0.00265034,2.09461,2.60365,1.76285,-0.593067,0.128758,0.661267,-0.475568,0.270731,0.0377101,0.536953,0.392365,-0.0435115,-0.266868,0.0900346,0.58865,0.314086
-1827.46,0.915373,0.234123,4,15,0,1843.19,0.461801,1.96632,-0.517921,0.407118,-0.102363,0.176128,0.469307,-0.026372,0.0765016,-0.512969,-0.257883,0.0723365,-0.00666648,2.1441,2.32955,2.04272,-0.492148,0.182907,0.703423,-0.360793,0.110731,-0.224907,0.445803,0.395365,-0.067476,-0.20578,2.82896e-05,0.619455,0.226836
-1825.08,0.99973,0.234123,4,15,0,1841.92,-0.18216,1.98339,-0.526296,0.397509,-0.129338,0.18198,0.442641,0.00679824,0.0740782,-0.330824,-0.275776,0.0766094,-0.0176013,2.05129,2.2947,1.92894,-0.530271,0.139949,0.708887,-0.303842,0.140467,-0.0298736,0.435239,0.422662,-0.0234979,-0.301939,0.0366698,0.606899,0.313974
