# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_3861cfa599ea5361df60261fa21872be_model
# start_datetime = 2025-10-14 00:24:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 8000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/Rtmp6CO5Lh/standata-18e531b433d.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /cloud/project/stan_output/model_3861cfa599ea5361df60261fa21872be-202510140024-2-894ef7.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /cloud/project/stan_output/model_3861cfa599ea5361df60261fa21872be-profile-202510140024-2-258e5b.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_3861cfa599ea5361df60261fa21872be_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_Zone,tau_Zone,beta_Wind,beta_Temp,beta_Year_2,beta_Year,beta_SB_count,a_Temp,a_SAV,a_SC,a_SB,a_DO,a_BreachDays,a_Goby.1,a_Goby.2,a_Goby.3,beta_Temp_2,beta_Micro,beta_Rain,beta_SC_count,beta_SAV,beta_SAV_2,beta_DO,beta_BreachDays,beta_BreachDays_2,beta_Substrate,beta_Goby_lag,tau,phi
# Adaptation terminated
# Step size = 0.224045
# Diagonal elements of inverse mass matrix:
# 0.358315, 0.289377, 0.000635708, 0.00081414, 0.00390824, 0.00300332, 0.0123894, 0.00119563, 0.00119049, 0.0152399, 0.0127837, 0.00112485, 0.00118302, 0.0164172, 0.0178542, 0.0154342, 0.00193355, 0.002527, 0.00105169, 0.011092, 0.00367202, 0.0604236, 0.00129904, 0.000862069, 0.00187896, 0.00840509, 0.00267871, 0.000397427, 0.00730466
-1824.5,0.99202,0.224045,4,15,0,1836.33,1.11095,1.22257,-0.474804,0.388856,0.00943276,0.210916,0.493984,0.0200958,-0.0279701,-0.393157,0.0847932,-0.0303192,0.00862935,2.02585,2.35535,1.79335,-0.623256,0.24932,0.703248,-0.310213,0.088508,0.0149372,0.515048,0.353857,-0.059516,-0.339225,0.0460605,0.605741,0.364373
-1825.34,0.985854,0.224045,4,15,0,1838.78,0.341997,2.63023,-0.54055,0.396125,-0.169607,0.248745,0.47267,-0.0162608,0.0402734,-0.371697,-0.388989,0.0136478,0.0127066,2.11236,2.35362,1.79846,-0.538836,0.120324,0.68347,-0.431416,0.157953,-0.0111026,0.484629,0.416084,-0.0296021,-0.142284,-0.0370453,0.577289,0.250239
-1829.78,0.89108,0.224045,4,15,0,1846.86,1.10547,1.27042,-0.485637,0.413311,0.0347917,0.289595,0.195943,0.0277822,0.00482741,-0.357636,-0.0157165,-0.0110777,-0.0202798,2.20696,2.63933,2.09835,-0.62947,0.30622,0.716425,-0.669675,0.258789,-0.0497861,0.463036,0.378724,-0.0441571,-0.385317,0.0300891,0.612299,0.368402
-1833.03,0.977955,0.224045,4,15,0,1852.41,-0.277959,1.50115,-0.560232,0.367454,-0.152015,0.111383,0.403014,-0.0235458,0.0327425,-0.405056,-0.343672,0.0496111,0.00604563,2.08083,2.17063,1.7209,-0.54039,0.0711627,0.624509,-0.18633,0.056827,-0.00622368,0.507462,0.405008,0.0211006,-0.224501,0.0150362,0.613378,0.245955
-1830.81,0.999467,0.224045,4,15,0,1848.35,0.335228,1.81429,-0.462193,0.380983,-0.0844127,0.156744,0.334947,0.0113682,-0.0155824,-0.363416,-0.286556,0.0844392,0.0560542,2.05613,2.27028,1.81547,-0.472101,0.153063,0.641871,-0.209516,0.0517979,0.185379,0.516058,0.366791,0.00123915,-0.199178,0.0232067,0.61226,0.218527
-1821.95,0.99761,0.224045,4,15,0,1840.45,1.50673,0.619202,-0.545867,0.37822,-0.0871805,0.0936986,0.413296,0.0274535,-0.0202356,-0.400784,-0.136351,-0.00636513,-0.0365461,1.96239,2.36558,1.80993,-0.52731,0.206848,0.67501,-0.308911,0.127511,-0.124538,0.528012,0.360865,-0.08378,-0.0848676,-0.0151058,0.595047,0.370888
