# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_58a3eb316f0d3002d1b0b86cddc060ba_model
# start_datetime = 2025-10-14 01:05:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 8000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpUJcXTb/standata-18d60014dfa.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /cloud/project/stan_output/model_58a3eb316f0d3002d1b0b86cddc060ba-202510140105-1-61bd59.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /cloud/project/stan_output/model_58a3eb316f0d3002d1b0b86cddc060ba-profile-202510140105-1-97b836.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_58a3eb316f0d3002d1b0b86cddc060ba_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b_BreachDays.1,b_BreachDays.2,b_BreachDays.3,a_Goby.1,a_Goby.2,a_Goby.3,a_bar_Goby,b_bar_Breach,Rho_Zone.1.1,Rho_Zone.2.1,Rho_Zone.1.2,Rho_Zone.2.2,sigma_Zone.1,sigma_Zone.2,U.1,U.2,U.3,Rho_errors.1.1,Rho_errors.2.1,Rho_errors.1.2,Rho_errors.2.2,sigma_errors.1,sigma_errors.2,beta_BreachDays_sub,beta_Rain,beta_Wind,beta_Year_2,beta_Year,beta_SB_count,beta_SC_count,beta_Temp,beta_DO,beta_SAV,a_Rain,a_Wind,a_BreachDays,a_Temp,a_SAV,a_SC,a_SB,a_DO,beta_Temp_2,beta_Micro,beta_SAV_2,beta_Substrate,beta_Goby_lag,beta_BreachDays_2,k_U_bio,k_U,tau,phi
# Adaptation terminated
# Step size = 0.0583983
# Diagonal elements of inverse mass matrix:
# 0.0103946, 0.00473063, 0.00633397, 0.0160032, 0.0168867, 0.0147183, 0.295669, 0.0399016, 0.337792, 0.188204, 0.83657, 0.392247, 0.346695, 0.392906, 0.0030522, 0.00154442, 0.00154574, 0.00116115, 0.00108417, 0.000676921, 0.00288682, 0.00235218, 0.0107459, 0.0107341, 0.000783789, 0.00133527, 0.00372555, 0.0034233, 0.00314126, 0.00506204, 0.00509779, 0.0140107, 0.028156, 0.0266163, 0.00494132, 0.00132866, 0.00221033, 0.0602154, 0.00728408, 0.00229666, 0.00139273, 1.22195, 1.59186, 0.000406579, 0.00714993
-2052.99,0.992503,0.0583983,6,63,0,2073.41,0.136974,0.236434,0.353222,2.32571,2.92904,2.18991,0.779111,0.175242,1,0.552091,0.552091,1,1.30417,0.0955909,-0.184933,-0.225246,-0.0932182,1,0.0465321,0.0465321,1,1.12442,1.04063,0.383319,0.698993,-0.617056,-0.281558,0.080722,0.443808,-0.611177,0.394873,0.525771,0.373769,-0.016075,0.023122,0.072072,0.0310784,0.134042,-0.378485,0.201511,0.0490749,-0.487148,0.0834824,-0.369331,-0.368757,-0.0104108,-0.121231,0.914714,0.444884,0.598159,0.464315
-2057.71,0.91006,0.0583983,6,63,0,2078.22,0.135314,0.0902251,0.358347,2.39613,2.74521,2.09125,0.852329,0.00273703,1,0.230792,0.230792,1,2.45545,0.887009,-0.244703,-0.193977,-0.0442086,1,0.0100266,0.0100266,1,1.02894,1.00985,0.390106,0.648615,-0.587045,-0.192102,0.0895805,0.286877,-0.646467,0.364323,0.554565,0.364751,-0.0123328,-0.0134533,0.0457746,0.0638735,0.0922419,-0.113464,-0.268097,0.0633452,-0.398082,0.20065,0.143531,-0.3749,-0.0102643,-0.0579517,0.442588,0.309839,0.612008,0.549881
-2056.47,0.959101,0.0583983,6,63,0,2077.02,0.161715,0.431964,0.394065,2.20637,2.73392,2.06207,0.76878,0.215946,1,0.952277,0.952277,1,2.27811,0.319176,-0.0858848,0.120612,0.371139,1,-0.0179765,-0.0179765,1,0.981848,0.99095,0.397314,0.759117,-0.604809,-0.129847,0.159552,0.486148,-0.440029,0.381606,0.541591,0.347125,0.029139,-0.000717862,-0.0210748,-0.0605568,-0.0477807,-0.597926,-0.203241,-0.0625549,-0.589014,0.137745,-0.296254,-0.268152,-0.00125889,-0.124697,0.342439,0.169733,0.58513,0.574374
-2065.98,0.889961,0.0583983,6,63,0,2090.18,0.398355,0.15075,0.331729,2.26872,2.79355,2.17067,0.168499,0.287699,1,-0.429877,-0.429877,1,1.73105,0.179054,-1.00357,-0.835455,-0.218493,1,-0.0334897,-0.0334897,1,0.993429,1.02722,0.329292,0.636476,-0.593296,-0.185412,0.142366,0.216795,-0.711833,0.369651,0.529855,0.5496,0.0374823,-0.0399596,0.0271686,-0.0157077,-0.00718688,-0.463807,-0.0491144,0.0293405,-0.409745,0.16427,-0.422397,-0.223485,0.0292842,-0.0899626,0.0423761,0.0423218,0.606359,0.380877
-2070.91,0.982109,0.0583983,6,63,0,2090.52,-0.033203,0.352289,0.441895,2.21553,2.80994,2.04448,0.154448,0.0468864,1,0.372153,0.372153,1,1.93344,0.621588,-0.0809584,-0.265322,-0.0510174,1,0.0493876,0.0493876,1,1.03065,0.965657,0.471006,0.741964,-0.596823,-0.203052,0.136896,0.566809,-0.37497,0.396893,0.550668,0.21073,-0.0240007,0.0580314,0.0549479,-0.0191651,-0.0298973,-0.261176,0.0899941,0.0740817,-0.597656,0.175649,0.211398,-0.551114,0.00135787,-0.112649,0.237453,0.240241,0.591709,0.729053
-2065.7,0.995447,0.0583983,6,63,0,2094.31,0.0267738,0.319452,0.393382,2.21555,2.79908,2.09186,0.680346,0.359364,1,0.585121,0.585121,1,1.81566,0.744839,-0.180759,-0.170337,-0.10953,1,0.0193726,0.0193726,1,1.036,0.987268,0.444885,0.708445,-0.62153,-0.114759,0.119181,0.56955,-0.415437,0.378152,0.540458,0.272753,-0.0202042,0.0092209,0.0405409,0.155769,0.0591843,-0.266216,0.214628,0.0862769,-0.559402,0.179287,-0.0380579,-0.464507,-0.0102359,-0.105547,0.0699602,0.672086,0.601042,0.717642
