# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_58a3eb316f0d3002d1b0b86cddc060ba_model
# start_datetime = 2025-10-14 01:05:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 8000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpUJcXTb/standata-18d60014dfa.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /cloud/project/stan_output/model_58a3eb316f0d3002d1b0b86cddc060ba-202510140105-2-61bd59.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /cloud/project/stan_output/model_58a3eb316f0d3002d1b0b86cddc060ba-profile-202510140105-2-97b836.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_58a3eb316f0d3002d1b0b86cddc060ba_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b_BreachDays.1,b_BreachDays.2,b_BreachDays.3,a_Goby.1,a_Goby.2,a_Goby.3,a_bar_Goby,b_bar_Breach,Rho_Zone.1.1,Rho_Zone.2.1,Rho_Zone.1.2,Rho_Zone.2.2,sigma_Zone.1,sigma_Zone.2,U.1,U.2,U.3,Rho_errors.1.1,Rho_errors.2.1,Rho_errors.1.2,Rho_errors.2.2,sigma_errors.1,sigma_errors.2,beta_BreachDays_sub,beta_Rain,beta_Wind,beta_Year_2,beta_Year,beta_SB_count,beta_SC_count,beta_Temp,beta_DO,beta_SAV,a_Rain,a_Wind,a_BreachDays,a_Temp,a_SAV,a_SC,a_SB,a_DO,beta_Temp_2,beta_Micro,beta_SAV_2,beta_Substrate,beta_Goby_lag,beta_BreachDays_2,k_U_bio,k_U,tau,phi
# Adaptation terminated
# Step size = 0.0575441
# Diagonal elements of inverse mass matrix:
# 0.0106548, 0.00477824, 0.00636307, 0.0160509, 0.0174204, 0.0159942, 0.31908, 0.0395019, 0.342795, 0.202929, 0.87871, 0.35435, 0.331193, 0.387228, 0.00319811, 0.00165052, 0.00155416, 0.00105692, 0.00110598, 0.000664454, 0.00298272, 0.00228708, 0.0105768, 0.0106236, 0.000763896, 0.00132292, 0.00358403, 0.00327965, 0.00309819, 0.00640073, 0.00632183, 0.0182041, 0.0313435, 0.0292032, 0.00633, 0.00124723, 0.00219486, 0.0608849, 0.00717077, 0.00232652, 0.00138323, 1.38665, 1.57124, 0.000410116, 0.00754918
-2055.04,0.716428,0.0575441,5,39,0,2081.12,0.334923,0.309582,0.319619,2.34055,2.96536,2.20788,0.459405,0.316134,1,-0.322154,-0.322154,1,1.50997,0.0133785,-0.171019,0.587344,0.756991,1,-0.0305473,-0.0305473,1,1.028,0.979199,0.417773,0.754002,-0.555806,-0.194814,0.0968247,0.415433,-0.604371,0.399512,0.533497,0.357387,-0.0910448,-0.0827705,-0.049764,-0.026968,-0.0850193,-0.467257,-0.310416,0.0151229,-0.533556,0.212349,-0.123274,-0.477752,0.0354909,-0.129151,0.208659,0.0255574,0.570783,0.706625
-2052.13,0.951221,0.0575441,6,63,0,2074.41,0.294071,0.337579,0.359229,2.52387,3.00821,2.20431,0.58769,0.369983,1,-0.603836,-0.603836,1,1.53394,0.0409289,0.1044,0.0947345,0.272947,1,-0.0721385,-0.0721385,1,1.04851,0.952342,0.396835,0.768679,-0.557668,-0.227482,0.0498856,0.396452,-0.555546,0.396768,0.51155,0.326619,0.00169056,-0.0583744,-0.0133354,0.0134241,-0.069098,-0.401343,-0.228526,-0.0262001,-0.508386,0.187818,-0.170389,-0.45279,-0.00660672,-0.158937,0.256456,0.0968913,0.588032,0.564394
-2059.18,0.949239,0.0575441,6,63,0,2077.8,0.18929,0.154108,0.321187,2.4502,2.77308,2.187,0.41616,0.18169,1,0.100181,0.100181,1,2.79203,0.101332,0.251883,0.182322,0.287662,1,0.0616512,0.0616512,1,0.959151,1.051,0.391127,0.623089,-0.630327,-0.164189,0.163136,0.193851,-0.663877,0.369938,0.542901,0.503901,0.00360043,0.0444345,-0.079927,-0.0622162,-0.0276979,-0.428138,-0.144141,-0.16663,-0.530514,0.120227,-0.0257708,-0.271317,0.0315108,-0.0837313,0.0364165,0.384834,0.608554,0.519558
-2060.82,0.937228,0.0575441,6,63,0,2085.06,0.0819639,0.181577,0.171335,2.13257,2.94174,2.17017,0.572681,0.072584,1,0.526957,0.526957,1,1.16913,0.0871925,0.338451,0.534381,0.805125,1,-0.0429974,-0.0429974,1,0.95693,0.987551,0.437459,0.666284,-0.617587,-0.16939,0.118956,0.332427,-0.657142,0.342003,0.534187,0.486418,0.0119053,0.0276205,-0.129527,-0.141139,-0.107726,-0.585516,-0.37897,-0.0470676,-0.476743,0.183848,0.00370915,-0.325151,0.030866,-0.158109,0.115184,0.18876,0.593951,0.672706
-2070.13,0.964685,0.0575441,6,63,0,2094.24,0.243366,0.340461,0.66904,2.48508,2.84385,2.03712,0.563878,0.629594,1,-0.53338,-0.53338,1,1.34601,0.197759,-0.506438,-0.147423,0.442469,1,0.0444683,0.0444683,1,1.04502,1.01447,0.353877,0.747,-0.596611,-0.200765,0.163646,0.43523,-0.472625,0.371815,0.556625,0.212282,-0.0113718,-0.0229868,0.00251795,-0.0741734,-0.0540176,-0.411339,-0.218191,0.0320048,-0.538104,0.119259,-0.182689,-0.508123,-0.0333607,0.00109392,0.0870766,0.0291344,0.59997,0.364614
-2065.83,0.99891,0.0575441,6,63,0,2093.34,0.107372,0.337783,0.315798,2.07511,2.55082,2.05097,0.272103,-0.134746,1,0.866791,0.866791,1,1.79003,0.548374,-0.0758759,-0.194249,0.0733028,1,-0.0588878,-0.0588878,1,0.962153,1.04252,0.439164,0.655495,-0.610106,-0.122427,0.127507,0.625907,-0.63734,0.377207,0.533863,0.422265,-0.0938829,-0.000900978,0.0413195,-0.00814354,0.076493,-0.266708,-0.0217387,0.0588615,-0.542895,0.237653,0.0985454,-0.33902,0.0070045,-0.097649,0.0423092,0.253747,0.591511,0.666456
