# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_806dc97748f01022df9a98011292f6b8_model
# start_datetime = 2025-09-07 06:05:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpIWAXdK/standata-194311f2efb.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /cloud/project/stan_output/model_806dc97748f01022df9a98011292f6b8-202509070605-1-3c0442.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /cloud/project/stan_output/model_806dc97748f01022df9a98011292f6b8-profile-202509070605-1-5ce8ab.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_806dc97748f01022df9a98011292f6b8_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_Zone,tau_Zone,beta_Wind,beta_Temp,beta_Year_2,beta_Year,beta_SB_count,a_Temp,a_SAV,a_SC,a_SB,a_DO,a_BreachDays,a_Goby.1,a_Goby.2,a_Goby.3,beta_Temp_2,beta_Micro,beta_Rain,beta_SC_count,beta_SAV,beta_SAV_2,beta_DO,beta_BreachDays,beta_BreachDays_2,beta_Substrate,beta_Goby_lag,tau,phi
-7116.23,1,0.0078125,1,1,0,100636,1.83637,4.47899,0.48969,-0.503311,0.731907,-1.28752,-0.25275,-1.53146,0.511396,-1.23505,1.04757,0.204805,1.72414,0.380104,-0.945741,-0.567655,-0.25277,0.91379,-0.30948,0.215408,0.909332,1.00853,0.865162,-1.18039,0.059888,2.57118,-0.0627752,1.77195,0.94357
-7116.23,0,14.3855,0,1,1,7131.5,1.83637,4.47899,0.48969,-0.503311,0.731907,-1.28752,-0.25275,-1.53146,0.511396,-1.23505,1.04757,0.204805,1.72414,0.380104,-0.945741,-0.567655,-0.25277,0.91379,-0.30948,0.215408,0.909332,1.00853,0.865162,-1.18039,0.059888,2.57118,-0.0627752,1.77195,0.94357
-7116.23,0,2.43117,0,1,1,7132.38,1.83637,4.47899,0.48969,-0.503311,0.731907,-1.28752,-0.25275,-1.53146,0.511396,-1.23505,1.04757,0.204805,1.72414,0.380104,-0.945741,-0.567655,-0.25277,0.91379,-0.30948,0.215408,0.909332,1.00853,0.865162,-1.18039,0.059888,2.57118,-0.0627752,1.77195,0.94357
-7116.23,0,0.239791,0,1,1,7135.85,1.83637,4.47899,0.48969,-0.503311,0.731907,-1.28752,-0.25275,-1.53146,0.511396,-1.23505,1.04757,0.204805,1.72414,0.380104,-0.945741,-0.567655,-0.25277,0.91379,-0.30948,0.215408,0.909332,1.00853,0.865162,-1.18039,0.059888,2.57118,-0.0627752,1.77195,0.94357
-4846.21,1,0.0186273,3,7,0,6569.2,1.83101,4.52214,0.197712,-0.406549,0.99535,-1.51005,-0.00130087,-1.52424,0.498762,-1.24233,1.03877,0.216821,1.65395,0.354905,-0.718592,-0.534457,-0.178181,0.73388,-0.293327,0.195764,0.701652,1.00508,0.612448,-1.05328,0.0990413,2.71131,-0.0143996,1.79796,0.373681
-3657.2,1,0.0257257,2,3,0,4768.34,1.86721,4.86101,0.0195264,-0.236401,0.838612,-1.64092,-0.0372236,-1.31071,0.449397,-1.47398,1.10368,0.103041,1.41826,0.267571,-0.61702,-0.579303,-0.0887896,0.534196,-0.265316,0.0673616,0.523057,0.964163,0.426045,-0.769117,0.167737,2.05631,0.189111,1.53423,-0.904229
-2916.05,0.857143,0.0404064,3,7,0,3569.22,1.81709,5.04013,-0.0204173,0.315967,0.962995,-1.53761,0.3593,0.0263869,-0.0158144,-2.05219,1.56025,0.0993524,-0.0593201,-0.0373221,-0.530117,-0.484641,0.0654479,0.252031,0.776233,0.0191707,0.0453054,0.934618,-0.0208457,0.359068,0.0671805,0.953523,0.118157,0.823422,-1.30382
-2916.05,1.48769e-21,0.044055,1,3,1,2932.21,1.81709,5.04013,-0.0204173,0.315967,0.962995,-1.53761,0.3593,0.0263869,-0.0158144,-2.05219,1.56025,0.0993524,-0.0593201,-0.0373221,-0.530117,-0.484641,0.0654479,0.252031,0.776233,0.0191707,0.0453054,0.934618,-0.0208457,0.359068,0.0671805,0.953523,0.118157,0.823422,-1.30382
-2828.42,1,0.0033835,7,127,0,2927.23,1.93866,4.71126,0.201393,0.37187,1.17269,-1.36075,0.60056,-0.12836,0.0227784,-2.10794,1.44502,-0.0937889,0.161641,-0.544347,-0.290322,-0.142578,-0.58885,0.315068,0.553115,-0.159365,0.339612,0.69368,0.149129,0.0357539,-0.196999,1.10926,0.310106,1.0252,-0.689167
-2783.65,1,0.00612173,5,31,0,2839.91,1.92639,4.7993,-0.159008,0.0609806,1.16842,-1.45807,0.434865,-0.145438,0.0730933,-2.02662,1.37673,0.0506222,0.12524,-0.648058,-0.146472,-0.144904,-0.431612,0.278943,0.676166,-0.320901,0.221583,0.826417,0.0242604,0.0498622,-0.110461,1.03498,0.231806,0.89224,-0.826628
-2746.16,1,0.0114048,5,31,0,2792.75,2.01046,5.22186,-0.0861807,0.0615716,1.54816,-1.62362,0.645492,-0.0924889,-0.045977,-1.39429,1.43273,0.000770615,0.0770135,-0.82963,0.102281,-0.0703479,-0.31698,0.296439,0.620451,-0.810478,0.227832,0.640135,0.0387196,0.011975,-0.0403833,0.735191,0.297797,0.912976,-0.731493
-2728.58,0.846,0.0216165,5,31,0,2764.09,1.60494,2.58007,-0.109811,0.179193,1.86657,-1.41508,0.734131,-0.0525481,-0.000848948,-0.570251,1.78646,-0.0497165,0.118602,-0.534087,0.00184895,0.321726,-0.304128,0.278836,0.752057,-0.647365,0.201012,0.162929,-0.00421659,-0.0212148,0.0389319,0.194147,0.184466,0.903739,-0.729438
-2724.81,0.992692,0.0254519,6,63,0,2740.63,1.54626,3.11673,-0.0615862,0.195762,1.81149,-1.43343,0.509838,-0.176391,-0.111104,-0.522279,1.72429,0.0789223,-0.00423757,-0.473677,0.506144,0.493065,-0.369154,0.195133,0.568043,-0.639159,0.206865,0.0295716,0.0875652,0.0685929,-0.151224,0.16955,0.309706,0.908758,-0.677788
-2717.01,0.194877,0.0478148,2,7,1,2734.39,1.48879,3.12597,-0.0370329,0.123402,1.88379,-1.42223,0.594941,-0.0758235,-0.0149039,-0.484981,1.79245,0.11187,0.055487,-0.396735,0.499165,0.475829,-0.321747,0.259037,0.59023,-0.65177,0.135042,0.0249098,0.0810021,0.0783787,-0.0786179,0.171989,0.289272,0.911132,-0.583791
-2717.74,0.964695,0.00746235,7,127,0,2733.05,0.916233,1.54345,0.00879228,0.17212,1.84156,-1.65079,0.67155,-0.141468,0.0485308,-0.918205,1.35089,-0.0502513,0.035765,-0.736678,0.25473,0.416143,-0.189025,0.453687,0.656069,-0.901085,0.175958,-0.30391,0.0904666,0.11598,-0.0381527,0.359939,0.122733,0.933883,-0.542405
-2709.99,0.978602,0.013008,6,63,0,2727.18,0.313266,2.00732,-0.0435236,0.126344,1.67563,-1.49908,0.73184,-0.0709596,-0.0336655,-0.475046,1.71646,0.0988515,0.137549,-0.189464,0.516562,0.684856,-0.307445,0.243758,0.712864,-0.646285,0.129448,-0.111111,0.0662391,0.0589174,-0.0747135,0.156171,0.214857,0.912872,-0.595398
-2712.65,0.684319,0.0235974,6,63,0,2721.76,-0.298402,0.838029,-0.0226457,0.145289,1.64967,-1.49727,0.87437,-0.0562997,-0.0447942,-0.811534,1.64511,0.082479,0.124003,-0.552599,0.428299,0.455297,-0.334458,0.449007,0.715285,-1.05758,0.141023,-0.0927134,0.0146683,0.0573359,0.0809641,0.3679,0.107274,0.95704,-0.742808
-2710.73,0.975575,0.0173327,6,95,0,2725.9,0.311096,1.2676,0.0477552,0.144654,1.44899,-1.52006,0.539156,-0.155233,-0.0291515,-0.542749,1.6154,-0.0351308,0.0742305,0.0502005,1.03213,0.999722,-0.505559,0.451424,0.771798,-0.983178,0.154577,-0.109601,0.0574878,0.0578278,0.0114869,0.205784,0.274295,0.92032,-0.702058
-2711.68,0.675339,0.0310001,5,63,0,2720.68,0.0876046,1.44277,-0.0390726,0.192763,1.1274,-1.51433,0.666678,-0.146558,-0.0475113,-0.704589,1.62776,-0.0139953,0.0985529,0.0722503,0.884775,1.12677,-0.370137,0.326958,0.762238,-0.745148,0.293251,-0.228497,0.0847802,0.101632,-0.0384158,0.264866,0.0688763,0.951499,-0.811952
-2710.56,0.99561,0.0223226,6,63,0,2726.15,-0.103454,0.207075,0.0313404,0.15718,2.11992,-1.7222,0.548042,-0.099575,-0.0548806,-0.601577,1.46186,-0.00195116,0.112336,-0.560268,0.162187,0.318276,-0.384207,0.541061,0.619072,-0.657169,0.175061,-0.172247,0.0786441,0.0712234,0.0329486,0.207913,0.0885079,0.918734,-0.750162
-2710.56,0.00128888,0.0420552,2,7,1,2731.56,-0.103454,0.207075,0.0313404,0.15718,2.11992,-1.7222,0.548042,-0.099575,-0.0548806,-0.601577,1.46186,-0.00195116,0.112336,-0.560268,0.162187,0.318276,-0.384207,0.541061,0.619072,-0.657169,0.175061,-0.172247,0.0786441,0.0712234,0.0329486,0.207913,0.0885079,0.918734,-0.750162
