# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_806dc97748f01022df9a98011292f6b8_model
# start_datetime = 2025-09-07 06:05:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpIWAXdK/standata-194311f2efb.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /cloud/project/stan_output/model_806dc97748f01022df9a98011292f6b8-202509070605-2-3c0442.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /cloud/project/stan_output/model_806dc97748f01022df9a98011292f6b8-profile-202509070605-2-5ce8ab.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_806dc97748f01022df9a98011292f6b8_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_Zone,tau_Zone,beta_Wind,beta_Temp,beta_Year_2,beta_Year,beta_SB_count,a_Temp,a_SAV,a_SC,a_SB,a_DO,a_BreachDays,a_Goby.1,a_Goby.2,a_Goby.3,beta_Temp_2,beta_Micro,beta_Rain,beta_SC_count,beta_SAV,beta_SAV_2,beta_DO,beta_BreachDays,beta_BreachDays_2,beta_Substrate,beta_Goby_lag,tau,phi
-6707.05,1,0.0078125,1,1,0,13895.2,1.94872,0.6943,1.23356,0.885443,0.684974,0.571163,2.02301,-1.06094,0.194325,-0.936981,-0.578663,-1.09469,1.22671,0.857811,1.28458,-0.136141,-1.77381,0.0877641,0.725844,1.43382,-1.25225,-1.52376,0.255252,-0.943741,-0.201488,0.288282,-0.268935,4.91853,-0.243085
-6707.05,0,14.3855,0,1,1,6722.17,1.94872,0.6943,1.23356,0.885443,0.684974,0.571163,2.02301,-1.06094,0.194325,-0.936981,-0.578663,-1.09469,1.22671,0.857811,1.28458,-0.136141,-1.77381,0.0877641,0.725844,1.43382,-1.25225,-1.52376,0.255252,-0.943741,-0.201488,0.288282,-0.268935,4.91853,-0.243085
-6707.05,0,2.43117,0,1,1,6720.49,1.94872,0.6943,1.23356,0.885443,0.684974,0.571163,2.02301,-1.06094,0.194325,-0.936981,-0.578663,-1.09469,1.22671,0.857811,1.28458,-0.136141,-1.77381,0.0877641,0.725844,1.43382,-1.25225,-1.52376,0.255252,-0.943741,-0.201488,0.288282,-0.268935,4.91853,-0.243085
-6707.05,0,0.239791,0,1,1,6718.62,1.94872,0.6943,1.23356,0.885443,0.684974,0.571163,2.02301,-1.06094,0.194325,-0.936981,-0.578663,-1.09469,1.22671,0.857811,1.28458,-0.136141,-1.77381,0.0877641,0.725844,1.43382,-1.25225,-1.52376,0.255252,-0.943741,-0.201488,0.288282,-0.268935,4.91853,-0.243085
-4957.06,1,0.0186273,2,3,0,6362.27,1.94083,0.700077,0.910369,0.845392,0.938213,0.404808,2.20714,-1.06294,0.191772,-0.92884,-0.535192,-1.10382,1.24177,0.901127,1.34919,0.026026,-1.76623,0.135194,0.711389,1.46095,-1.10296,-1.55823,0.222703,-0.791199,-0.0408735,0.629709,0.11849,4.084,-0.535923
-3940.16,0.714286,0.0257257,3,7,0,4716.32,1.93848,0.676802,0.628409,0.877842,0.905784,0.274261,2.15376,-1.00989,0.0969814,-0.985227,-0.449609,-1.01874,1.12773,0.910022,1.32204,0.0377964,-1.58995,0.201218,0.714672,1.46395,-0.848113,-1.51433,0.240397,-0.743268,-0.0121217,0.650085,0.34684,1.13914,-1.2244
-3807.27,1,0.016847,2,3,0,3927.41,1.93314,0.663585,0.583565,0.845743,0.866055,0.261738,2.14167,-0.963831,0.0845563,-0.984031,-0.449963,-0.9634,1.06625,0.907684,1.33902,0.0206115,-1.55834,0.182656,0.688716,1.44368,-0.830571,-1.52689,0.244485,-0.709433,-0.0228824,0.633528,0.346419,1.28181,-1.23484
-3141.72,1,0.028241,3,7,0,3787.03,1.85093,0.751857,0.139289,0.32388,0.837713,0.0197972,1.77319,-0.343959,0.117998,-0.892376,0.0436142,-0.371385,0.526985,0.876114,1.23142,0.0415108,-1.51767,0.163879,0.579434,1.18215,-0.239262,-1.45653,0.144467,-0.327082,0.047433,0.532892,0.457325,1.00337,-1.40739
-3060.42,0.666667,0.0500314,2,3,0,3147.34,1.81981,0.764777,0.0307663,0.188738,0.894635,0.00889372,1.75336,-0.213109,0.0796747,-0.883059,0.1779,-0.375303,0.368872,0.896106,1.14505,0.0412933,-1.39231,0.15111,0.569036,1.12258,-0.138558,-1.40368,0.167871,-0.21618,0.0141835,0.487952,0.536372,0.934533,-1.46637
-2972.62,0.982152,0.0320078,2,3,0,3066.78,1.69094,0.736566,0.00479588,0.225158,0.797287,-0.103827,1.63785,-0.181815,0.11439,-0.955675,0.302733,-0.107615,0.189618,0.868185,1.13921,0.0300829,-1.256,0.0878205,0.628435,1.09858,-0.093557,-1.37545,0.114265,-0.053505,-0.104107,0.416915,0.579536,0.978378,-1.45756
