# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e1ee8b779a0124928215154e29502e88_model
# start_datetime = 2025-09-13 17:25:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpzdLXEj/standata-18e7dcf19a4.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /cloud/project/stan_output/model_e1ee8b779a0124928215154e29502e88-202509131725-3-62e4e2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /cloud/project/stan_output/model_e1ee8b779a0124928215154e29502e88-profile-202509131725-3-61e392.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e1ee8b779a0124928215154e29502e88_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_Zone,tau_Zone,beta_Wind,beta_Temp,beta_Year_2,beta_Year,beta_SB_count,a_Temp,a_SAV,a_SC,a_SB,a_DO,a_BreachDays,a_Goby.1,a_Goby.2,a_Goby.3,beta_Temp_2,beta_Micro,beta_Rain,beta_SC_count,beta_SAV,beta_SAV_2,beta_DO,beta_BreachDays,beta_BreachDays_2,beta_Substrate,beta_Goby_lag,tau,phi
-23563.2,1,0.00390625,2,3,0,114236,-0.951309,0.18648,0.701833,-1.28349,1.37001,0.710004,1.5936,-1.60476,0.72762,-1.9306,-0.666608,-1.68468,0.893354,1.65463,-1.9014,0.627611,0.585578,0.903031,-0.426189,1.92434,1.33362,-1.51829,-1.59901,-0.539299,0.597411,-0.321048,-1.60474,0.857511,-1.52437
-23563.2,0,14.3855,0,1,1,23586.4,-0.951309,0.18648,0.701833,-1.28349,1.37001,0.710004,1.5936,-1.60476,0.72762,-1.9306,-0.666608,-1.68468,0.893354,1.65463,-1.9014,0.627611,0.585578,0.903031,-0.426189,1.92434,1.33362,-1.51829,-1.59901,-0.539299,0.597411,-0.321048,-1.60474,0.857511,-1.52437
-23563.2,0,2.43117,0,1,1,23577.2,-0.951309,0.18648,0.701833,-1.28349,1.37001,0.710004,1.5936,-1.60476,0.72762,-1.9306,-0.666608,-1.68468,0.893354,1.65463,-1.9014,0.627611,0.585578,0.903031,-0.426189,1.92434,1.33362,-1.51829,-1.59901,-0.539299,0.597411,-0.321048,-1.60474,0.857511,-1.52437
-23563.2,0,0.239791,0,1,1,23576.6,-0.951309,0.18648,0.701833,-1.28349,1.37001,0.710004,1.5936,-1.60476,0.72762,-1.9306,-0.666608,-1.68468,0.893354,1.65463,-1.9014,0.627611,0.585578,0.903031,-0.426189,1.92434,1.33362,-1.51829,-1.59901,-0.539299,0.597411,-0.321048,-1.60474,0.857511,-1.52437
-23563.2,0,0.0186273,0,1,1,23576.7,-0.951309,0.18648,0.701833,-1.28349,1.37001,0.710004,1.5936,-1.60476,0.72762,-1.9306,-0.666608,-1.68468,0.893354,1.65463,-1.9014,0.627611,0.585578,0.903031,-0.426189,1.92434,1.33362,-1.51829,-1.59901,-0.539299,0.597411,-0.321048,-1.60474,0.857511,-1.52437
-23018.2,1,0.00130482,1,1,0,23572.1,-0.950023,0.186928,0.696495,-1.2805,1.36697,0.705393,1.59834,-1.60251,0.72583,-1.93069,-0.667088,-1.68401,0.892863,1.65578,-1.89883,0.630501,0.587067,0.905398,-0.426448,1.92277,1.32988,-1.51971,-1.59814,-0.535557,0.598921,-0.308374,-1.59816,0.861009,-1.53296
-10660.6,1,0.00189104,5,31,0,22816.2,-0.949117,0.189915,0.487941,-1.20261,1.21991,0.565274,1.79459,-1.58838,0.7153,-1.92213,-0.658589,-1.67482,0.891987,1.65507,-1.78366,0.746281,0.64045,0.912094,-0.421479,1.94878,1.17668,-1.51133,-1.55483,-0.463491,0.645596,0.0460293,-1.38987,1.04913,-1.75875
-5888.33,1,0.00305706,3,7,0,10576,-0.950368,0.192813,0.269313,-1.0679,1.04515,0.408346,1.98433,-1.56956,0.701431,-1.91575,-0.65776,-1.64751,0.856675,1.65241,-1.69114,0.846745,0.72389,0.847539,-0.397266,1.97319,1.01597,-1.53734,-1.45556,-0.388482,0.682173,0.396865,-1.19896,1.36362,-1.96727
-5013.78,1,0.00530085,2,3,0,5871.03,-0.95013,0.196533,0.205844,-0.955004,0.983581,0.313859,2.06002,-1.54826,0.685405,-1.9087,-0.639493,-1.6403,0.839285,1.63668,-1.62462,0.888802,0.757312,0.803203,-0.381304,1.98445,0.939522,-1.54309,-1.35987,-0.351652,0.70253,0.549171,-1.09838,1.62302,-2.05757
-4683.92,1,0.00961161,2,3,0,5012.13,-0.9601,0.208501,0.16087,-0.909012,0.913445,0.27242,2.14338,-1.51554,0.650957,-1.87206,-0.625615,-1.59081,0.839821,1.62379,-1.60268,0.899171,0.791574,0.72589,-0.344738,1.97394,0.892119,-1.55248,-1.27884,-0.354888,0.707147,0.658828,-1.0098,1.7796,-2.12064
