# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e1ee8b779a0124928215154e29502e88_model
# start_datetime = 2025-09-17 23:02:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpbdcD7T/standata-3dc5ba11adf.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /cloud/project/stan_output/model_e1ee8b779a0124928215154e29502e88-202509172302-1-6e4db8.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /cloud/project/stan_output/model_e1ee8b779a0124928215154e29502e88-profile-202509172302-1-7c0f7b.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e1ee8b779a0124928215154e29502e88_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_Zone,tau_Zone,beta_Wind,beta_Temp,beta_Year_2,beta_Year,beta_SB_count,a_Temp,a_SAV,a_SC,a_SB,a_DO,a_BreachDays,a_Goby.1,a_Goby.2,a_Goby.3,beta_Temp_2,beta_Micro,beta_Rain,beta_SC_count,beta_SAV,beta_SAV_2,beta_DO,beta_BreachDays,beta_BreachDays_2,beta_Substrate,beta_Goby_lag,tau,phi
-7018.68,1,0.0078125,1,1,0,85678,1.83637,4.47899,0.614253,-0.463635,-0.668492,-1.12053,-0.28752,-1.53146,0.511396,-1.23505,1.04757,0.204805,1.72414,0.367549,-0.947638,-0.610741,-0.214901,0.972956,-0.30948,0.177522,0.887298,1.00853,0.897128,-1.12546,0.127816,2.49491,-0.116566,1.77195,1.00277
-7018.68,0,14.3855,0,1,1,7033.95,1.83637,4.47899,0.614253,-0.463635,-0.668492,-1.12053,-0.28752,-1.53146,0.511396,-1.23505,1.04757,0.204805,1.72414,0.367549,-0.947638,-0.610741,-0.214901,0.972956,-0.30948,0.177522,0.887298,1.00853,0.897128,-1.12546,0.127816,2.49491,-0.116566,1.77195,1.00277
-7018.68,0,2.43117,0,1,1,7034.83,1.83637,4.47899,0.614253,-0.463635,-0.668492,-1.12053,-0.28752,-1.53146,0.511396,-1.23505,1.04757,0.204805,1.72414,0.367549,-0.947638,-0.610741,-0.214901,0.972956,-0.30948,0.177522,0.887298,1.00853,0.897128,-1.12546,0.127816,2.49491,-0.116566,1.77195,1.00277
-7018.68,0,0.239791,0,1,1,7038.3,1.83637,4.47899,0.614253,-0.463635,-0.668492,-1.12053,-0.28752,-1.53146,0.511396,-1.23505,1.04757,0.204805,1.72414,0.367549,-0.947638,-0.610741,-0.214901,0.972956,-0.30948,0.177522,0.887298,1.00853,0.897128,-1.12546,0.127816,2.49491,-0.116566,1.77195,1.00277
-4771.25,1,0.0186273,3,7,0,6418.64,1.83101,4.52215,0.46644,-0.359281,-0.71507,-1.13137,0.0542362,-1.52445,0.498823,-1.24181,1.03876,0.21677,1.65395,0.364752,-0.708043,-0.508726,-0.133764,0.846731,-0.293327,0.186565,0.654323,1.00508,0.746176,-0.888229,0.279885,2.77202,-0.15083,1.79814,0.449487
-3700.81,1,0.0257257,2,3,0,4708.17,1.86722,4.8609,0.316566,-0.187197,-0.718648,-1.02218,0.21223,-1.31402,0.449675,-1.47673,1.1045,0.10157,1.41741,0.316872,-0.515325,-0.449472,-0.0337023,0.648001,-0.26475,0.118075,0.411541,0.964163,0.525328,-0.585154,0.370474,2.35733,-0.0712622,1.51031,-0.777514
-2894.13,0.857143,0.0404064,3,7,0,3615.16,1.81718,5.03807,-0.103272,0.262479,-0.469381,-0.507647,0.631757,0.0384416,-0.0267695,-2.16559,1.55933,0.085383,-0.0899785,0.0480926,-0.432492,-0.286748,0.0630824,0.474796,0.79745,0.130525,0.0652642,0.934618,-0.0767431,0.239705,0.158589,1.15141,-0.199027,0.846152,-1.34305
-2894.13,1.16906e-14,0.044055,1,3,1,2910.29,1.81718,5.03807,-0.103272,0.262479,-0.469381,-0.507647,0.631757,0.0384416,-0.0267695,-2.16559,1.55933,0.085383,-0.0899785,0.0480926,-0.432492,-0.286748,0.0630824,0.474796,0.79745,0.130525,0.0652642,0.934618,-0.0767431,0.239705,0.158589,1.15141,-0.199027,0.846152,-1.34305
-2762.64,0.999988,0.0033835,7,127,0,2905.3,1.17161,3.64333,-0.0435455,0.21128,-0.259102,-0.262018,1.52637,-0.020313,-0.044163,-1.53112,1.67584,0.106818,0.0154168,0.0839716,0.723227,0.811402,-0.584655,0.263142,0.755887,-0.61014,0.100221,0.281951,-0.0563744,0.34949,-0.250254,0.505489,0.21694,0.94643,-0.529877
-2728.28,0.998772,0.00612149,5,31,0,2775.13,1.09207,3.65324,-0.0240983,0.232261,-0.316085,-0.262189,1.4986,-0.160018,-0.0648577,-1.40037,1.65795,0.0118708,0.0650238,0.140137,0.689495,0.900104,-0.517399,0.33424,0.722204,-0.59069,0.0766399,0.28292,0.140417,0.253031,-0.303581,0.682544,0.199998,0.902954,-0.623491
