# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_fc53c2c1d12bf12b2426be40b2be7c79_model
# start_datetime = 2025-10-14 01:57:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 5000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.93
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpUJcXTb/standata-18d44f094ab.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /cloud/project/stan_output/model_fc53c2c1d12bf12b2426be40b2be7c79-202510140157-1-2c20da.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /cloud/project/stan_output/model_fc53c2c1d12bf12b2426be40b2be7c79-profile-202510140157-1-16742d.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_fc53c2c1d12bf12b2426be40b2be7c79_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a_Goby.1,a_Goby.2,a_Goby.3,a_bar_Goby,sigma_Goby,U.1,U.2,U.3,Rho_errors.1.1,Rho_errors.2.1,Rho_errors.1.2,Rho_errors.2.2,sigma_errors.1,sigma_errors.2,beta_Rain,beta_Wind,beta_Year_2,beta_Year,beta_SB_count,beta_SC_count,beta_Temp,beta_BreachDays,beta_DO,beta_SAV,a_Rain,a_Wind,a_BreachDays,a_Temp,a_SAV,a_SC,a_SB,a_DO,beta_Temp_2,beta_Micro,beta_SAV_2,beta_Substrate,beta_Goby_lag,beta_BreachDays_2,k_U_bio,k_U,tau,phi
# Adaptation terminated
# Step size = 0.0889068
# Diagonal elements of inverse mass matrix:
# 0.0161192, 0.0174738, 0.015187, 0.319341, 0.213619, 0.410718, 0.337294, 0.407458, 0.00305071, 0.00158545, 0.00157765, 0.00115671, 0.000626591, 0.00296126, 0.00256523, 0.0104723, 0.0109411, 0.000846893, 0.000783165, 0.00139044, 0.00337752, 0.00322832, 0.00308131, 0.00598461, 0.006081, 0.0176113, 0.0319191, 0.0277719, 0.00610108, 0.00124583, 0.00244076, 0.0622453, 0.00709481, 0.00218595, 0.00135138, 1.48499, 1.71868, 0.000386138, 0.00705071
-2062.07,0.973994,0.0889068,6,63,0,2087.37,2.22123,2.73292,2.00919,0.733301,1.76003,0.348787,-0.0701473,0.0192529,1,-0.0022886,-0.0022886,1,1.0275,0.983525,0.697204,-0.633901,-0.268244,0.0936181,0.563343,-0.682188,0.364801,0.338741,0.56061,0.315531,0.0317279,-0.0505713,0.00424805,-0.0189545,-0.0358615,-0.633277,-0.0924848,0.0178951,-0.495464,0.168694,0.352769,-0.201757,-0.0200052,-0.0590114,0.0510137,0.0876974,0.599978,0.56125
-2064.88,0.931062,0.0889068,5,63,0,2087.88,2.12734,2.74028,1.99702,0.3281,2.16908,0.673807,-0.335847,0.318709,1,-0.00950947,-0.00950947,1,1.04344,0.982196,0.666033,-0.626709,-0.270428,0.126168,0.552593,-0.598841,0.36779,0.340424,0.565697,0.297994,0.0719891,-0.0701681,-0.0396589,-0.00808438,-0.0468935,-0.730651,-0.219419,0.0107129,-0.45911,0.197997,0.0626856,-0.221544,0.0147607,-0.0811943,0.0474393,0.102502,0.595566,0.600131
-2067.6,0.994872,0.0889068,5,31,0,2092.88,2.05692,2.58696,1.80351,-0.0410952,2.12198,-1.09013,0.761528,0.435174,1,0.0451799,0.0451799,1,1.02869,1.01355,0.643719,-0.598219,-0.167956,0.169334,0.649654,-0.530346,0.375066,0.319735,0.594702,0.221052,0.0892141,0.0159539,-0.0304727,-0.0176264,0.0280717,-0.62257,0.0497697,-0.00912674,-0.529591,0.215492,-0.524188,-0.248434,0.0118682,-0.0867797,0.0965424,0.0492864,0.600592,0.586407
-2069.94,0.980464,0.0889068,5,31,0,2094.29,2.07835,2.51364,1.83874,-0.0530601,2.58801,-1.19303,0.594686,0.453617,1,0.0576214,0.0576214,1,1.02866,1.01493,0.635854,-0.631291,-0.192573,0.197052,0.664912,-0.532142,0.361749,0.318535,0.612738,0.226426,0.104821,0.00931919,-0.0111889,0.070341,0.00385914,-0.625183,-0.0482645,0.0130572,-0.520729,0.192258,-0.495061,-0.212672,-0.00347774,-0.0707335,0.0906671,0.0264167,0.597369,0.573637
-2062.36,0.991939,0.0889068,6,63,0,2086.94,2.43023,2.8877,2.19289,1.22744,1.3445,-0.0921709,0.113865,0.33514,1,-0.0561398,-0.0561398,1,0.969037,0.960739,0.723006,-0.592207,-0.179452,0.0655265,0.155921,-0.591697,0.412298,0.399734,0.513821,0.455365,-0.0899326,-0.0536929,-0.0147071,-0.109704,-0.0117316,-0.551343,-0.018869,-0.039511,-0.498574,0.126404,0.327898,-0.399882,0.0611892,-0.119357,0.213877,0.253483,0.599808,0.44402
-2070.73,0.987805,0.0889068,5,31,0,2086.89,2.36458,3.04764,2.15929,0.211688,1.73072,0.100517,0.0944546,0.348813,1,0.068591,0.068591,1,0.940618,0.967267,0.674473,-0.589601,-0.137142,0.0148899,0.261485,-0.742596,0.417777,0.368291,0.530551,0.332273,-0.0223002,-0.0132561,-0.101801,-0.0219367,-0.00715292,-0.0864495,-0.209005,-0.0872128,-0.506429,0.0561335,0.0568176,-0.379923,-0.0416119,-0.0726129,0.126379,0.23997,0.572384,0.509356
-2069.07,0.941581,0.0889068,6,63,0,2092,2.36135,2.76132,2.29907,0.618652,3.39625,-0.292154,-0.136035,-0.12441,1,-0.0362891,-0.0362891,1,1.01058,1.00016,0.698524,-0.521975,-0.208871,0.110297,0.364914,-0.466241,0.418064,0.320875,0.517912,0.403507,0.0790977,0.0664222,0.171259,0.0763246,0.07828,-0.659312,-0.0152767,0.0799597,-0.520689,0.097768,-0.240458,-0.393245,0.0464048,-0.110847,0.625957,0.359351,0.611529,0.4769
-2072.99,0.796595,0.0889068,6,63,0,2093.87,1.94775,2.6937,1.92787,1.64038,1.07666,-1.2697,-1.59005,-0.566942,1,0.0302403,0.0302403,1,0.990124,0.997881,0.701696,-0.670325,-0.100246,0.16184,0.379804,-0.520595,0.324427,0.413171,0.581784,0.366514,-0.0824509,-0.0593831,0.185923,0.0647938,-0.00122276,-0.340399,-0.125352,0.0607244,-0.498976,0.21202,0.0585865,-0.370032,0.00626754,-0.0766983,0.0126756,0.100017,0.58198,0.572308
-2061.06,0.845646,0.0889068,6,63,0,2098.57,2.23185,2.89717,2.20109,0.792392,2.03739,-0.46503,-0.166453,-0.0294818,1,-0.014936,-0.014936,1,1.01883,1.01085,0.692084,-0.555067,-0.310154,0.114822,0.444196,-0.476013,0.389242,0.336891,0.549021,0.293879,0.0940735,0.0742825,0.0925629,0.0328596,0.092571,-0.315257,-0.116614,-0.0203388,-0.482403,0.135379,-0.12751,-0.382799,0.0670306,-0.122513,0.425596,0.114919,0.614261,0.52345
-2061.84,0.971967,0.0889068,5,31,0,2080.04,2.35996,2.85691,2.18126,0.414983,2.47873,-0.321273,-0.252641,-0.0452518,1,0.033314,0.033314,1,1.05553,1.08627,0.685388,-0.571236,-0.189182,0.0858361,0.338079,-0.622974,0.422191,0.387724,0.53543,0.260466,0.0105516,-0.027282,0.026877,0.0803664,0.0711443,-0.410604,-0.133862,0.138596,-0.488262,0.0707814,0.0463353,-0.205585,-0.00555273,-0.167951,0.354418,0.361054,0.593817,0.482513
-2069.54,0.79831,0.0889068,6,63,0,2089.47,2.10139,2.70177,2.07319,-0.0420829,2.04781,0.537835,0.358663,0.669468,1,-0.0213701,-0.0213701,1,1.01851,1.00231,0.736924,-0.54082,-0.200177,0.0754247,0.41455,-0.477663,0.447597,0.407742,0.561659,0.185935,0.0107395,-0.0519128,-0.167009,-0.10779,-0.177815,-0.580269,-0.182516,-0.0502224,-0.499314,0.0824742,0.365888,-0.338673,-0.0295027,-0.0965855,0.298901,0.20862,0.584808,0.541203
-2066.24,0.918901,0.0889068,6,63,0,2089,2.24017,2.8357,2.09816,0.0957324,2.54386,0.201859,0.148581,0.250839,1,0.0119226,0.0119226,1,1.02409,1.008,0.715605,-0.552539,-0.162494,0.0492495,0.354508,-0.387756,0.437155,0.420857,0.535907,0.228553,0.0542615,-0.113892,-0.129204,-0.0564436,-0.155583,-0.521445,-0.265982,-0.0790678,-0.515582,0.0976216,0.357461,-0.301399,-0.0512662,-0.154149,0.763321,0.342911,0.591865,0.621609
-2071.42,0.786854,0.0889068,6,63,0,2090.78,2.26347,2.68321,2.11411,-0.489509,2.46302,0.102357,0.00223305,0.435176,1,-0.0654167,-0.0654167,1,1.04589,1.07241,0.683823,-0.573631,-0.226577,0.0522198,0.390218,-0.459375,0.399281,0.381285,0.563511,0.210326,0.0529166,-0.148247,0.0356531,-0.0834133,-0.00905291,-0.4231,-0.218488,-0.105105,-0.534051,0.104035,0.225064,-0.279986,-0.0221993,-0.0948875,0.19458,0.274845,0.620937,0.652784
-2068.67,0.967773,0.0889068,5,31,0,2089.81,2.2436,2.68117,1.92675,-0.303625,3.66227,-0.104383,0.164099,0.227176,1,-0.028529,-0.028529,1,1.0308,1.07628,0.679816,-0.536135,-0.134107,0.0881303,0.381376,-0.43724,0.391419,0.381831,0.579185,0.26797,0.0119874,-0.148502,-0.0258971,-0.00372175,-0.00143098,-0.471624,-0.126501,0.0916247,-0.467879,0.158055,0.2241,-0.30038,-0.0270439,-0.143052,0.438827,0.0786132,0.613759,0.626126
